pair_key,sample_id_a,partition_a,image_path_a,sample_id_b,partition_b,image_path_b,phash_distance,dhash_distance,embedding_cosine,candidate_sources,priority,review_decision,reviewer,review_date,notes
f_r_403___n_l_80_,f_r_403_,test,data/suim_processed/images/test/f_r_403_.jpg,n_l_80_,train_val,data/suim_processed/images/train_val/n_l_80_.jpg,0,0,0.9999273419380188,perceptual_hash;segformer_embedding,0,pending,,,
n_l_26___w_r_32_,n_l_26_,test,data/suim_processed/images/test/n_l_26_.jpg,w_r_32_,train_val,data/suim_processed/images/train_val/w_r_32_.jpg,0,0,0.999907374382019,perceptual_hash;segformer_embedding,0,pending,,,
n_l_102___f_r_2033_,n_l_102_,test,data/suim_processed/images/test/n_l_102_.jpg,f_r_2033_,train_val,data/suim_processed/images/train_val/f_r_2033_.jpg,2,0,0.9997119307518005,perceptual_hash;segformer_embedding,0,pending,,,
n_l_79___f_r_615_,n_l_79_,test,data/suim_processed/images/test/n_l_79_.jpg,f_r_615_,train_val,data/suim_processed/images/train_val/f_r_615_.jpg,0,0,0.9995073676109314,perceptual_hash;segformer_embedding,0,pending,,,
n_l_100___f_r_953_,n_l_100_,test,data/suim_processed/images/test/n_l_100_.jpg,f_r_953_,train_val,data/suim_processed/images/train_val/f_r_953_.jpg,0,0,0.9985658526420593,perceptual_hash;segformer_embedding,0,pending,,,
f_r_1892___f_r_1827_,f_r_1892_,test,data/suim_processed/images/test/f_r_1892_.jpg,f_r_1827_,train_val,data/suim_processed/images/train_val/f_r_1827_.jpg,0,1,0.9954041242599487,perceptual_hash;segformer_embedding,0,pending,,,
f_r_1276___n_l_94_,f_r_1276_,test,data/suim_processed/images/test/f_r_1276_.jpg,n_l_94_,train_val,data/suim_processed/images/train_val/n_l_94_.jpg,4,7,,perceptual_hash,0,pending,,,
f_r_214___f_r_1663_,f_r_214_,test,data/suim_processed/images/test/f_r_214_.jpg,f_r_1663_,train_val,data/suim_processed/images/train_val/f_r_1663_.jpg,30,4,,perceptual_hash,0,pending,,,
n_l_69___n_l_98_,n_l_69_,train_val,data/suim_processed/images/train_val/n_l_69_.jpg,n_l_98_,train_val,data/suim_processed/images/train_val/n_l_98_.jpg,0,0,0.9999538064002991,perceptual_hash;segformer_embedding,1,pending,,,
d_r_87___n_l_42_,d_r_87_,train_val,data/suim_processed/images/train_val/d_r_87_.jpg,n_l_42_,train_val,data/suim_processed/images/train_val/n_l_42_.jpg,0,0,0.9999305009841919,perceptual_hash;segformer_embedding,1,pending,,,
d_r_723___f_r_1525_,d_r_723_,train_val,data/suim_processed/images/train_val/d_r_723_.jpg,f_r_1525_,train_val,data/suim_processed/images/train_val/f_r_1525_.jpg,0,0,0.9998837113380432,perceptual_hash;segformer_embedding,1,pending,,,
