sample_id,partition,image_path,image_sha256,phash,dhash,scene_group_id,scene_group_source
d_r_122_,test,data/suim_processed/images/test/d_r_122_.jpg,2695e521b52448c821c5f25c0eb05a706314eafac1eb1396901c8ee976f62da3,14486362244778464844,17506602024560493254,scene:d_r_122_,exact_sha
d_r_129_,test,data/suim_processed/images/test/d_r_129_.jpg,b9f52dbccd98d63d55a91873d38f34ad8a5d9e4e1f817fdfa293d478579316f0,15725951709179967682,3553366738177483201,scene:d_r_129_,exact_sha
d_r_144_,test,data/suim_processed/images/test/d_r_144_.jpg,0ae463116663f005b1a776d587d9306c0d34c89a35c9a38085a7c54d33c93fab,9245120181998155511,13957979846231304617,scene:d_r_144_,exact_sha
d_r_166_,test,data/suim_processed/images/test/d_r_166_.jpg,8501d2ea0612d84effba40219887aa2177f209ca77b51727203a18449b13a89c,13949310635962197810,17649832257455845827,scene:d_r_166_,exact_sha
d_r_182_,test,data/suim_processed/images/test/d_r_182_.jpg,cb1a29979ea133ea3addef71a8a5424d1442954535d675a0ee8bdd1a64563cd3,13135231416228408208,17288117436932332653,scene:d_r_182_,exact_sha
d_r_196_,test,data/suim_processed/images/test/d_r_196_.jpg,0e2c983fc0b42c40936301f231ffe4f08ef0d959ad3ec6e3fdbd033f4b402533,15149218021346328146,3472903244934858888,scene:d_r_196_,exact_sha
d_r_233_,test,data/suim_processed/images/test/d_r_233_.jpg,8f3873e0a839b402225c21ec183a26313863c6cd103b777fa8c8cc1305cea9db,11882628428151440584,15622114259195174318,scene:d_r_233_,exact_sha
d_r_277_,test,data/suim_processed/images/test/d_r_277_.jpg,dbe746f9fa1a30c7265e1cdebc395778761f2624792dd0f5cf61f9b8ab329747,9477713779858862080,6550716369940052281,scene:d_r_277_,exact_sha
d_r_300_,test,data/suim_processed/images/test/d_r_300_.jpg,e8d3d10d72cfbb8866f0c30ecc4626ae400dca8271b0c8683119c7cc69f4f8f6,9554248328046823799,17936971970050520549,scene:d_r_300_,exact_sha
d_r_345_,test,data/suim_processed/images/test/d_r_345_.jpg,21efc23be954b3848cf5c95cd00e3afa812d46f394023d93bf59949ec6219d61,14149073769406499259,576710223445083682,scene:d_r_345_,exact_sha
d_r_379_,test,data/suim_processed/images/test/d_r_379_.jpg,bd67c9a06b8632845a30021cbbf22690a757b7614f7a1f0708faf0315073c8ec,16457450028962912669,14089379251346457538,scene:d_r_379_,exact_sha
