partition,sample_id,image_path,mask_path,width,height,original_mask_width,original_mask_height,mask_resized_nearest,classes_present,mask_policy,non_exact_rgb_pixels,total_pixels,quantized_pixels,quantized_ratio,size_repaired,repair_method,scene_group_id
train_val,d_r_14_,data/suim_processed/images/train_val/d_r_14_.jpg,data/suim_processed/masks/train_val/d_r_14_.png,1280,720,1280,720,0,0|1|3,bit_threshold,0,921600,0,0.0,False,none,scene:d_r_14_
train_val,d_r_165_,data/suim_processed/images/train_val/d_r_165_.jpg,data/suim_processed/masks/train_val/d_r_165_.png,640,480,640,480,0,0|1|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:d_r_165_
train_val,d_r_174_,data/suim_processed/images/train_val/d_r_174_.jpg,data/suim_processed/masks/train_val/d_r_174_.png,1280,720,1280,720,0,0|1|3|4|5|7,bit_threshold,226384,921600,226384,0.2456423611111111,False,none,scene:d_r_174_
train_val,d_r_198_,data/suim_processed/images/train_val/d_r_198_.jpg,data/suim_processed/masks/train_val/d_r_198_.png,1906,1080,1906,1080,0,0|1|4|5,bit_threshold,0,2058480,0,0.0,False,none,scene:d_r_198_
train_val,d_r_259_,data/suim_processed/images/train_val/d_r_259_.jpg,data/suim_processed/masks/train_val/d_r_259_.png,640,480,640,480,0,0|1|5,bit_threshold,0,307200,0,0.0,False,none,scene:d_r_259_
train_val,d_r_270_,data/suim_processed/images/train_val/d_r_270_.jpg,data/suim_processed/masks/train_val/d_r_270_.png,640,480,640,480,0,0|1|5,bit_threshold,205513,307200,205513,0.6689876302083333,False,none,scene:d_r_270_
train_val,d_r_275_,data/suim_processed/images/train_val/d_r_275_.jpg,data/suim_processed/masks/train_val/d_r_275_.png,416,416,416,416,0,0|1|5|7,bit_threshold,0,173056,0,0.0,False,none,scene:d_r_275_
train_val,d_r_288_,data/suim_processed/images/train_val/d_r_288_.jpg,data/suim_processed/masks/train_val/d_r_288_.png,640,480,640,480,0,0|1|5,bit_threshold,0,307200,0,0.0,False,none,scene:d_r_288_
train_val,d_r_297_,data/suim_processed/images/train_val/d_r_297_.jpg,data/suim_processed/masks/train_val/d_r_297_.png,640,480,640,480,0,0|1|6|7,bit_threshold,0,307200,0,0.0,False,none,scene:d_r_297_
train_val,d_r_29_,data/suim_processed/images/train_val/d_r_29_.jpg,data/suim_processed/masks/train_val/d_r_29_.png,800,600,800,600,0,0|1,bit_threshold,0,480000,0,0.0,False,none,scene:d_r_29_
train_val,d_r_312_,data/suim_processed/images/train_val/d_r_312_.jpg,data/suim_processed/masks/train_val/d_r_312_.png,640,480,640,480,0,0|1|7,bit_threshold,0,307200,0,0.0,False,none,scene:d_r_312_
train_val,d_r_316_,data/suim_processed/images/train_val/d_r_316_.jpg,data/suim_processed/masks/train_val/d_r_316_.png,640,480,640,480,0,0|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:d_r_316_
train_val,d_r_323_,data/suim_processed/images/train_val/d_r_323_.jpg,data/suim_processed/masks/train_val/d_r_323_.png,640,480,640,480,0,0|1|7,bit_threshold,0,307200,0,0.0,False,none,scene:d_r_323_
train_val,d_r_340_,data/suim_processed/images/train_val/d_r_340_.jpg,data/suim_processed/masks/train_val/d_r_340_.png,960,540,960,540,0,0|1|4,bit_threshold,0,518400,0,0.0,False,none,scene:d_r_340_
train_val,d_r_403_,data/suim_processed/images/train_val/d_r_403_.jpg,data/suim_processed/masks/train_val/d_r_403_.png,1280,720,1280,720,0,0|1|3,bit_threshold,0,921600,0,0.0,False,none,scene:d_r_403_
train_val,d_r_439_,data/suim_processed/images/train_val/d_r_439_.jpg,data/suim_processed/masks/train_val/d_r_439_.png,1280,720,1280,720,0,0|1|3,bit_threshold,0,921600,0,0.0,False,none,scene:d_r_439_
