partition,sample_id,image_path,mask_path,width,height,original_mask_width,original_mask_height,mask_resized_nearest,classes_present,mask_policy,non_exact_rgb_pixels
train_val,d_r_103_,data/suim_processed/images/train_val/d_r_103_.jpg,data/suim_processed/masks/train_val/d_r_103_.png,640,480,640,480,0,0|1|3|7,bit_threshold,0
train_val,d_r_105_,data/suim_processed/images/train_val/d_r_105_.jpg,data/suim_processed/masks/train_val/d_r_105_.png,640,480,640,480,0,0|1|3,bit_threshold,0
train_val,d_r_113_,data/suim_processed/images/train_val/d_r_113_.jpg,data/suim_processed/masks/train_val/d_r_113_.png,480,448,480,448,0,0|1|4|5|7,bit_threshold,0
train_val,d_r_125_,data/suim_processed/images/train_val/d_r_125_.jpg,data/suim_processed/masks/train_val/d_r_125_.png,1152,720,1152,720,0,0|4,bit_threshold,0
train_val,d_r_132_,data/suim_processed/images/train_val/d_r_132_.jpg,data/suim_processed/masks/train_val/d_r_132_.png,1280,720,1280,720,0,0|4,bit_threshold,0
train_val,d_r_145_,data/suim_processed/images/train_val/d_r_145_.jpg,data/suim_processed/masks/train_val/d_r_145_.png,1906,1080,1906,1080,0,0|4|5,bit_threshold,0
train_val,d_r_148_,data/suim_processed/images/train_val/d_r_148_.jpg,data/suim_processed/masks/train_val/d_r_148_.png,640,480,640,480,0,0|1|5|6|7,bit_threshold,0
train_val,d_r_14_,data/suim_processed/images/train_val/d_r_14_.jpg,data/suim_processed/masks/train_val/d_r_14_.png,1280,720,1280,720,0,0|1|3,bit_threshold,0
train_val,d_r_153_,data/suim_processed/images/train_val/d_r_153_.jpg,data/suim_processed/masks/train_val/d_r_153_.png,640,360,640,360,0,0|1|5,bit_threshold,0
train_val,d_r_160_,data/suim_processed/images/train_val/d_r_160_.jpg,data/suim_processed/masks/train_val/d_r_160_.png,584,480,584,480,0,4|5|7,bit_threshold,0
train_val,d_r_162_,data/suim_processed/images/train_val/d_r_162_.jpg,data/suim_processed/masks/train_val/d_r_162_.png,1280,720,1280,720,0,0|1|6|7,bit_threshold,0
train_val,d_r_163_,data/suim_processed/images/train_val/d_r_163_.jpg,data/suim_processed/masks/train_val/d_r_163_.png,960,540,960,540,0,0|1|3|4|6|7,bit_threshold,0
train_val,d_r_169_,data/suim_processed/images/train_val/d_r_169_.jpg,data/suim_processed/masks/train_val/d_r_169_.png,640,480,640,480,0,0|1|7,bit_threshold,0
train_val,d_r_171_,data/suim_processed/images/train_val/d_r_171_.jpg,data/suim_processed/masks/train_val/d_r_171_.png,1280,720,1280,720,0,0|1|6|7,bit_threshold,0
train_val,d_r_179_,data/suim_processed/images/train_val/d_r_179_.jpg,data/suim_processed/masks/train_val/d_r_179_.png,1280,720,1280,720,0,0|1|4|5,bit_threshold,126780
train_val,d_r_17_,data/suim_processed/images/train_val/d_r_17_.jpg,data/suim_processed/masks/train_val/d_r_17_.png,960,540,960,540,0,0|1|4|7,bit_threshold,0
train_val,d_r_185_,data/suim_processed/images/train_val/d_r_185_.jpg,data/suim_processed/masks/train_val/d_r_185_.png,640,480,640,480,0,1|5|7,bit_threshold,0
train_val,d_r_186_,data/suim_processed/images/train_val/d_r_186_.jpg,data/suim_processed/masks/train_val/d_r_186_.png,640,480,640,480,0,1|2|7,bit_threshold,0
train_val,d_r_189_,data/suim_processed/images/train_val/d_r_189_.jpg,data/suim_processed/masks/train_val/d_r_189_.png,1280,720,1280,720,0,4|7,bit_threshold,137454
train_val,d_r_18_,data/suim_processed/images/train_val/d_r_18_.jpg,data/suim_processed/masks/train_val/d_r_18_.png,1280,720,1280,720,0,0|1|3,bit_threshold,0
train_val,d_r_195_,data/suim_processed/images/train_val/d_r_195_.jpg,data/suim_processed/masks/train_val/d_r_195_.png,800,600,800,600,0,0|1|4|7,bit_threshold,0
