partition,sample_id,image_path,mask_path,width,height,original_mask_width,original_mask_height,mask_resized_nearest,classes_present,mask_policy,non_exact_rgb_pixels,total_pixels,quantized_pixels,quantized_ratio,size_repaired,repair_method,image_sha256,mask_pixels_sha256,group_id
train_val,d_r_103_,data/suim_processed/images/train_val/d_r_103_.jpg,data/suim_processed/masks/train_val/d_r_103_.png,640,480,640,480,0,0|1|3|7,bit_threshold,0,307200,0,0.0,False,none,e39d4d691110ca888c5da3c98cf556e100378ca548c1f0c95e06798fbb3828ff,71ca2141251f246fcab56478aeab1e7154b59928ed4461ee2498c25a9f6f485d,sha256:e39d4d691110ca888c5da3c98cf556e100378ca548c1f0c95e06798fbb3828ff
train_val,d_r_105_,data/suim_processed/images/train_val/d_r_105_.jpg,data/suim_processed/masks/train_val/d_r_105_.png,640,480,640,480,0,0|1|3,bit_threshold,0,307200,0,0.0,False,none,c54aa45a89539b112737c6f8968f1eb81ecb7fde4cb92f2e2aec137618254de0,2a1ca68861f2add15e827764e86aac536ee6ec26ed9ac3d9daa24cb15b46169a,sha256:c54aa45a89539b112737c6f8968f1eb81ecb7fde4cb92f2e2aec137618254de0
train_val,d_r_112_,data/suim_processed/images/train_val/d_r_112_.jpg,data/suim_processed/masks/train_val/d_r_112_.png,1280,720,1280,720,0,0|4,bit_threshold,36615,921600,36615,0.0397298177083333,False,none,96f411a34786ea555656543a9f65baeb816cbc75383c756e0b1fcd19ab9875b3,12b6994f1c28e1111f3ceee5906987877d52c8ba3c89f45c4b642fd0e1601c12,sha256:96f411a34786ea555656543a9f65baeb816cbc75383c756e0b1fcd19ab9875b3
train_val,d_r_113_,data/suim_processed/images/train_val/d_r_113_.jpg,data/suim_processed/masks/train_val/d_r_113_.png,480,448,480,448,0,0|1|4|5|7,bit_threshold,0,215040,0,0.0,False,none,1deea73fce101df8bdd7cbd8da4175d48182eb2023a9265e2df95768db35a2e8,ed57f043d2b419fb71ab1d9cabbfc95372a6b6b2fb522d5c6db10768744c6e2f,sha256:1deea73fce101df8bdd7cbd8da4175d48182eb2023a9265e2df95768db35a2e8
train_val,d_r_125_,data/suim_processed/images/train_val/d_r_125_.jpg,data/suim_processed/masks/train_val/d_r_125_.png,1152,720,1152,720,0,0|4,bit_threshold,0,829440,0,0.0,False,none,8cc05b6a411e6af6194633808030ea33b2c0f8ca4866d5eb5e0f64c23ec9091d,93f3b579e80ba6806e853daf74564b5ddbe26032edfbb38d5e1df2b88363a389,sha256:8cc05b6a411e6af6194633808030ea33b2c0f8ca4866d5eb5e0f64c23ec9091d
train_val,d_r_132_,data/suim_processed/images/train_val/d_r_132_.jpg,data/suim_processed/masks/train_val/d_r_132_.png,1280,720,1280,720,0,0|4,bit_threshold,0,921600,0,0.0,False,none,4de98f2bd1aa27e0c55590ec42257ffe5207520f4fa1de8dd61e2f08054ec2f6,591aa8c0ba2da208bf2268efc499b18ca98abcc9199060a61ed72c1d21448f47,sha256:4de98f2bd1aa27e0c55590ec42257ffe5207520f4fa1de8dd61e2f08054ec2f6
train_val,d_r_135_,data/suim_processed/images/train_val/d_r_135_.jpg,data/suim_processed/masks/train_val/d_r_135_.png,640,480,640,480,0,0|1|4|5|6|7,bit_threshold,219742,307200,219742,0.7153059895833334,False,none,367a1d3a4707a7fd8b71ad13ebdc24ef039b776bdbd2ee6cf81191429a9c40fa,e65f1a3139e26a6c9380a3ce1cca4e4f95e91521720e6c4c807ae41f77e99691,sha256:367a1d3a4707a7fd8b71ad13ebdc24ef039b776bdbd2ee6cf81191429a9c40fa
train_val,d_r_145_,data/suim_processed/images/train_val/d_r_145_.jpg,data/suim_processed/masks/train_val/d_r_145_.png,1906,1080,1906,1080,0,0|4|5,bit_threshold,0,2058480,0,0.0,False,none,0f50b287f5c4b2ba9f45f3ec8f9c3893c252575549a070c1dc7e3825e6d1fca8,fb08418405b49e83459982251a5c8b5a6c221cbd55f63bcf2a569dcc5f11b95a,sha256:0f50b287f5c4b2ba9f45f3ec8f9c3893c252575549a070c1dc7e3825e6d1fca8
train_val,d_r_148_,data/suim_processed/images/train_val/d_r_148_.jpg,data/suim_processed/masks/train_val/d_r_148_.png,640,480,640,480,0,0|1|5|6|7,bit_threshold,0,307200,0,0.0,False,none,bdcb7fda34c1d3bb3aa0d5e94ef47cc8a432d8cd00e9af81c57aff2d31aabb94,370aa22f57309faaf9b37b61e0bb738725fc34ce09ca4607ac6af9e04f487bc6,sha256:bdcb7fda34c1d3bb3aa0d5e94ef47cc8a432d8cd00e9af81c57aff2d31aabb94
train_val,d_r_153_,data/suim_processed/images/train_val/d_r_153_.jpg,data/suim_processed/masks/train_val/d_r_153_.png,640,360,640,360,0,0|1|5,bit_threshold,0,230400,0,0.0,False,none,703c9bbba0cfaecf0b0b040d22d6887694ff3cb1526e895d1fc4385ed7e14a98,8b2826f372bdc277c3836ec63325310a7d0c69de952aca9a4dd8dc6c288a3327,sha256:703c9bbba0cfaecf0b0b040d22d6887694ff3cb1526e895d1fc4385ed7e14a98
train_val,d_r_160_,data/suim_processed/images/train_val/d_r_160_.jpg,data/suim_processed/masks/train_val/d_r_160_.png,584,480,584,480,0,4|5|7,bit_threshold,0,280320,0,0.0,False,none,a3bf53ec5d42c02365ef5167473b486e3124920fa6b6dff3d41213f9d3980275,24f0c2bd437a8d529c4493a088e5dd0333ecf00f4b0fb5971f461f90f22eadbd,sha256:a3bf53ec5d42c02365ef5167473b486e3124920fa6b6dff3d41213f9d3980275
train_val,d_r_162_,data/suim_processed/images/train_val/d_r_162_.jpg,data/suim_processed/masks/train_val/d_r_162_.png,1280,720,1280,720,0,0|1|6|7,bit_threshold,0,921600,0,0.0,False,none,22785b4daba5d6d3595a02064b5c80e4893c5252ecb309cf8c0da7bde347a20f,53c204592f64c5ff8091ec6c8f3f2dea886f3a4da9f80382866eccfb9a5a3d65,sha256:22785b4daba5d6d3595a02064b5c80e4893c5252ecb309cf8c0da7bde347a20f
