partition,sample_id,image_path,mask_path,width,height,original_mask_width,original_mask_height,mask_resized_nearest,classes_present,mask_policy,non_exact_rgb_pixels,total_pixels,quantized_pixels,quantized_ratio,size_repaired,repair_method,scene_group_id
train_val,d_r_18_,data/suim_processed/images/train_val/d_r_18_.jpg,data/suim_processed/masks/train_val/d_r_18_.png,1280,720,1280,720,0,0|1|3,bit_threshold,0,921600,0,0.0,False,none,scene:d_r_18_
train_val,d_r_20_,data/suim_processed/images/train_val/d_r_20_.jpg,data/suim_processed/masks/train_val/d_r_20_.png,1280,720,1280,720,0,0|1|4|5,bit_threshold,251072,921600,251072,0.2724305555555555,False,none,scene:d_r_20_
train_val,d_r_256_,data/suim_processed/images/train_val/d_r_256_.jpg,data/suim_processed/masks/train_val/d_r_256_.png,1906,1080,1906,1080,0,0|2|4|5,bit_threshold,0,2058480,0,0.0,False,none,scene:d_r_256_
train_val,d_r_305_,data/suim_processed/images/train_val/d_r_305_.jpg,data/suim_processed/masks/train_val/d_r_305_.png,640,480,640,480,0,0|1|5,bit_threshold,0,307200,0,0.0,False,none,scene:d_r_305_
train_val,d_r_324_,data/suim_processed/images/train_val/d_r_324_.jpg,data/suim_processed/masks/train_val/d_r_324_.png,640,360,640,360,0,0|1|5,bit_threshold,0,230400,0,0.0,False,none,scene:d_r_324_
train_val,d_r_372_,data/suim_processed/images/train_val/d_r_372_.jpg,data/suim_processed/masks/train_val/d_r_372_.png,960,540,960,540,0,0|1|4|7,bit_threshold,0,518400,0,0.0,False,none,scene:d_r_372_
train_val,d_r_377_,data/suim_processed/images/train_val/d_r_377_.jpg,data/suim_processed/masks/train_val/d_r_377_.png,960,540,960,540,0,0|1,bit_threshold,0,518400,0,0.0,False,none,scene:d_r_377_
train_val,d_r_381_,data/suim_processed/images/train_val/d_r_381_.jpg,data/suim_processed/masks/train_val/d_r_381_.png,640,480,640,480,0,5|6,bit_threshold,0,307200,0,0.0,False,none,scene:d_r_381_
train_val,d_r_383_,data/suim_processed/images/train_val/d_r_383_.jpg,data/suim_processed/masks/train_val/d_r_383_.png,640,480,640,480,0,0|1|7,bit_threshold,0,307200,0,0.0,False,none,scene:d_r_383_
train_val,d_r_444_,data/suim_processed/images/train_val/d_r_444_.jpg,data/suim_processed/masks/train_val/d_r_444_.png,480,448,480,448,0,0|1|4|5,bit_threshold,0,215040,0,0.0,False,none,scene:d_r_444_
train_val,d_r_455_,data/suim_processed/images/train_val/d_r_455_.jpg,data/suim_processed/masks/train_val/d_r_455_.png,640,360,640,360,0,0|1|5,bit_threshold,0,230400,0,0.0,False,none,scene:d_r_455_
train_val,d_r_467_,data/suim_processed/images/train_val/d_r_467_.jpg,data/suim_processed/masks/train_val/d_r_467_.png,640,480,640,480,0,0|1|5,bit_threshold,0,307200,0,0.0,False,none,scene:d_r_467_
train_val,d_r_473_,data/suim_processed/images/train_val/d_r_473_.jpg,data/suim_processed/masks/train_val/d_r_473_.png,1280,720,1280,720,0,0|4,bit_threshold,41923,921600,41923,0.0454893663194444,False,none,scene:d_r_473_
