uiis_sample_id,reason,exclusion_type,evidence,related_sample_id
uiis_train_000006,conservative_phash_le_2_overlap_screen,suim_overlap_automatic,exact SHA-256 or conservative pHash distance <= 2,
uiis_train_000022,conservative_phash_le_2_overlap_screen,suim_overlap_automatic,exact SHA-256 or conservative pHash distance <= 2,
uiis_train_000026,conservative_phash_le_2_overlap_screen,suim_overlap_automatic,exact SHA-256 or conservative pHash distance <= 2,
uiis_train_000028,conservative_phash_le_2_overlap_screen,suim_overlap_automatic,exact SHA-256 or conservative pHash distance <= 2,
uiis_train_000030,conservative_phash_le_2_overlap_screen,suim_overlap_automatic,exact SHA-256 or conservative pHash distance <= 2,
uiis_train_000033,conservative_phash_le_2_overlap_screen,suim_overlap_automatic,exact SHA-256 or conservative pHash distance <= 2,
uiis_train_000038,conservative_phash_le_2_overlap_screen,suim_overlap_automatic,exact SHA-256 or conservative pHash distance <= 2,
uiis_train_000042,conservative_phash_le_2_overlap_screen,suim_overlap_automatic,exact SHA-256 or conservative pHash distance <= 2,
uiis_train_000048,conservative_phash_le_2_overlap_screen,suim_overlap_automatic,exact SHA-256 or conservative pHash distance <= 2,
uiis_train_000050,conservative_phash_le_2_overlap_screen,suim_overlap_automatic,exact SHA-256 or conservative pHash distance <= 2,
uiis_train_000074,conservative_phash_le_2_overlap_screen,suim_overlap_automatic,exact SHA-256 or conservative pHash distance <= 2,
uiis_train_000078,conservative_phash_le_2_overlap_screen,suim_overlap_automatic,exact SHA-256 or conservative pHash distance <= 2,
uiis_train_000119,conservative_phash_le_2_overlap_screen,suim_overlap_automatic,exact SHA-256 or conservative pHash distance <= 2,
uiis_train_000123,conservative_phash_le_2_overlap_screen,suim_overlap_automatic,exact SHA-256 or conservative pHash distance <= 2,
uiis_train_000126,conservative_phash_le_2_overlap_screen,suim_overlap_automatic,exact SHA-256 or conservative pHash distance <= 2,
uiis_train_000155,conservative_phash_le_2_overlap_screen,suim_overlap_automatic,exact SHA-256 or conservative pHash distance <= 2,
uiis_train_000163,conservative_phash_le_2_overlap_screen,suim_overlap_automatic,exact SHA-256 or conservative pHash distance <= 2,
uiis_train_000165,conservative_phash_le_2_overlap_screen,suim_overlap_automatic,exact SHA-256 or conservative pHash distance <= 2,
uiis_train_000170,conservative_phash_le_2_overlap_screen,suim_overlap_automatic,exact SHA-256 or conservative pHash distance <= 2,
uiis_train_000176,conservative_phash_le_2_overlap_screen,suim_overlap_automatic,exact SHA-256 or conservative pHash distance <= 2,
uiis_train_000178,conservative_phash_le_2_overlap_screen,suim_overlap_automatic,exact SHA-256 or conservative pHash distance <= 2,
uiis_train_000204,conservative_phash_le_2_overlap_screen,suim_overlap_automatic,exact SHA-256 or conservative pHash distance <= 2,
