sample_id,source_partition,source_image_id,image_path,mask_path,image_sha256,mask_sha256,width,height,annotation_count,present_classes,pixels_class_0,pixels_class_1,pixels_class_2,pixels_class_3,pixels_class_4,pixels_class_5,pixels_class_6,pixels_class_7
uiis_train_000000,train,0,data\uiis_raw\train\L_1.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000000.png,fd4d7308ec778afd269548f989e3f5658852587d12b020ee20189253a84f0c10,938c65ecb29b0871567a82bb7216ca2d42da089962cdac26ab9fd138f597f9d3,256,256,1,0;6,62456,0,0,0,0,0,3080,0
uiis_train_000001,train,1,data\uiis_raw\train\L_10.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000001.png,af60b73925017b63e26ef621b123574e6d8fcd164c9e45a06253358ccee46dd2,f089293e527a0e7a4d20ca9da96e199e7f617795490e7e5f26b2fcb362c28ec9,320,240,1,0;2,31726,0,45074,0,0,0,0,0
uiis_train_000002,train,2,data\uiis_raw\train\L_100.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000002.png,d38ed614090b853459e7e05bfea2191119fe4e7def9365d5f64859c4887e9311,96c3dc5e3b3cd982fb872795136e9ebef0a0216dedd5255993bfbdceae06b8c1,320,240,3,0;5,39505,0,0,0,0,37295,0,0
uiis_train_000003,train,3,data\uiis_raw\train\L_1002.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000003.png,9b31c5d9ca4ac679fb858bd0616860d842491548197cd86380ebeac855015140,b36a6e668d81c190fba8b0b83e4ac1b4a3339f7d30e0608d8179acb80dde31cc,320,240,3,0;6;7,59911,0,0,0,0,0,624,16265
uiis_train_000004,train,4,data\uiis_raw\train\L_1003.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000004.png,539c5f375257eaae3cf6534beaf180674e8cd293bb147cc3b64cf73f6200a009,07be067c327b8acebe977cda56ec333ab841101f1b9089967de68fe8210ad2ea,256,256,1,0;5,50818,0,0,0,0,14718,0,0
uiis_train_000005,train,5,data\uiis_raw\train\L_1004.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000005.png,5488404da87d406340e0fba19c1765d0c7324b31442678f46926b6634a496e0b,8e9ab76b0f84d0df91cc0320dfcffb007b7147362bf8a80e87d09b90dfd9e8a0,256,256,1,0;5,32724,0,0,0,0,32812,0,0
uiis_train_000006,train,6,data\uiis_raw\train\L_1005.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000006.png,f8239762b65ef32d4313f3da5cf0ca7f381fb925004479dd85c35c45aa86e4d5,2547ca9df84f4f026547a3861475cd142accbea6199ad47cd09f8534e9449085,320,240,5,0;5;6;7,45435,0,0,0,0,16862,4088,10415
uiis_train_000007,train,7,data\uiis_raw\train\L_1006.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000007.png,0d64f685a91ee471aa991bc35c338428ab4910d8df73d54ef1d8280c4d95084c,cf6f58b06dc1061bdf5040bc0524cf3a57f7bdec2e0e847df49035451e44b048,256,256,19,0;2;5;6;7,42095,0,1238,0,0,17206,238,4759
uiis_train_000008,train,8,data\uiis_raw\train\L_1007.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000008.png,ec3440ffaa1fad6ea30dd8123e72469a588e3ec0c366c1b9312fc71575b547a4,bb67475915f8a43999bf224595443cd9256e510eb461bac9358dce196c2f639b,256,256,18,0;2;5;6;7,39657,0,2317,0,0,14537,1052,7973
uiis_train_000009,train,9,data\uiis_raw\train\L_1008.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000009.png,148115f12f8df0726389d44a31ce02206fd6e1d858f29ae4aedeb51f599e1e9e,327014e4d043f30f13507b604aabc0d2c9e8ee9a537b2acd52ba4d2bc789b603,256,256,1,0;5,43182,0,0,0,0,22354,0,0
uiis_train_000010,train,10,data\uiis_raw\train\L_1009.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000010.png,55a6a791de6de2746a30e611a4dfbd9203f2e1d1e9cde7f60c37f4b9d7ec1ede,277e144b296ef8b0b60ac95305caabacd012792bfe130ce7f992271bb91a8227,256,256,4,0;5;6;7,24474,0,0,0,0,36063,4420,579
uiis_train_000011,train,11,data\uiis_raw\train\L_101.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000011.png,acf61a30fe12dba9917aa1148f04abb1c83d233316dcbb5dbcab66231144baf6,e503abcd988b5c5764cfbfe6a89fab15652b047c102bfddc114b04f40178af0d,256,256,1,0;5,50293,0,0,0,0,15243,0,0
