uiis_sample_id,uiis_image_path,suim_sample_id,suim_partition,suim_image_path,phash_distance,review_decision,reviewer,review_date,notes
uiis_train_000006,data\uiis_raw\train\L_1005.jpg,f_r_1673_,train,data/suim_processed/images/train_val/f_r_1673_.jpg,2,pending,,,
uiis_train_000022,data\uiis_raw\train\L_1020.jpg,f_r_123_,train,data/suim_processed/images/train_val/f_r_123_.jpg,0,pending,,,
uiis_train_000026,data\uiis_raw\train\L_1024.jpg,f_r_1946_,train,data/suim_processed/images/train_val/f_r_1946_.jpg,2,pending,,,
uiis_train_000028,data\uiis_raw\train\L_1027.jpg,f_r_301_,train,data/suim_processed/images/train_val/f_r_301_.jpg,0,pending,,,
uiis_train_000030,data\uiis_raw\train\L_103.jpg,f_r_1131_,train,data/suim_processed/images/train_val/f_r_1131_.jpg,0,pending,,,
uiis_train_000033,data\uiis_raw\train\L_1033.jpg,f_r_141_,val,data/suim_processed/images/train_val/f_r_141_.jpg,0,pending,,,
uiis_train_000038,data\uiis_raw\train\L_1038.jpg,f_r_1821_,train,data/suim_processed/images/train_val/f_r_1821_.jpg,0,pending,,,
uiis_train_000042,data\uiis_raw\train\L_1041.jpg,d_r_316_,train,data/suim_processed/images/train_val/d_r_316_.jpg,2,pending,,,
uiis_train_000048,data\uiis_raw\train\L_1049.jpg,f_r_183_,calibration,data/suim_processed/images/train_val/f_r_183_.jpg,0,pending,,,
uiis_train_000050,data\uiis_raw\train\L_1051.jpg,f_r_906_,train,data/suim_processed/images/train_val/f_r_906_.jpg,0,pending,,,
uiis_train_000074,data\uiis_raw\train\L_1077.jpg,f_r_94_,val,data/suim_processed/images/train_val/f_r_94_.jpg,0,pending,,,
uiis_train_000078,data\uiis_raw\train\L_1082.jpg,f_r_1946_,train,data/suim_processed/images/train_val/f_r_1946_.jpg,2,pending,,,
uiis_train_000119,data\uiis_raw\train\L_1125.jpg,f_r_1119_,calibration,data/suim_processed/images/train_val/f_r_1119_.jpg,2,pending,,,
uiis_train_000123,data\uiis_raw\train\L_113.jpg,f_r_583_,train,data/suim_processed/images/train_val/f_r_583_.jpg,0,pending,,,
uiis_train_000126,data\uiis_raw\train\L_1132.jpg,f_r_451_,train,data/suim_processed/images/train_val/f_r_451_.jpg,2,pending,,,
uiis_train_000155,data\uiis_raw\train\L_122.jpg,n_l_79_,test,data/suim_processed/images/test/n_l_79_.jpg,2,pending,,,
uiis_train_000163,data\uiis_raw\train\L_13.jpg,f_r_1623_,train,data/suim_processed/images/train_val/f_r_1623_.jpg,0,pending,,,
uiis_train_000165,data\uiis_raw\train\L_133.jpg,f_r_1047_,train,data/suim_processed/images/train_val/f_r_1047_.jpg,2,pending,,,
uiis_train_000170,data\uiis_raw\train\L_143.jpg,f_r_94_,val,data/suim_processed/images/train_val/f_r_94_.jpg,0,pending,,,
uiis_train_000176,data\uiis_raw\train\L_151.jpg,d_r_316_,train,data/suim_processed/images/train_val/d_r_316_.jpg,2,pending,,,
uiis_train_000178,data\uiis_raw\train\L_153.jpg,f_r_1327_,train,data/suim_processed/images/train_val/f_r_1327_.jpg,0,pending,,,
uiis_train_000204,data\uiis_raw\train\L_179.jpg,f_r_100_,train,data/suim_processed/images/train_val/f_r_100_.jpg,0,pending,,,
uiis_train_000207,data\uiis_raw\train\L_182.jpg,f_r_1387_,train,data/suim_processed/images/train_val/f_r_1387_.jpg,2,pending,,,
uiis_train_000213,data\uiis_raw\train\L_190.jpg,f_r_480_,train,data/suim_processed/images/train_val/f_r_480_.jpg,2,pending,,,
uiis_train_000217,data\uiis_raw\train\L_196.jpg,f_r_382_,train,data/suim_processed/images/train_val/f_r_382_.jpg,0,pending,,,
uiis_train_000222,data\uiis_raw\train\L_205.jpg,f_r_1530_,train,data/suim_processed/images/train_val/f_r_1530_.jpg,0,pending,,,
uiis_train_000223,data\uiis_raw\train\L_206.jpg,f_r_591_,train,data/suim_processed/images/train_val/f_r_591_.jpg,0,pending,,,
uiis_train_000226,data\uiis_raw\train\L_21.jpg,f_r_1896_,train,data/suim_processed/images/train_val/f_r_1896_.jpg,0,pending,,,
uiis_train_000237,data\uiis_raw\train\L_223.jpg,f_r_1749_,val,data/suim_processed/images/train_val/f_r_1749_.jpg,0,pending,,,
uiis_train_000262,data\uiis_raw\train\L_261.jpg,f_r_970_,train,data/suim_processed/images/train_val/f_r_970_.jpg,2,pending,,,
