sample_id_a,sample_id_b,distance,evidence
uiis_train_000001,uiis_train_000279,2,phash_le_2
uiis_train_000001,uiis_train_001497,2,phash_le_2
uiis_train_000003,uiis_train_000115,0,phash_le_2
uiis_train_000003,uiis_train_001235,0,phash_le_2
uiis_train_000019,uiis_train_001520,0,phash_le_2
uiis_train_000019,uiis_train_002139,0,phash_le_2
uiis_train_000021,uiis_train_000035,0,phash_le_2
uiis_train_000025,uiis_train_003375,0,phash_le_2
uiis_train_000034,uiis_train_003042,0,phash_le_2
uiis_train_000034,uiis_val_000258,0,phash_le_2
uiis_train_000039,uiis_train_000285,0,phash_le_2
uiis_train_000039,uiis_train_001622,0,phash_le_2
uiis_train_000039,uiis_train_003078,0,phash_le_2
uiis_train_000047,uiis_train_001503,0,phash_le_2
uiis_train_000047,uiis_train_003225,0,phash_le_2
uiis_train_000053,uiis_train_003134,0,phash_le_2
uiis_train_000053,uiis_val_000261,0,phash_le_2
uiis_train_000058,uiis_train_003097,0,phash_le_2
uiis_train_000064,uiis_train_000871,0,phash_le_2
uiis_train_000064,uiis_val_000004,0,phash_le_2
uiis_train_000064,uiis_val_000270,0,phash_le_2
uiis_train_000066,uiis_train_000125,0,phash_le_2
uiis_train_000067,uiis_train_000169,0,phash_le_2
uiis_train_000067,uiis_train_002823,0,phash_le_2
uiis_train_000072,uiis_train_000559,0,phash_le_2
uiis_train_000072,uiis_train_001589,0,phash_le_2
uiis_train_000072,uiis_train_003057,0,phash_le_2
uiis_train_000080,uiis_train_001603,0,phash_le_2
uiis_train_000080,uiis_train_003069,0,phash_le_2
uiis_train_000084,uiis_train_000134,0,phash_le_2
uiis_train_000084,uiis_train_002985,0,phash_le_2
uiis_train_000090,uiis_train_001568,0,phash_le_2
uiis_train_000090,uiis_train_002928,0,phash_le_2
uiis_train_000090,uiis_val_000267,0,phash_le_2
uiis_train_000091,uiis_train_001539,2,phash_le_2
uiis_train_000091,uiis_train_001542,2,phash_le_2
uiis_train_000091,uiis_train_002924,2,phash_le_2
uiis_train_000091,uiis_train_003328,2,phash_le_2
uiis_train_000097,uiis_train_000185,0,phash_le_2
uiis_train_000100,uiis_train_003173,0,phash_le_2
uiis_train_000115,uiis_train_001235,0,phash_le_2
uiis_train_000133,uiis_train_001712,0,phash_le_2
uiis_train_000133,uiis_train_002849,0,phash_le_2
uiis_train_000133,uiis_val_000112,0,phash_le_2
uiis_train_000134,uiis_train_002985,0,phash_le_2
uiis_train_000136,uiis_train_003092,0,phash_le_2
uiis_train_000138,uiis_val_000020,0,phash_le_2
uiis_train_000139,uiis_train_003153,2,phash_le_2
uiis_train_000143,uiis_train_000464,0,phash_le_2
uiis_train_000158,uiis_train_001556,2,phash_le_2
uiis_train_000158,uiis_train_002460,2,phash_le_2
uiis_train_000164,uiis_train_000793,0,phash_le_2
uiis_train_000164,uiis_train_001505,0,phash_le_2
uiis_train_000164,uiis_train_001566,0,phash_le_2
uiis_train_000169,uiis_train_002823,0,phash_le_2
uiis_train_000179,uiis_train_001529,0,phash_le_2
uiis_train_000179,uiis_train_002922,0,phash_le_2
uiis_train_000187,uiis_train_000463,0,phash_le_2
uiis_train_000187,uiis_train_003132,0,phash_le_2
uiis_train_000187,uiis_val_000272,0,phash_le_2
uiis_train_000194,uiis_train_000416,0,phash_le_2
uiis_train_000194,uiis_train_002909,0,phash_le_2
uiis_train_000194,uiis_val_000283,0,phash_le_2
uiis_train_000209,uiis_train_003120,2,phash_le_2
uiis_train_000212,uiis_train_001548,2,phash_le_2
uiis_train_000212,uiis_train_001680,2,phash_le_2
uiis_train_000225,uiis_train_000441,0,phash_le_2
uiis_train_000225,uiis_train_001549,0,phash_le_2
uiis_train_000225,uiis_val_000373,0,phash_le_2
uiis_train_000227,uiis_val_000550,2,phash_le_2
uiis_train_000232,uiis_train_000640,0,phash_le_2
uiis_train_000232,uiis_train_001624,0,phash_le_2
uiis_train_000232,uiis_train_002955,0,phash_le_2
uiis_train_000260,uiis_train_000688,2,phash_le_2
uiis_train_000260,uiis_train_001271,0,phash_le_2
uiis_train_000264,uiis_train_000734,0,phash_le_2
uiis_train_000264,uiis_train_001184,0,phash_le_2
uiis_train_000268,uiis_train_001639,2,phash_le_2
uiis_train_000268,uiis_train_003067,2,phash_le_2
uiis_train_000279,uiis_train_001497,0,phash_le_2
uiis_train_000285,uiis_train_001622,0,phash_le_2
uiis_train_000285,uiis_train_003078,0,phash_le_2
uiis_train_000290,uiis_train_001583,0,phash_le_2
uiis_train_000290,uiis_train_003202,0,phash_le_2
uiis_train_000290,uiis_val_000563,0,phash_le_2
uiis_train_000311,uiis_train_000666,0,phash_le_2
uiis_train_000311,uiis_train_002885,0,phash_le_2
uiis_train_000334,uiis_train_001559,2,phash_le_2
uiis_train_000334,uiis_train_002967,2,phash_le_2
uiis_train_000343,uiis_train_001674,2,phash_le_2
uiis_train_000343,uiis_val_000121,0,phash_le_2
uiis_train_000343,uiis_val_000530,2,phash_le_2
uiis_train_000352,uiis_train_000953,0,phash_le_2
uiis_train_000352,uiis_val_000142,0,phash_le_2
uiis_train_000353,uiis_train_001744,0,phash_le_2
uiis_train_000353,uiis_train_002935,0,phash_le_2
uiis_train_000354,uiis_train_000369,0,phash_le_2
uiis_train_000354,uiis_train_001822,0,phash_le_2
uiis_train_000354,uiis_train_002124,0,phash_le_2
uiis_train_000368,uiis_train_001518,0,phash_le_2
uiis_train_000368,uiis_train_002905,0,phash_le_2
uiis_train_000369,uiis_train_001822,0,phash_le_2
uiis_train_000369,uiis_train_002124,0,phash_le_2
uiis_train_000376,uiis_train_001532,0,phash_le_2
uiis_train_000376,uiis_val_000510,0,phash_le_2
uiis_train_000384,uiis_val_000043,0,phash_le_2
uiis_train_000386,uiis_train_000767,0,phash_le_2
uiis_train_000386,uiis_train_001637,0,phash_le_2
uiis_train_000386,uiis_train_003110,0,phash_le_2
uiis_train_000400,uiis_train_001968,0,phash_le_2
uiis_train_000400,uiis_train_002997,0,phash_le_2
uiis_train_000403,uiis_train_000431,0,phash_le_2
uiis_train_000403,uiis_train_001042,0,phash_le_2
uiis_train_000404,uiis_train_001619,2,phash_le_2
uiis_train_000404,uiis_train_002897,2,phash_le_2
uiis_train_000404,uiis_val_000016,2,phash_le_2
uiis_train_000407,uiis_train_002857,2,phash_le_2
uiis_train_000407,uiis_train_003381,0,phash_le_2
uiis_train_000409,uiis_train_001694,2,phash_le_2
uiis_train_000409,uiis_val_000509,2,phash_le_2
uiis_train_000410,uiis_train_000669,0,phash_le_2
uiis_train_000410,uiis_train_001436,0,phash_le_2
uiis_train_000410,uiis_train_001552,0,phash_le_2
uiis_train_000412,uiis_train_002467,0,phash_le_2
uiis_train_000416,uiis_train_002909,0,phash_le_2
uiis_train_000416,uiis_val_000283,0,phash_le_2
uiis_train_000423,uiis_train_000648,0,phash_le_2
uiis_train_000431,uiis_train_001042,0,phash_le_2
uiis_train_000433,uiis_train_001604,0,phash_le_2
uiis_train_000433,uiis_train_002728,0,phash_le_2
uiis_train_000435,uiis_train_002906,0,phash_le_2
uiis_train_000435,uiis_train_003309,0,phash_le_2
uiis_train_000435,uiis_val_000045,0,phash_le_2
uiis_train_000441,uiis_train_001549,0,phash_le_2
uiis_train_000441,uiis_val_000373,0,phash_le_2
uiis_train_000445,uiis_train_000480,0,phash_le_2
uiis_train_000446,uiis_val_000052,0,phash_le_2
uiis_train_000454,uiis_train_002045,0,phash_le_2
uiis_train_000463,uiis_train_003132,0,phash_le_2
uiis_train_000463,uiis_val_000272,0,phash_le_2
uiis_train_000492,uiis_train_002853,0,phash_le_2
uiis_train_000492,uiis_val_000269,0,phash_le_2
uiis_train_000493,uiis_train_000638,0,phash_le_2
uiis_train_000493,uiis_train_001647,0,phash_le_2
uiis_train_000493,uiis_val_000536,0,phash_le_2
uiis_train_000502,uiis_train_001696,2,phash_le_2
uiis_train_000502,uiis_train_002822,0,phash_le_2
uiis_train_000506,uiis_train_001526,0,phash_le_2
uiis_train_000506,uiis_train_002064,0,phash_le_2
uiis_train_000509,uiis_train_001507,0,phash_le_2
uiis_train_000509,uiis_train_002044,0,phash_le_2
uiis_train_000519,uiis_train_000651,0,phash_le_2
uiis_train_000519,uiis_train_002839,0,phash_le_2
uiis_train_000522,uiis_train_001515,0,phash_le_2
uiis_train_000522,uiis_train_002816,0,phash_le_2
uiis_train_000524,uiis_train_001564,0,phash_le_2
uiis_train_000524,uiis_train_003109,0,phash_le_2
uiis_train_000542,uiis_train_000583,0,phash_le_2
uiis_train_000542,uiis_train_001498,0,phash_le_2
uiis_train_000542,uiis_train_002859,0,phash_le_2
uiis_train_000556,uiis_train_002899,0,phash_le_2
uiis_train_000556,uiis_val_000099,0,phash_le_2
uiis_train_000558,uiis_train_000587,0,phash_le_2
uiis_train_000558,uiis_train_002890,0,phash_le_2
uiis_train_000559,uiis_train_001589,0,phash_le_2
uiis_train_000559,uiis_train_003057,0,phash_le_2
uiis_train_000567,uiis_train_000568,0,phash_le_2
uiis_train_000567,uiis_train_001517,2,phash_le_2
uiis_train_000567,uiis_train_002998,2,phash_le_2
uiis_train_000568,uiis_train_001517,2,phash_le_2
uiis_train_000568,uiis_train_002998,2,phash_le_2
uiis_train_000574,uiis_train_002837,0,phash_le_2
uiis_train_000583,uiis_train_001498,0,phash_le_2
uiis_train_000583,uiis_train_002859,0,phash_le_2
uiis_train_000585,uiis_train_001648,2,phash_le_2
uiis_train_000585,uiis_train_002842,2,phash_le_2
uiis_train_000587,uiis_train_002890,0,phash_le_2
uiis_train_000593,uiis_train_001534,0,phash_le_2
uiis_train_000593,uiis_train_003204,0,phash_le_2
uiis_train_000593,uiis_train_003310,0,phash_le_2
uiis_train_000593,uiis_val_000102,0,phash_le_2
uiis_train_000594,uiis_train_001578,0,phash_le_2
uiis_train_000594,uiis_val_000522,0,phash_le_2
uiis_train_000600,uiis_train_001545,0,phash_le_2
uiis_train_000600,uiis_train_002093,0,phash_le_2
uiis_train_000616,uiis_train_003062,0,phash_le_2
uiis_train_000629,uiis_train_001510,0,phash_le_2
uiis_train_000629,uiis_train_002995,0,phash_le_2
uiis_train_000638,uiis_train_001647,0,phash_le_2
uiis_train_000638,uiis_val_000536,0,phash_le_2
uiis_train_000640,uiis_train_001624,0,phash_le_2
uiis_train_000640,uiis_train_002955,0,phash_le_2
uiis_train_000649,uiis_train_001501,0,phash_le_2
uiis_train_000649,uiis_val_000561,0,phash_le_2
uiis_train_000651,uiis_train_002839,0,phash_le_2
uiis_train_000654,uiis_train_003020,0,phash_le_2
uiis_train_000654,uiis_val_000263,0,phash_le_2
uiis_train_000663,uiis_train_002870,0,phash_le_2
uiis_train_000666,uiis_train_002885,0,phash_le_2
uiis_train_000669,uiis_train_001436,0,phash_le_2
uiis_train_000669,uiis_train_001552,0,phash_le_2
uiis_train_000677,uiis_train_001300,0,phash_le_2
uiis_train_000677,uiis_val_000265,0,phash_le_2
uiis_train_000684,uiis_val_000008,0,phash_le_2
uiis_train_000687,uiis_train_001325,0,phash_le_2
uiis_train_000687,uiis_train_001772,0,phash_le_2
uiis_train_000688,uiis_train_001271,2,phash_le_2
uiis_train_000689,uiis_train_001673,0,phash_le_2
uiis_train_000689,uiis_val_000170,0,phash_le_2
uiis_train_000690,uiis_train_001629,0,phash_le_2
uiis_train_000690,uiis_val_000313,0,phash_le_2
uiis_train_000692,uiis_train_001391,0,phash_le_2
uiis_train_000692,uiis_train_001557,0,phash_le_2
uiis_train_000705,uiis_val_000259,0,phash_le_2
uiis_train_000705,uiis_val_000417,0,phash_le_2
uiis_train_000707,uiis_train_003016,0,phash_le_2
uiis_train_000707,uiis_val_000262,0,phash_le_2
uiis_train_000714,uiis_train_003264,0,phash_le_2
uiis_train_000714,uiis_val_000151,0,phash_le_2
uiis_train_000717,uiis_train_000782,0,phash_le_2
uiis_train_000717,uiis_train_001543,0,phash_le_2
uiis_train_000717,uiis_val_000312,0,phash_le_2
uiis_train_000719,uiis_train_002680,0,phash_le_2
uiis_train_000728,uiis_train_001570,2,phash_le_2
uiis_train_000728,uiis_train_002919,2,phash_le_2
uiis_train_000728,uiis_val_000030,0,phash_le_2
uiis_train_000733,uiis_train_000993,0,phash_le_2
uiis_train_000734,uiis_train_001184,0,phash_le_2
uiis_train_000755,uiis_train_001519,0,phash_le_2
uiis_train_000755,uiis_train_003200,0,phash_le_2
uiis_train_000755,uiis_val_000133,0,phash_le_2
uiis_train_000767,uiis_train_001637,0,phash_le_2
uiis_train_000767,uiis_train_003110,0,phash_le_2
uiis_train_000772,uiis_train_000801,0,phash_le_2
uiis_train_000772,uiis_train_001537,0,phash_le_2
uiis_train_000772,uiis_train_002929,0,phash_le_2
uiis_train_000774,uiis_train_002554,0,phash_le_2
uiis_train_000774,uiis_val_000078,0,phash_le_2
uiis_train_000782,uiis_train_001543,0,phash_le_2
uiis_train_000782,uiis_val_000312,0,phash_le_2
uiis_train_000789,uiis_train_001590,0,phash_le_2
uiis_train_000789,uiis_train_001668,0,phash_le_2
uiis_train_000790,uiis_train_001521,0,phash_le_2
uiis_train_000790,uiis_train_003034,0,phash_le_2
uiis_train_000793,uiis_train_001505,0,phash_le_2
uiis_train_000793,uiis_train_001566,0,phash_le_2
uiis_train_000801,uiis_train_001537,0,phash_le_2
uiis_train_000801,uiis_train_002929,0,phash_le_2
uiis_train_000802,uiis_train_003312,2,phash_le_2
uiis_train_000814,uiis_train_002821,2,phash_le_2
uiis_train_000818,uiis_train_002916,0,phash_le_2
uiis_train_000841,uiis_train_002189,0,phash_le_2
uiis_train_000845,uiis_train_003853,0,phash_le_2
uiis_train_000847,uiis_train_002463,0,phash_le_2
uiis_train_000848,uiis_train_002397,0,phash_le_2
uiis_train_000849,uiis_train_002345,0,phash_le_2
uiis_train_000850,uiis_train_002426,0,phash_le_2
uiis_train_000852,uiis_val_000441,0,phash_le_2
uiis_train_000862,uiis_train_002324,0,phash_le_2
uiis_train_000870,uiis_train_002322,0,phash_le_2
uiis_train_000871,uiis_val_000004,0,phash_le_2
uiis_train_000871,uiis_val_000270,0,phash_le_2
uiis_train_000877,uiis_train_002421,0,phash_le_2
uiis_train_000880,uiis_train_002078,0,phash_le_2
uiis_train_000881,uiis_train_002620,0,phash_le_2
uiis_train_000887,uiis_train_002613,0,phash_le_2
uiis_train_000897,uiis_train_001882,0,phash_le_2
uiis_train_000902,uiis_train_002622,0,phash_le_2
uiis_train_000903,uiis_train_001670,0,phash_le_2
uiis_train_000907,uiis_train_002582,0,phash_le_2
uiis_train_000913,uiis_train_001910,0,phash_le_2
uiis_train_000915,uiis_train_002566,0,phash_le_2
uiis_train_000917,uiis_train_002411,0,phash_le_2
uiis_train_000918,uiis_train_002577,0,phash_le_2
uiis_train_000923,uiis_train_001710,0,phash_le_2
uiis_train_000925,uiis_val_000414,0,phash_le_2
uiis_train_000926,uiis_train_002372,0,phash_le_2
uiis_train_000927,uiis_train_002601,0,phash_le_2
uiis_train_000931,uiis_train_002596,0,phash_le_2
uiis_train_000932,uiis_train_002295,0,phash_le_2
uiis_train_000934,uiis_train_001846,0,phash_le_2
uiis_train_000935,uiis_val_000408,0,phash_le_2
uiis_train_000937,uiis_val_000439,0,phash_le_2
uiis_train_000939,uiis_train_002268,0,phash_le_2
uiis_train_000940,uiis_train_003643,0,phash_le_2
uiis_train_000942,uiis_train_002624,0,phash_le_2
uiis_train_000943,uiis_train_001913,0,phash_le_2
uiis_train_000943,uiis_train_001936,0,phash_le_2
uiis_train_000944,uiis_train_002217,0,phash_le_2
uiis_train_000949,uiis_train_002333,0,phash_le_2
uiis_train_000951,uiis_train_002418,0,phash_le_2
uiis_train_000953,uiis_val_000142,0,phash_le_2
uiis_train_000955,uiis_train_002417,0,phash_le_2
uiis_train_000958,uiis_train_002504,0,phash_le_2
uiis_train_000959,uiis_train_002383,0,phash_le_2
uiis_train_000961,uiis_val_000413,0,phash_le_2
uiis_train_000962,uiis_train_002388,0,phash_le_2
uiis_train_000972,uiis_train_002629,0,phash_le_2
uiis_train_000974,uiis_val_000393,0,phash_le_2
uiis_train_000975,uiis_train_002375,0,phash_le_2
uiis_train_000980,uiis_train_002514,0,phash_le_2
uiis_train_000982,uiis_train_002068,0,phash_le_2
uiis_train_000985,uiis_train_002326,0,phash_le_2
uiis_train_000985,uiis_train_002342,0,phash_le_2
uiis_train_001006,uiis_train_002639,0,phash_le_2
uiis_train_001008,uiis_train_002341,0,phash_le_2
uiis_train_001018,uiis_train_002424,0,phash_le_2
uiis_train_001019,uiis_train_002382,0,phash_le_2
uiis_train_001021,uiis_train_002263,0,phash_le_2
uiis_train_001023,uiis_train_002529,0,phash_le_2
uiis_train_001025,uiis_train_002080,0,phash_le_2
uiis_train_001029,uiis_train_002257,0,phash_le_2
uiis_train_001030,uiis_train_001699,0,phash_le_2
uiis_train_001030,uiis_train_003246,0,phash_le_2
uiis_train_001031,uiis_train_001636,0,phash_le_2
uiis_train_001031,uiis_train_003273,0,phash_le_2
uiis_train_001033,uiis_train_002523,0,phash_le_2
uiis_train_001034,uiis_train_002425,0,phash_le_2
uiis_train_001036,uiis_train_002246,0,phash_le_2
uiis_train_001044,uiis_train_002389,0,phash_le_2
uiis_train_001045,uiis_train_002332,0,phash_le_2
uiis_train_001048,uiis_val_000583,0,phash_le_2
uiis_train_001057,uiis_train_002546,0,phash_le_2
uiis_train_001060,uiis_train_002387,0,phash_le_2
uiis_train_001060,uiis_train_003717,0,phash_le_2
uiis_train_001061,uiis_train_002434,0,phash_le_2
uiis_train_001062,uiis_train_001932,0,phash_le_2
uiis_train_001069,uiis_val_000435,0,phash_le_2
uiis_train_001073,uiis_train_002378,0,phash_le_2
uiis_train_001075,uiis_train_002265,0,phash_le_2
