sample_id,source_partition,source_image_id,image_path,mask_path,image_sha256,mask_sha256,width,height,annotation_count,present_classes,pixels_class_0,pixels_class_1,pixels_class_2,pixels_class_3,pixels_class_4,pixels_class_5,pixels_class_6,pixels_class_7,admission_status,admission_reason,scene_group_id
uiis_train_000003,train,3,data\uiis_raw\train\L_1002.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000003.png,9b31c5d9ca4ac679fb858bd0616860d842491548197cd86380ebeac855015140,b36a6e668d81c190fba8b0b83e4ac1b4a3339f7d30e0608d8179acb80dde31cc,320,240,3,0;6;7,59911,0,0,0,0,0,624,16265,include,cleared_suim_overlap_and_exact_duplicate_screen,uiis_scene:uiis_train_000003
uiis_train_000009,train,9,data\uiis_raw\train\L_1008.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000009.png,148115f12f8df0726389d44a31ce02206fd6e1d858f29ae4aedeb51f599e1e9e,327014e4d043f30f13507b604aabc0d2c9e8ee9a537b2acd52ba4d2bc789b603,256,256,1,0;5,43182,0,0,0,0,22354,0,0,include,cleared_suim_overlap_and_exact_duplicate_screen,uiis_scene:uiis_train_000009
uiis_train_000013,train,13,data\uiis_raw\train\L_1011.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000013.png,f7e7e685af518593da5359b2bc5b1d34b8d6c7037e7822dc9d9b198fa48e625c,d4a7d2e640ccb43492a801f73b2016a9ef321685a7e9b404268f49cb337da4e1,256,256,4,0;2;5,25815,0,33869,0,0,5852,0,0,include,cleared_suim_overlap_and_exact_duplicate_screen,uiis_scene:uiis_train_000013
uiis_train_000024,train,24,data\uiis_raw\train\L_1022.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000024.png,f9a74d82120ce31b1453c213ea43eed39b1e2b7d9726b420d9edc7b488596a83,46c0511e0c593da2f3ea51c3a2455e1288e4b494ec04f3351c9193eb8d657e24,256,256,2,0;5,20226,0,0,0,0,45310,0,0,include,cleared_suim_overlap_and_exact_duplicate_screen,uiis_scene:uiis_train_000024
uiis_train_000054,train,54,data\uiis_raw\train\L_1055.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000054.png,27dcaa18b63254ce9bd1090d88af7a7c2c0a51fb1de064e4a6f0be2b58ddf676,c7c35d6c46ca5c6c589a75b3f9d441e426099c4774e9c36ddd45a92521319f16,256,256,1,0;6,59147,0,0,0,0,0,6389,0,include,cleared_suim_overlap_and_exact_duplicate_screen,uiis_scene:uiis_train_000054
uiis_train_000057,train,57,data\uiis_raw\train\L_1059.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000057.png,d375cd2936ba09d2d812af7a79f7a4c4616bc44f2b0ba4fd247b4021694590a1,a988c0493b86a429a1dce9d5d6e1e7037a1c6a6014f3ddfcfcc2ba6434744488,256,256,3,0;5,36770,0,0,0,0,28766,0,0,include,cleared_suim_overlap_and_exact_duplicate_screen,uiis_scene:uiis_train_000057
uiis_train_000058,train,58,data\uiis_raw\train\L_106.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000058.png,3977e398733c407ff0c0e3c856b34481a870a20e386aed413eeb58539bad8c88,499f37d0c7fc7a33bb68a67519ab0e7df44973a800ecf09969b73d6dc9fec538,320,240,3,0;5;6,74663,0,0,0,0,1373,764,0,include,cleared_suim_overlap_and_exact_duplicate_screen,uiis_scene:uiis_train_000058
uiis_train_000065,train,65,data\uiis_raw\train\L_1067.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000065.png,bd95993d3e169505da6c0ed0b8fd162180b4375927149c9894edc46490d099c0,74979487caf435db24eb150c01f61a77d799ccf5a493b6b4a2c5f71c9f367d8b,256,256,1,0;5,60361,0,0,0,0,5175,0,0,include,cleared_suim_overlap_and_exact_duplicate_screen,uiis_scene:uiis_train_000065
uiis_train_000068,train,68,data\uiis_raw\train\L_1070.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000068.png,53e764635799515eb3bec8078ca4ec1c9fd849b6dc966f922c490f6863691135,931055f5f9377fa15c5cfb4ce24689cd6de9f7bc92e3326289e048e3c13fdc08,256,256,8,0;5,50258,0,0,0,0,15278,0,0,include,cleared_suim_overlap_and_exact_duplicate_screen,uiis_scene:uiis_train_000068
uiis_train_000083,train,83,data\uiis_raw\train\L_1088.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000083.png,00db2099f68747c231e0a8ab3c810fbad8dba897ef98bcb737867a797437bc33,6102aa36f5f9152da1c52573b69d6ba8cdd423ae66a3bc7a0037b21c0b47ee0a,256,256,1,0;6,47863,0,0,0,0,0,17673,0,include,cleared_suim_overlap_and_exact_duplicate_screen,uiis_scene:uiis_train_000083
