sample_id,source_partition,source_image_id,image_path,mask_path,image_sha256,mask_sha256,width,height,annotation_count,present_classes,pixels_class_0,pixels_class_1,pixels_class_2,pixels_class_3,pixels_class_4,pixels_class_5,pixels_class_6,pixels_class_7,admission_status,admission_reason,scene_group_id
uiis_train_000001,train,1,data\uiis_raw\train\L_10.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000001.png,af60b73925017b63e26ef621b123574e6d8fcd164c9e45a06253358ccee46dd2,f089293e527a0e7a4d20ca9da96e199e7f617795490e7e5f26b2fcb362c28ec9,320,240,1,0;2,31726,0,45074,0,0,0,0,0,include,cleared_suim_overlap_and_exact_duplicate_screen,uiis_scene:uiis_train_000001
uiis_train_000007,train,7,data\uiis_raw\train\L_1006.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000007.png,0d64f685a91ee471aa991bc35c338428ab4910d8df73d54ef1d8280c4d95084c,cf6f58b06dc1061bdf5040bc0524cf3a57f7bdec2e0e847df49035451e44b048,256,256,19,0;2;5;6;7,42095,0,1238,0,0,17206,238,4759,include,cleared_suim_overlap_and_exact_duplicate_screen,uiis_scene:uiis_train_000007
uiis_train_000011,train,11,data\uiis_raw\train\L_101.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000011.png,acf61a30fe12dba9917aa1148f04abb1c83d233316dcbb5dbcab66231144baf6,e503abcd988b5c5764cfbfe6a89fab15652b047c102bfddc114b04f40178af0d,256,256,1,0;5,50293,0,0,0,0,15243,0,0,include,cleared_suim_overlap_and_exact_duplicate_screen,uiis_scene:uiis_train_000011
uiis_train_000018,train,18,data\uiis_raw\train\L_1016.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000018.png,3d50f1ae4f6e20544cff85f21ca9caf43ba794f10ec3a953488a33b796f7a025,868054a77a38b1bb666ad937c493023a132cd5c51ea95091c56a4f83794b3708,256,256,2,0;5;6,18380,0,0,0,0,46671,485,0,include,cleared_suim_overlap_and_exact_duplicate_screen,uiis_scene:uiis_train_000018
uiis_train_000019,train,19,data\uiis_raw\train\L_1017.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000019.png,1db8d9411c5e79d7de39e13033b1b1b2b18db8c71a29a18c4040cf1bafcaba0a,47bd453f6251b17f3253e420a9259fc6fec19214b4e1fe98910ccbaaf434a7c5,320,240,1,0;5,69532,0,0,0,0,7268,0,0,include,cleared_suim_overlap_and_exact_duplicate_screen,uiis_scene:uiis_train_000019
uiis_train_000023,train,23,data\uiis_raw\train\L_1021.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000023.png,c80acb8bdf4cbeac0816117d10f34ad921d91bc50ac00e7288b09835d48a022b,ca3064dd1305b81daeed6705879c56709108c9b1fd2909d6f2d3f95b54a58855,500,298,3,0;5;6,24704,0,0,0,0,96506,27790,0,include,cleared_suim_overlap_and_exact_duplicate_screen,uiis_scene:uiis_train_000023
uiis_train_000027,train,27,data\uiis_raw\train\L_1026.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000027.png,9df452bb62ab17849d62f6e47363cfe109380a145b038257136186c369a2dd2d,73319a17604dc60c6495f7c2478a804c415999d4a2edadecec98849751d34a39,256,256,2,0;5;6,27159,0,0,0,0,34618,3759,0,include,cleared_suim_overlap_and_exact_duplicate_screen,uiis_scene:uiis_train_000027
uiis_train_000039,train,39,data\uiis_raw\train\L_1039.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000039.png,39596e24582d3c708a7ea3645347a3a3a4320b92000a8e21a4ddff1fa8e7d5a6,6543c7f8f5d8378416f801cc5fdf92aea02dae364d5ed501fa8b5937e72cb61f,320,240,4,0;5;6;7,31793,0,0,0,0,1491,243,43273,include,cleared_suim_overlap_and_exact_duplicate_screen,uiis_scene:uiis_train_000039
uiis_train_000043,train,43,data\uiis_raw\train\L_1043.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000043.png,e0dfec0a94597069922e977b3c55af51f70bba0ad31b46986de70afe4db3acbf,cb60c9cc7ff0eb24b0e879381ecb0a03636ceb3e3f8788f64c673effdef5365d,256,256,6,0;5;7,34372,0,0,0,0,30453,0,711,include,cleared_suim_overlap_and_exact_duplicate_screen,uiis_scene:uiis_train_000043
uiis_train_000045,train,45,data\uiis_raw\train\L_1045.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000045.png,ef17fe09cb36fc677a57d6b07b7bc76aa00edfab5269fa402ae90e8fccdf2bb8,e7bd98d195f0d72618f4c8d0ad32b30cab051b377cd4c5483743dec156bcc837,256,256,5,0;5;6,37979,0,0,0,0,25652,1905,0,include,cleared_suim_overlap_and_exact_duplicate_screen,uiis_scene:uiis_train_000045
uiis_train_000062,train,62,data\uiis_raw\train\L_1064.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000062.png,8512cf63bc3c16164a5d4e0b3404105ec1ab0fe59587fc067002a73c824280f8,fee40cf3151fafa4301804534e98376cbcf3fbe4c6d9c34ac09770dcbf5fe51c,256,256,5,0;5;6,22751,0,0,0,0,42317,468,0,include,cleared_suim_overlap_and_exact_duplicate_screen,uiis_scene:uiis_train_000062
uiis_train_000063,train,63,data\uiis_raw\train\L_1065.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000063.png,25d81a41af095565555cc66973e36596a03d5e20a124702c044c6a9590f8af34,5702c48028fb9ec443202778c1e5873e1de91d3f1b9c633f316245ac40bae8d1,256,256,6,0;5;6,42147,0,0,0,0,21055,2334,0,include,cleared_suim_overlap_and_exact_duplicate_screen,uiis_scene:uiis_train_000063
uiis_train_000070,train,70,data\uiis_raw\train\L_1072.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000070.png,bd7a3f82a5fd08bf7b5d05b974d3947ccac7db0362a6939aa30c0dfff9a3a475,db54db2917f57dfede716ab63407ea40d3d3c5c495b80b9f68f0056ce58e90d8,256,256,2,0;5;6,55634,0,0,0,0,3320,6582,0,include,cleared_suim_overlap_and_exact_duplicate_screen,uiis_scene:uiis_train_000070
uiis_train_000077,train,77,data\uiis_raw\train\L_1081.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000077.png,e873b34249c4bc3e3904a88779965a7a2b1773b608cd005244f9af8611119e0b,ce2bff5c9ee02bbe473ab5712a53ea40ec085ffc1318eae4190c6f4f47503199,256,256,3,0;5,11224,0,0,0,0,54312,0,0,include,cleared_suim_overlap_and_exact_duplicate_screen,uiis_scene:uiis_train_000077
uiis_train_000081,train,81,data\uiis_raw\train\L_1086.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000081.png,3d1a927295336ab6ce3baf0ba2a4b3fb4ab5a27042ff1a33c9cdc45cadf4a932,8c865cf47a2d0558f5f3cfaec27e34aa4088c297775747c50176e61257c29947,256,256,1,0;6,48866,0,0,0,0,0,16670,0,include,cleared_suim_overlap_and_exact_duplicate_screen,uiis_scene:uiis_train_000081
uiis_train_000087,train,87,data\uiis_raw\train\L_1092.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000087.png,285823b60ec8f2e08e91ae6e44553147a10f624884ad3ce986f404d080c195aa,baae3254ab684af8447881553b272d698a9de9b48cb6843b4283386795ae287d,256,256,10,0;5;6;7,31496,0,0,0,0,6315,6247,21478,include,cleared_suim_overlap_and_exact_duplicate_screen,uiis_scene:uiis_train_000087
uiis_train_000093,train,93,data\uiis_raw\train\L_1098.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000093.png,65b9722898af806d8563caa5b33894f34047dc701f979384b12e62c77b663722,e8f1002378a1060085002fc871c7e6072236d4b6eae89b0bcc945d3686d1d82d,256,256,2,0;5;6,38559,0,0,0,0,20697,6280,0,include,cleared_suim_overlap_and_exact_duplicate_screen,uiis_scene:uiis_train_000093
uiis_train_000094,train,94,data\uiis_raw\train\L_1099.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000094.png,4d5073784f4e99a31241c2ae31037192f7aeab2e92cd7e5e3b476fc66360d269,d7610414fa42af7b09f4950f5cca46869172a1d60c2bc612ad604088758c007a,256,256,4,0;5;6,32869,0,0,0,0,31633,1034,0,include,cleared_suim_overlap_and_exact_duplicate_screen,uiis_scene:uiis_train_000094
uiis_train_000099,train,99,data\uiis_raw\train\L_1102.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000099.png,db4d59aed723934a1fbe0d1decc5f73276f7968be309c23f960b88e38bdd5df4,efa13e91e2e2f95bbd941a92f31d613f45312a21b6f442dc2bcea4a978892f2d,256,256,1,0;5,31641,0,0,0,0,33895,0,0,include,cleared_suim_overlap_and_exact_duplicate_screen,uiis_scene:uiis_train_000099
uiis_train_000100,train,100,data\uiis_raw\train\L_1103.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000100.png,e02a29eed7ea42d3dfaddf0c178c8aa7a6115cd1dd1f51c7c7ea416839d102fd,1077e3c974eb06ca985b424e69fbda309b363354650c0b07cb934f639eeef89d,320,240,2,0;5;6,34508,0,0,0,0,41783,509,0,include,cleared_suim_overlap_and_exact_duplicate_screen,uiis_scene:uiis_train_000100
uiis_train_000104,train,104,data\uiis_raw\train\L_1108.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000104.png,d2b2aa529227de7ad3ebcc0ee083ee8076a1996d8cdfab9162b4b14fd135966d,393091cda04f4425fe1733e999e9e5fb3fdfd48cc36f14419d909f77018019dc,500,374,1,0;5,117780,0,0,0,0,69220,0,0,include,cleared_suim_overlap_and_exact_duplicate_screen,uiis_scene:uiis_train_000104
uiis_train_000113,train,113,data\uiis_raw\train\L_1119.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000113.png,0def604be2c063c57263f67d7b210ffe1b67872a79438bc20b422566159ddc62,21918307caa0df80b3339486fc794452ca02cb8924d9d2a72a386c0bad137775,320,240,2,0;3,53961,0,0,22839,0,0,0,0,include,cleared_suim_overlap_and_exact_duplicate_screen,uiis_scene:uiis_train_000113
uiis_train_000114,train,114,data\uiis_raw\train\L_112.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000114.png,e0eacaa3548fefa8e28d9643d66f93409c7163f095a4bb45c3e8e5a8394901de,7c0cbef47bf805e72723645cc3402e8202ca51d3e82875457487ca90bdb442e4,256,256,3,0;5,46105,0,0,0,0,19431,0,0,include,cleared_suim_overlap_and_exact_duplicate_screen,uiis_scene:uiis_train_000114
uiis_train_000144,train,144,data\uiis_raw\train\L_1154.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000144.png,bb2269fd4f55f3e53b3fa385af1970fd95567d3eda6751c5dfbe0c3a68827dbf,0272bd4fe9dc4d7145902f4a030fce96bb7e7febe61c435351871b7c35297b17,256,256,1,0;5,31956,0,0,0,0,33580,0,0,include,cleared_suim_overlap_and_exact_duplicate_screen,uiis_scene:uiis_train_000144
uiis_train_000146,train,146,data\uiis_raw\train\L_1157.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000146.png,b1f284cdbc7c890a5905091e62308be39d2b84384e429b68ab80334b3ba2f81c,00f50cc9b3e20aec67c360307b7ebc17cac37e685fa091c60647bcee1880c642,256,256,2,0;6,44911,0,0,0,0,0,20625,0,include,cleared_suim_overlap_and_exact_duplicate_screen,uiis_scene:uiis_train_000146
uiis_train_000147,train,147,data\uiis_raw\train\L_1158.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000147.png,c9b177a7ff8c6456658fb1c8198bfb407435cdbfd77efc5f1ff20664b15a4383,ec15408516f7248951e4bea3e7448e46551d92df5f64954100983806d69834f8,256,256,1,0;5,16969,0,0,0,0,48567,0,0,include,cleared_suim_overlap_and_exact_duplicate_screen,uiis_scene:uiis_train_000147
uiis_train_000168,train,168,data\uiis_raw\train\L_139.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000168.png,17cc244eb117879f566d1fcfa23f40044650662cf1e32cab0dd4ea3071107010,35de0b76ee898606891e9fa732236cf4543994a573752f5da7f80a2bc42e5582,256,256,1,0;1,56546,8990,0,0,0,0,0,0,include,cleared_suim_overlap_and_exact_duplicate_screen,uiis_scene:uiis_train_000168
uiis_train_000172,train,172,data\uiis_raw\train\L_146.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000172.png,92d7000c0567306822a0620619dbc5bdf1a6d8b222044818bd82e2af37fe76e6,96b08492225fb286318b9e8b4fa93ae1de81680e2e1dc07610e4640d1f2de0eb,256,256,3,0;1,65178,358,0,0,0,0,0,0,include,cleared_suim_overlap_and_exact_duplicate_screen,uiis_scene:uiis_train_000172
uiis_train_000179,train,179,data\uiis_raw\train\L_154.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000179.png,a04bece36f941077fd30fda137574e12139b8baa8e6e069ad9448a962aac63bc,5f01449337e82ae00f95ba678e3ab49ec6b733949d33449738e74fdef6c65c5b,320,240,4,0;2;5;6,29101,0,5079,0,0,41084,1536,0,include,cleared_suim_overlap_and_exact_duplicate_screen,uiis_scene:uiis_train_000179
uiis_train_000190,train,190,data\uiis_raw\train\L_164.jpg,data\uiis_processed\semantic_masks\train\uiis_train_000190.png,4abcc9ac35afa255de8e043d92d6791b1a112f592aa0d3b3acca1632919ca0bf,b38de974d3e0ef0672ae6f2c657a390e8aa07e3cdea10f6a839c77c32fcd44b6,256,256,3,0;6;7,24519,0,0,0,0,0,349,40668,include,cleared_suim_overlap_and_exact_duplicate_screen,uiis_scene:uiis_train_000190
