comparison,method,target_alpha,seed,metric,mean_improvement,ci95_low,ci95_high,iterations,cluster_unit,clusters
oracle_condition_crc - global_crc,oracle_condition_crc,0.05,,coverage_improvement,0.002307692307692311,0.002307692307692311,0.002307692307692311,1000,sample_id_with_all_13_conditions,146
oracle_condition_crc - global_crc,oracle_condition_crc,0.05,,risk_excess_reduction,0.00014499135835116268,-0.0008276731487075229,0.0009989838845310608,1000,sample_id_with_all_13_conditions,146
oracle_condition_crc - global_crc,oracle_condition_crc,0.05,,worst_condition_risk_excess_reduction,-0.0006057278497131822,-0.0023288549060378324,0.00010713966003593614,1000,sample_id_with_all_13_conditions,146
oracle_condition_crc - global_crc,oracle_condition_crc,0.05,,lowlight_s3_risk_excess_reduction,0.0,0.0,0.0,1000,sample_id_with_all_13_conditions,146
oracle_condition_crc - global_crc,oracle_condition_crc,0.05,,blur_s3_risk_excess_reduction,0.0,0.0,0.0,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260722.0,coverage_improvement,0.006965226554267654,0.005847997892518443,0.007945468914646998,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260722.0,risk_excess_reduction,-0.0012304572828246037,-0.004008327547860214,0.0010627859499748853,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260722.0,worst_condition_risk_excess_reduction,-0.00011288938080662325,-0.003330286771632342,0.0031225869831173004,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260722.0,lowlight_s3_risk_excess_reduction,0.0,0.0,0.0,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260722.0,blur_s3_risk_excess_reduction,-0.004064008847121404,-0.011077288966562139,0.0012750526333199033,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260723.0,coverage_improvement,0.006933614330874608,0.005943097997892521,0.007977344573234988,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260723.0,risk_excess_reduction,-0.0012345064680268204,-0.003962099661426546,0.0010390445957014205,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260723.0,worst_condition_risk_excess_reduction,-0.00011288938080662325,-0.0036219562640475832,0.002922882442203132,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260723.0,lowlight_s3_risk_excess_reduction,0.0,0.0,0.0,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260723.0,blur_s3_risk_excess_reduction,-0.004064008847121404,-0.01198834752758059,0.0013286886409432182,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260724.0,coverage_improvement,0.006933614330874608,0.005921232876712331,0.007987355110642785,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260724.0,risk_excess_reduction,-0.0012345064680268204,-0.003913074844900072,0.0011115631765700176,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260724.0,worst_condition_risk_excess_reduction,-0.00011288938080662325,-0.003730330603158944,0.0030719818659995864,1000,sample_id_with_all_13_conditions,146
