comparison,method,target_alpha,seed,metric,mean_improvement,ci95_low,ci95_high,iterations,cluster_unit,clusters
oracle_condition_crc - global_crc,oracle_condition_crc,0.05,,coverage_improvement,0.0,0.0,0.0,1000,sample_id_with_all_13_conditions,146
oracle_condition_crc - global_crc,oracle_condition_crc,0.05,,risk_excess_reduction,0.0,0.0,0.0,1000,sample_id_with_all_13_conditions,146
oracle_condition_crc - global_crc,oracle_condition_crc,0.05,,worst_condition_risk_excess_reduction,0.0,0.0,0.0,1000,sample_id_with_all_13_conditions,146
oracle_condition_crc - global_crc,oracle_condition_crc,0.05,,lowlight_s3_risk_excess_reduction,0.0,0.0,0.0,1000,sample_id_with_all_13_conditions,146
oracle_condition_crc - global_crc,oracle_condition_crc,0.05,,blur_s3_risk_excess_reduction,0.0,0.0,0.0,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260722.0,coverage_improvement,0.003482613277133825,0.00292399894625922,0.003972734457323498,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260722.0,risk_excess_reduction,-0.0008326038714604757,-0.0019351499584460603,0.0002301473760718641,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260722.0,worst_condition_risk_excess_reduction,0.0006667499279775593,-0.0022625061675781793,0.003717295689361204,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260722.0,lowlight_s3_risk_excess_reduction,0.0,0.0,0.0,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260722.0,blur_s3_risk_excess_reduction,-0.0015592858751865793,-0.004694168120008663,0.001038497071477986,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260723.0,coverage_improvement,0.003466807165437302,0.0029715489989462596,0.003988672286617491,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260723.0,risk_excess_reduction,-0.0007882753212715901,-0.0018780160385124,0.0002814141089454001,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260723.0,worst_condition_risk_excess_reduction,0.0006667499279775593,-0.002189295395510271,0.0037528061654421895,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260723.0,lowlight_s3_risk_excess_reduction,0.0,0.0,0.0,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260723.0,blur_s3_risk_excess_reduction,-0.0015592858751865793,-0.004338015746099999,0.0010868600722460542,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260724.0,coverage_improvement,0.003466807165437302,0.002960616438356164,0.003993677555321391,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260724.0,risk_excess_reduction,-0.0007882753212715901,-0.001955692624572027,0.00023516383604621914,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260724.0,worst_condition_risk_excess_reduction,0.0006667499279775593,-0.0020037540818695363,0.0040189243674582055,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260724.0,lowlight_s3_risk_excess_reduction,0.0,0.0,0.0,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260724.0,blur_s3_risk_excess_reduction,-0.0015592858751865793,-0.004772751442673424,0.0009648701342397639,1000,sample_id_with_all_13_conditions,146
oracle_condition_crc - global_crc,oracle_condition_crc,0.1,,coverage_improvement,0.06230769230769223,0.06230769230769223,0.06230769230769223,1000,sample_id_with_all_13_conditions,146
oracle_condition_crc - global_crc,oracle_condition_crc,0.1,,risk_excess_reduction,-0.004098663285530864,-0.0067618849456914515,-0.0016111656674145803,1000,sample_id_with_all_13_conditions,146
oracle_condition_crc - global_crc,oracle_condition_crc,0.1,,worst_condition_risk_excess_reduction,0.007071510664576486,-0.010930206075574635,0.02531024185380823,1000,sample_id_with_all_13_conditions,146
oracle_condition_crc - global_crc,oracle_condition_crc,0.1,,lowlight_s3_risk_excess_reduction,0.03723101612339546,0.010915753064242157,0.0625766309914207,1000,sample_id_with_all_13_conditions,146
oracle_condition_crc - global_crc,oracle_condition_crc,0.1,,blur_s3_risk_excess_reduction,0.003927769370171543,0.0020605232015578337,0.005969487765925855,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.1,20260722.0,coverage_improvement,0.00013171759747102927,-0.013494863013698623,0.013732218124341415,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.1,20260722.0,risk_excess_reduction,0.005056701585273245,-0.00046969038465683756,0.012812763675970163,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.1,20260722.0,worst_condition_risk_excess_reduction,0.01624592494914545,0.0024936481346691697,0.03076339158205073,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.1,20260722.0,lowlight_s3_risk_excess_reduction,0.03376812800866303,0.016558503207760287,0.051756769522618096,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.1,20260722.0,blur_s3_risk_excess_reduction,-0.0002940436235728892,-0.008820915126074559,0.009996330199104493,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.1,20260723.0,coverage_improvement,-0.010363540569020049,-0.02242531612223395,0.0017070600632244142,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.1,20260723.0,risk_excess_reduction,0.005821638105973112,0.0006369313461368349,0.013769498881374933,1000,sample_id_with_all_13_conditions,146
