condition,degradation_type,severity,split,miou,pixel_accuracy,mean_accuracy,mean_dice,loss,nll,brier_score,ece,error_auroc,aurc,mean_confidence,mean_correct_confidence,mean_wrong_confidence
clean,clean,0,val,0.5606678203980276,0.8331059146689498,0.6548028451862504,0.6772105551880878,0.7566433699980174,0.7566371842243537,0.2715907613073491,0.09070182780795684,0.7856198454590317,0.06300356072395251,0.9238077998161316,0.9468199014663696,0.8089353442192078
clean,clean,0,calibration,0.6126301711229893,0.8154925342019834,0.7226754423812576,0.7361178132798241,0.7623627381782009,0.7623533357042519,0.2932630741070032,0.09434959783858031,0.7795384527072782,0.07927403989359101,0.9098421335220337,0.9370810985565186,0.7894501686096191
color_s1,color_attenuation,1,val,0.560327319373103,0.8310410776820538,0.6564852908385527,0.6775122466778626,0.7455630477977125,0.7455588112864502,0.27227743321539244,0.08918569092173854,0.793906859540582,0.060989165538856596,0.9202267527580261,0.9447436332702637,0.7996382117271423
color_s1,color_attenuation,1,calibration,0.6056399998721795,0.809787651538123,0.7173250019702964,0.7315582863672845,0.7685936350528508,0.7685862981021132,0.3011270941120304,0.09653156690613068,0.7850694255503545,0.07874089349376065,0.9063191413879395,0.9351035356521606,0.783775269985199
color_s2,color_attenuation,2,val,0.5518841916332029,0.824681065761154,0.6513279315450267,0.6707310913121134,0.7448039775433606,0.7448010978089076,0.27903437795885805,0.08958747855636408,0.804931261384329,0.0599729977175438,0.9142662286758423,0.940999448299408,0.7885160446166992
color_s2,color_attenuation,2,calibration,0.5895533691692805,0.7981334204361682,0.7040234192942001,0.7196692467602706,0.7946500129079166,0.7946444399643525,0.31786307914797757,0.10233094213839644,0.7899770305109022,0.0807065604931338,0.9004644155502319,0.9315189719200134,0.7776814699172974
color_s3,color_attenuation,3,val,0.5370481991691235,0.8132006965997194,0.6429050734983195,0.6593229649985446,0.76349996377344,0.7634972974408526,0.29397398405786335,0.0926149441780218,0.8085333312692611,0.0634828724977748,0.9058112502098083,0.9349335432052612,0.7790318727493286
color_s3,color_attenuation,3,calibration,0.5639777452292964,0.7777306311388176,0.683683383651762,0.6993379518560204,0.8651690924004333,0.8651643895304548,0.34776167455873536,0.1147852925891063,0.7880542731773506,0.09031224977831007,0.8925158977508545,0.9267699122428894,0.7726595997810364
turbidity_s1,turbidity,1,val,0.5574629472825288,0.8321243820306554,0.6538782584348304,0.6745072410561372,0.756400635593558,0.7563951356588796,0.2721031388917107,0.09049964852677297,0.7900194118723785,0.06205244745799358,0.9226083755493164,0.9463240504264832,0.8050537705421448
turbidity_s1,turbidity,1,calibration,0.6107003139987939,0.815743131361777,0.7220725967531332,0.7343646360824466,0.7638553960682595,0.763846323733279,0.2929643726421455,0.09360469169098025,0.7780110172556716,0.08007719945534814,0.9093478322029114,0.9366885423660278,0.7883046865463257
turbidity_s2,turbidity,2,val,0.552582125841191,0.8289091206032392,0.6507938206984847,0.6704982044523844,0.7433541637577422,0.7433499068792915,0.2750856948044021,0.09043095616316751,0.7969570308173112,0.06105227550834591,0.9193401336669922,0.9443951845169067,0.7979514598846436
turbidity_s2,turbidity,2,calibration,0.6001707914621843,0.808092184081288,0.7149769163379927,0.72696347507339,0.7998933869681947,0.799883347486615,0.30400564808460856,0.09701285764922749,0.77635006594484,0.08566879680935457,0.9051049947738647,0.933846116065979,0.7840810418128967
turbidity_s3,turbidity,3,val,0.5364679632192935,0.8171456858084808,0.6389862115263727,0.6583700523911677,0.7741902852303362,0.7741868539487935,0.2910179536636562,0.09383863467987441,0.8015133956411931,0.06470694619542879,0.9109813570976257,0.9390292167663574,0.7856401205062866
turbidity_s3,turbidity,3,calibration,0.5775453115806277,0.7902153398348316,0.6958805617198107,0.7103300523271507,0.8854992446834093,0.8854887278656981,0.3328516831681064,0.10798169273132259,0.7705181662462164,0.09421178612501638,0.8981969952583313,0.928960919380188,0.782315731048584
lowlight_s1,lowlight,1,val,0.5540233766085042,0.82694215353584,0.6543010594412226,0.6713242419400891,0.7627345339892662,0.7627298029953304,0.2780184194196123,0.09181121784393216,0.7942888105325798,0.0630130577771654,0.9187533855438232,0.944052517414093,0.7978637218475342
lowlight_s1,lowlight,1,calibration,0.6038486284347269,0.8062628944896308,0.7216152207762401,0.7303027422064801,0.805895549385515,0.8057356374267393,0.3063644718724662,0.09827082507379119,0.7791022004865851,0.08547166326185818,0.9045335650444031,0.9338249564170837,0.7826335430145264
lowlight_s2,lowlight,2,val,0.515991950895779,0.7936287100456622,0.6382880892679974,0.6430334243541196,0.8514672705571945,0.8514649995022894,0.32617721419719076,0.10717266111938827,0.7852801355062152,0.07993205580395527,0.900800883769989,0.9314156770706177,0.7830678820610046
lowlight_s2,lowlight,2,calibration,0.5694464578977043,0.7809863039710568,0.7017302574553961,0.7042674628437003,0.8897925251967287,0.8897491176378781,0.341944515977276,0.11047692736022013,0.7807991456484483,0.09665798148829684,0.8914613127708435,0.9254312515258789,0.7703268527984619
lowlight_s3,lowlight,3,val,0.3596068134770407,0.6522028674818066,0.5061128386545453,0.5027589449983079,1.3965435909898314,1.3965419235113368,0.532440926567786,0.183522397210027,0.7413331755364577,0.18378854488259577,0.8357204794883728,0.8858216404914856,0.7417685389518738
lowlight_s3,lowlight,3,calibration,0.36126551114658373,0.64066903449629,0.4904868553960583,0.5108491517148579,1.4613140935767186,1.4613115624205706,0.556152004085175,0.19904433834143642,0.7237071716471313,0.20078963138118694,0.8397133350372314,0.8859999775886536,0.757186770439148
blur_s1,blur,1,val,0.5611698273951123,0.835395987175371,0.6534271096188087,0.6764230395904425,0.7569415716275777,0.7569357996843359,0.26906351919769333,0.08767282646123814,0.7797318883451059,0.06354841166312976,0.9230687618255615,0.9454814195632935,0.8093205094337463
blur_s1,blur,1,calibration,0.6113346393168075,0.8162786521505184,0.7225897973580137,0.734372981486199,0.7652228103108603,0.7652150956825942,0.292807135589228,0.09465426043551228,0.7783976611927723,0.07859178434073674,0.9109328985214233,0.9379180669784546,0.7910370230674744
blur_s2,blur,2,val,0.5471682872121283,0.8318904603815878,0.6385763560013688,0.6651327934029273,0.7632491449787192,0.76324214038965,0.2728856738480985,0.08825786507325631,0.7787256084002682,0.06709718579225894,0.9201480150222778,0.9437180161476135,0.8035112619400024
blur_s2,blur,2,calibration,0.5945617141734889,0.8111320971716848,0.7005853366482332,0.7195322720612958,0.7603232039980692,0.7603178630317908,0.30032194186926253,0.09688144402134306,0.7881795240549746,0.07577959156757261,0.9080135226249695,0.9360328912734985,0.787678599357605
blur_s3,blur,3,val,0.5226179121053841,0.8195054796006944,0.6146918488177073,0.6467109932562626,0.8231221780385056,0.8231153223249648,0.29260082912590224,0.09649552591606014,0.7789992427265662,0.072905243613889,0.9160009622573853,0.9415170550346375,0.8001495003700256
blur_s3,blur,3,calibration,0.5570954635060539,0.7936831957673374,0.6581104534137887,0.6829272016926634,0.8724188882194154,0.8724077150701932,0.32939876994767325,0.11071447330566914,0.7739358148477699,0.09027524719712546,0.9043976664543152,0.9341958165168762,0.7897665500640869
