method,fit_scope,condition,degradation_type,severity,split,temperature,miou,pixel_accuracy,mean_accuracy,mean_dice,nll,brier_score,ece,error_auroc,aurc,mean_confidence,mean_correct_confidence,mean_wrong_confidence
raw,none,clean,clean,0,calibration,1.0,0.6126301711229893,0.8154925342019834,0.7226754423812576,0.7361178132798241,0.7623533357042519,0.2932630741070032,0.09434959783858031,0.7795384527072782,0.07927403989359101,0.9098421335220337,0.9370810985565186,0.7894501686096191
clean_global,clean_global,clean,clean,0,calibration,1.927998726450754,0.6126301711229893,0.8154925342019834,0.7226754423812576,0.7361178132798241,0.5921324010671909,0.2801418957644946,0.030300642247754736,0.7794648278632593,0.07918414228199032,0.8022862076759338,0.8386449217796326,0.6415870785713196
pooled,pooled,clean,clean,0,calibration,1.9671212672389797,0.6126301711229893,0.8154925342019834,0.7226754423812576,0.7361178132798241,0.5922917194743861,0.2805415083465692,0.03358305349452907,0.7793535205821649,0.07920489101523331,0.7973551154136658,0.8338517546653748,0.6360461115837097
per_degradation,per_degradation,clean,clean,0,calibration,1.927998726450754,0.6126301711229893,0.8154925342019834,0.7226754423812576,0.7361178132798241,0.5921324010671909,0.2801418957644946,0.030300642247754736,0.7794648278632593,0.07918414228199032,0.8022862076759338,0.8386449217796326,0.6415870785713196
raw,none,color_s1,color_attenuation,1,calibration,1.0,0.6056399998721795,0.809787651538123,0.7173250019702964,0.7315582863672845,0.7685862981021132,0.3011270941120304,0.09653156690613068,0.7850694255503545,0.07874089349376065,0.9063191413879395,0.9351035356521606,0.783775269985199
clean_global,clean_global,color_s1,color_attenuation,1,calibration,1.927998726450754,0.6056399998721795,0.809787651538123,0.7173250019702964,0.7315582863672845,0.6022652520073785,0.2867658071140539,0.028380257173412818,0.785062163390701,0.07875304410508237,0.795997679233551,0.834415078163147,0.6324440240859985
pooled,pooled,color_s1,color_attenuation,1,calibration,1.9671212672389797,0.6056399998721795,0.809787651538123,0.7173250019702964,0.7315582863672845,0.602579930783044,0.28715201763257586,0.03181576266467054,0.7849491362013664,0.07877699202128853,0.7909822463989258,0.8295395970344543,0.6268328428268433
per_degradation,per_degradation,color_s1,color_attenuation,1,calibration,1.9177302826702138,0.6056399998721795,0.809787651538123,0.7173250019702964,0.7315582863672845,0.6022364280358116,0.2866765155458378,0.027515929906411628,0.7850906339644754,0.07874703801334643,0.7973118424415588,0.8356894254684448,0.6339271664619446
raw,none,color_s2,color_attenuation,2,calibration,1.0,0.5895533691692805,0.7981334204361682,0.7040234192942001,0.7196692467602706,0.7946444399643525,0.31786307914797757,0.10233094213839644,0.7899770305109022,0.0807065604931338,0.9004644155502319,0.9315189719200134,0.7776814699172974
clean_global,clean_global,color_s2,color_attenuation,2,calibration,1.927998726450754,0.5895533691692805,0.7981334204361682,0.7040234192942001,0.7196692467602706,0.6260823027728355,0.3003470052141396,0.024053065517134528,0.7906681322351272,0.08058898523840755,0.7861725687980652,0.827696681022644,0.6219959259033203
pooled,pooled,color_s2,color_attenuation,2,calibration,1.9671212672389797,0.5895533691692805,0.7981334204361682,0.7040234192942001,0.7196692467602706,0.6264399056020937,0.3006659865923668,0.02634838304440297,0.7905794171121304,0.08061187756106898,0.7810449600219727,0.822717010974884,0.6162834167480469
per_degradation,per_degradation,color_s2,color_attenuation,2,calibration,1.9177302826702138,0.5895533691692805,0.7981334204361682,0.7040234192942001,0.7196692467602706,0.626042723111366,0.30027603939787983,0.02351145583633379,0.7906901532478714,0.08058329274785082,0.7875170111656189,0.8289989233016968,0.6235067248344421
raw,none,color_s3,color_attenuation,3,calibration,1.0,0.5639777452292964,0.7777306311388176,0.683683383651762,0.6993379518560204,0.8651643895304548,0.34776167455873536,0.1147852925891063,0.7880542731773506,0.09031224977831007,0.8925158977508545,0.9267699122428894,0.7726595997810364
clean_global,clean_global,color_s3,color_attenuation,3,calibration,1.927998726450754,0.5639777452292964,0.7777306311388176,0.683683383651762,0.6993379518560204,0.6776234722572919,0.32536799541165656,0.018574921758789872,0.7899229540167724,0.08968218613229084,0.7721895575523376,0.8179059624671936,0.6122258305549622
pooled,pooled,color_s3,color_attenuation,3,calibration,1.9671212672389797,0.5639777452292964,0.7777306311388176,0.683683383651762,0.6993379518560204,0.6776952612889956,0.3255782842273219,0.020870172086048844,0.7898736715033216,0.08969227299856897,0.7669095396995544,0.8127782344818115,0.6064125895500183
per_degradation,per_degradation,color_s3,color_attenuation,3,calibration,1.9177302826702138,0.5639777452292964,0.7777306311388176,0.683683383651762,0.6993379518560204,0.677661701605926,0.3253264129615447,0.01798912974501594,0.7899344690786884,0.08967995612850767,0.773575484752655,0.8192482590675354,0.613764226436615
raw,none,turbidity_s1,turbidity,1,calibration,1.0,0.6107003139987939,0.815743131361777,0.7220725967531332,0.7343646360824466,0.763846323733279,0.2929643726421455,0.09360469169098025,0.7780110172556716,0.08007719945534814,0.9093478322029114,0.9366885423660278,0.7883046865463257
clean_global,clean_global,turbidity_s1,turbidity,1,calibration,1.927998726450754,0.6107003139987939,0.815743131361777,0.7220725967531332,0.7343646360824466,0.5942599849613834,0.28049795703800845,0.03185888611888155,0.7783408700604173,0.07992499053637162,0.8011419773101807,0.837493896484375,0.6402048468589783
pooled,pooled,turbidity_s1,turbidity,1,calibration,1.9671212672389797,0.6107003139987939,0.815743131361777,0.7220725967531332,0.7343646360824466,0.5944618042926991,0.2809268756907099,0.03520494888318044,0.7782427629607475,0.0799395082866648,0.7961804866790771,0.8326650261878967,0.6346555352210999
per_degradation,per_degradation,turbidity_s1,turbidity,1,calibration,1.9494872635995815,0.6107003139987939,0.815743131361777,0.7220725967531332,0.7343646360824466,0.5943309847078367,0.2807248114087992,0.03368115187730364,0.7782878837588416,0.07993277554360492,0.7984188199043274,0.8348456025123596,0.6371496319770813
raw,none,turbidity_s2,turbidity,2,calibration,1.0,0.6001707914621843,0.808092184081288,0.7149769163379927,0.72696347507339,0.799883347486615,0.30400564808460856,0.09701285764922749,0.77635006594484,0.08566879680935457,0.9051049947738647,0.933846116065979,0.7840810418128967
clean_global,clean_global,turbidity_s2,turbidity,2,calibration,1.927998726450754,0.6001707914621843,0.808092184081288,0.7149769163379927,0.72696347507339,0.6214432095828122,0.29117170588610924,0.03264381893763462,0.7767077920003814,0.08536469921138935,0.7931640148162842,0.8310109972953796,0.6337973475456238
pooled,pooled,turbidity_s2,turbidity,2,calibration,1.9671212672389797,0.6001707914621843,0.808092184081288,0.7149769163379927,0.72696347507339,0.6215406531068288,0.2916266885522294,0.03592045108460938,0.7766099018332522,0.08537420659072445,0.7880977392196655,0.8260684013366699,0.6282097697257996
