region,score,baseline,metric,direction,mean_improvement,ci95_low,ci95_high,iterations,cluster_unit,images
boundary,raw_msp,calibrated_msp,eaurc,positive_is_better,0.0006402897860170028,-0.00032003156085965416,0.001696313031580983,1000,sample_id_with_all_13_conditions,146
boundary,raw_msp,calibrated_msp,error_auprc,positive_is_better,-5.907663854640258e-05,-0.0015338288379591134,0.0014480855709467538,1000,sample_id_with_all_13_conditions,146
boundary,raw_msp,calibrated_msp,top_10_uncertainty_recall,positive_is_better,8.05733314848446e-05,-0.0007410190095317183,0.0008900711278486438,1000,sample_id_with_all_13_conditions,146
boundary,calibrated_msp,calibrated_msp,eaurc,positive_is_better,0.0,0.0,0.0,1000,sample_id_with_all_13_conditions,146
boundary,calibrated_msp,calibrated_msp,error_auprc,positive_is_better,0.0,0.0,0.0,1000,sample_id_with_all_13_conditions,146
boundary,calibrated_msp,calibrated_msp,top_10_uncertainty_recall,positive_is_better,0.0,0.0,0.0,1000,sample_id_with_all_13_conditions,146
boundary,entropy,calibrated_msp,eaurc,positive_is_better,-0.009008450582663512,-0.010561028147374859,-0.007448556883192759,1000,sample_id_with_all_13_conditions,146
boundary,entropy,calibrated_msp,error_auprc,positive_is_better,-0.01703949617198251,-0.019816819216340816,-0.01426505686762781,1000,sample_id_with_all_13_conditions,146
boundary,entropy,calibrated_msp,top_10_uncertainty_recall,positive_is_better,-0.00724565650331652,-0.008952151351269609,-0.005442489049836969,1000,sample_id_with_all_13_conditions,146
boundary,probability_margin,calibrated_msp,eaurc,positive_is_better,-0.00015362222297486065,-0.001052388946609543,0.0007876853213772871,1000,sample_id_with_all_13_conditions,146
boundary,probability_margin,calibrated_msp,error_auprc,positive_is_better,-0.0062564909495374695,-0.00850136397074384,-0.004049404389517535,1000,sample_id_with_all_13_conditions,146
boundary,probability_margin,calibrated_msp,top_10_uncertainty_recall,positive_is_better,-0.002464107078544772,-0.003644596929127873,-0.0011826506852430768,1000,sample_id_with_all_13_conditions,146
boundary,logit_margin,calibrated_msp,eaurc,positive_is_better,-0.0013480814466534227,-0.0028617329291480012,0.0003509989022128326,1000,sample_id_with_all_13_conditions,146
