condition,degradation_type,severity,split,class_id,class_name,iou,dice,accuracy,classwise_ece
clean,clean,0,val,0,background_waterbody,0.8508894636026901,0.9194384433379011,0.8935262357380671,0.02612287125850021
clean,clean,0,val,1,human_divers,0.7702230501711319,0.870198871375754,0.877541601255887,0.0012604535003360173
clean,clean,0,val,2,aquatic_plants,0.13606890443504227,0.23954340076354474,0.1842139376238065,0.021492321941958183
clean,clean,0,val,3,wrecks_ruins,0.6727777969875015,0.8043839393362396,0.751113193063831,0.015624795560641308
clean,clean,0,val,4,robots_instruments,0.3058696599373405,0.4684535820397528,0.32560296846011133,0.001219040525926449
clean,clean,0,val,5,reefs_invertebrates,0.7978952036830167,0.8875881108626529,0.9218869785347011,0.05777870531586471
clean,clean,0,val,6,fish_vertebrates,0.6586777362956775,0.7942202657964186,0.8340315690227157,0.013565157155729438
clean,clean,0,val,7,seafloor_rocks,0.6311091757486657,0.7738405069777033,0.7715460106998675,0.04574190378850014
clean,clean,0,calibration,0,background_waterbody,0.8817490483540511,0.9371590214171321,0.9506440213927916,0.017861723973553307
clean,clean,0,calibration,1,human_divers,0.7612241165353277,0.8644261788020533,0.8385936633388796,0.0019826790021896103
clean,clean,0,calibration,2,aquatic_plants,0.19551010300277863,0.327073945275265,0.24281592343240518,0.01509949671232666
clean,clean,0,calibration,3,wrecks_ruins,0.7255635349698816,0.8409583539125329,0.7832834535771076,0.01630439759611893
clean,clean,0,calibration,4,robots_instruments,0.7502960996528487,0.8573361956318836,0.8802306267169233,0.00026639761775351087
clean,clean,0,calibration,5,reefs_invertebrates,0.7271803964515936,0.8420433649496597,0.8926506548011863,0.0784975639421722
clean,clean,0,calibration,6,fish_vertebrates,0.7100824364120961,0.8304657381335507,0.8052743525514231,0.009500364784959452
clean,clean,0,calibration,7,seafloor_rocks,0.4688968719880838,0.6384340261456934,0.5797402701297316,0.06595088194826615
color_s1,color_attenuation,1,val,0,background_waterbody,0.8514742216278827,0.9197797211340442,0.896633863401442,0.025163270787843032
color_s1,color_attenuation,1,val,1,human_divers,0.7494874948749487,0.8568080618701664,0.8609105180533752,0.0014723852623035757
color_s1,color_attenuation,1,val,2,aquatic_plants,0.14266211508909324,0.24970131275940635,0.2072151083420766,0.022513113611844476
color_s1,color_attenuation,1,val,3,wrecks_ruins,0.6518290950465172,0.7892209878143126,0.7459752076054954,0.01752790488987932
color_s1,color_attenuation,1,val,4,robots_instruments,0.30566404188393254,0.4682123916699004,0.3197941514268045,0.0012916733699964386
color_s1,color_attenuation,1,val,5,reefs_invertebrates,0.7975593778590282,0.8873802864959668,0.9133098033769685,0.05601026647819185
color_s1,color_attenuation,1,val,6,fish_vertebrates,0.661206885218603,0.7960560374532675,0.831335963740872,0.013065640460439324
color_s1,color_attenuation,1,val,7,seafloor_rocks,0.6273915973038559,0.7710394945423986,0.7752174763850455,0.04746616867465171
color_s1,color_attenuation,1,calibration,0,background_waterbody,0.8808457156787547,0.9366485600982719,0.951197012020684,0.01875949795379148
color_s1,color_attenuation,1,calibration,1,human_divers,0.7556553876898324,0.8608242744997429,0.832341063505269,0.0020999315893720514
color_s1,color_attenuation,1,calibration,2,aquatic_plants,0.18824384927790758,0.3168438017033336,0.25032255037650425,0.016110450619971618
color_s1,color_attenuation,1,calibration,3,wrecks_ruins,0.7664696859739645,0.8677982895034648,0.8342123049076589,0.012446646302500091
color_s1,color_attenuation,1,calibration,4,robots_instruments,0.7395573588042207,0.8502822342260627,0.838433527119402,0.00027814575692939453
color_s1,color_attenuation,1,calibration,5,reefs_invertebrates,0.7195831839092123,0.8369274492128363,0.8740822601167664,0.08163765307827142
color_s1,color_attenuation,1,calibration,6,fish_vertebrates,0.708140772913503,0.8291363149252123,0.8033330612750187,0.009741810706638586
color_s1,color_attenuation,1,calibration,7,seafloor_rocks,0.4512776848714551,0.6219039809895877,0.5754073279022947,0.07173104183424768
color_s2,color_attenuation,2,val,0,background_waterbody,0.8506209332232865,0.9192816507719195,0.8998496790212448,0.0246885354950747
color_s2,color_attenuation,2,val,1,human_divers,0.7378684338620598,0.8491648958975531,0.8519403453689168,0.0016200249910229352
color_s2,color_attenuation,2,val,2,aquatic_plants,0.13432200972720668,0.23683223736355039,0.21939219872233723,0.02458825648066092
color_s2,color_attenuation,2,val,3,wrecks_ruins,0.6412968518985055,0.7814513884635929,0.7483404180765627,0.018760566953074286
color_s2,color_attenuation,2,val,4,robots_instruments,0.28417432154691497,0.4425790436373138,0.2992755543775952,0.0013330465885279202
color_s2,color_attenuation,2,val,5,reefs_invertebrates,0.7885640687806067,0.8817845360364728,0.9000499001408737,0.05930793908477566
color_s2,color_attenuation,2,val,6,fish_vertebrates,0.6741895911782945,0.8053921667304118,0.8266458584855436,0.011297951932924127
color_s2,color_attenuation,2,val,7,seafloor_rocks,0.6228259582445658,0.7675819518172923,0.7740746203585311,0.04829933659320097
color_s2,color_attenuation,2,calibration,0,background_waterbody,0.8775500330977747,0.9347820485506878,0.9550464367659631,0.021185168009846725
color_s2,color_attenuation,2,calibration,1,human_divers,0.7325422359751589,0.8456269876305192,0.8134337735718248,0.002463862659342575
color_s2,color_attenuation,2,calibration,2,aquatic_plants,0.17541559562034706,0.29847416739058713,0.25702117233703714,0.017766044518069242
color_s2,color_attenuation,2,calibration,3,wrecks_ruins,0.7611450791138992,0.864375216034855,0.8399970835966197,0.01342858632921406
color_s2,color_attenuation,2,calibration,4,robots_instruments,0.7325374538718261,0.8456238013611446,0.7957739730403117,0.0003267190599386315
color_s2,color_attenuation,2,calibration,5,reefs_invertebrates,0.7064042958835355,0.8279448165802655,0.8505139853733252,0.08736466993701755
color_s2,color_attenuation,2,calibration,6,fish_vertebrates,0.6984891898932013,0.8224829384249674,0.7961118302093187,0.010409049215006589
color_s2,color_attenuation,2,calibration,7,seafloor_rocks,0.4477572127913988,0.6185529021514387,0.5841482113571819,0.07455791327719394
color_s3,color_attenuation,3,val,0,background_waterbody,0.8522095944324076,0.9202085951763568,0.9109211776179741,0.023774123072689432
color_s3,color_attenuation,3,val,1,human_divers,0.7179541434725523,0.8358245721522345,0.8309513343799058,0.001830585036797934
color_s3,color_attenuation,3,val,2,aquatic_plants,0.12738899258811248,0.22598942055602203,0.2226916797984258,0.02603595853985926
color_s3,color_attenuation,3,val,3,wrecks_ruins,0.6667820673546371,0.8000830827426553,0.7964040783177162,0.01632418311118365
color_s3,color_attenuation,3,val,4,robots_instruments,0.2325820550175679,0.377389974275186,0.2397738316105663,0.0014369905813282802
color_s3,color_attenuation,3,val,5,reefs_invertebrates,0.7779154399814544,0.8750871076180866,0.8838500077086302,0.06272842877089432
color_s3,color_attenuation,3,val,6,fish_vertebrates,0.6782682478619476,0.8082953946438974,0.813687118326328,0.010212112993215155
color_s3,color_attenuation,3,val,7,seafloor_rocks,0.6165152040187265,0.7627706841062096,0.7629237968998321,0.047258793716404984
color_s3,color_attenuation,3,calibration,0,background_waterbody,0.8668567885566757,0.9286805435427848,0.9582834785662759,0.026527194886736247
color_s3,color_attenuation,3,calibration,1,human_divers,0.6769758859395774,0.8073770071658255,0.767828358985025,0.003245899777650051
color_s3,color_attenuation,3,calibration,2,aquatic_plants,0.16779909439360133,0.2873766475743565,0.26050341316943865,0.018888359389561914
color_s3,color_attenuation,3,calibration,3,wrecks_ruins,0.7470011964562452,0.8551810931458104,0.832023266418078,0.01353773673446546
color_s3,color_attenuation,3,calibration,4,robots_instruments,0.7466262656122977,0.8549353462866427,0.8067622819906727,0.0003310402746935062
color_s3,color_attenuation,3,calibration,5,reefs_invertebrates,0.6989492917181799,0.822801828312744,0.8317350559920216,0.08715095319388624
color_s3,color_attenuation,3,calibration,6,fish_vertebrates,0.6737027205637802,0.8050446620972762,0.7689353956449124,0.012423410388937016
color_s3,color_attenuation,3,calibration,7,seafloor_rocks,0.45149666305589836,0.6221118856799064,0.6028319622405035,0.074894205847128
turbidity_s1,turbidity,1,val,0,background_waterbody,0.8502210008522201,0.9190480493525957,0.8962334727826387,0.0263887682325055
turbidity_s1,turbidity,1,val,1,human_divers,0.7648208432833954,0.8667404923215543,0.8637864992150707,0.0011658363627257728
turbidity_s1,turbidity,1,val,2,aquatic_plants,0.1381759374088661,0.2428024224856359,0.1900168923708868,0.021504807102347617
turbidity_s1,turbidity,1,val,3,wrecks_ruins,0.6696324058320305,0.8021315392454084,0.7491525776042928,0.015913270583404283
turbidity_s1,turbidity,1,val,4,robots_instruments,0.32189119170984454,0.487016168544831,0.34029066171923317,0.0011998288016308273
turbidity_s1,turbidity,1,val,5,reefs_invertebrates,0.7984242919204823,0.8879153773750125,0.9176956020793294,0.0562792692599337
turbidity_s1,turbidity,1,val,6,fish_vertebrates,0.6607184959034179,0.795701977828569,0.8356996211414243,0.013067104875337583
turbidity_s1,turbidity,1,val,7,seafloor_rocks,0.6298003852316918,0.772855855156961,0.7752575251859746,0.046539315403015355
turbidity_s1,turbidity,1,calibration,0,background_waterbody,0.881081224724117,0.936781690384835,0.952667212647931,0.018798136382322632
turbidity_s1,turbidity,1,calibration,1,human_divers,0.758870964571186,0.8629069213797605,0.8363318080976151,0.002056762933821183
turbidity_s1,turbidity,1,calibration,2,aquatic_plants,0.19615926273915674,0.32798184798562674,0.2443302811596696,0.015184077519175007
turbidity_s1,turbidity,1,calibration,3,wrecks_ruins,0.7484214514340771,0.8561110375535744,0.8081672024979226,0.01443457328389061
turbidity_s1,turbidity,1,calibration,4,robots_instruments,0.7638307763830776,0.8661043753294676,0.8921931898038714,0.0002562223317193539
turbidity_s1,turbidity,1,calibration,5,reefs_invertebrates,0.7238491280587764,0.8398056608050168,0.8809983887077866,0.07904103749815211
turbidity_s1,turbidity,1,calibration,6,fish_vertebrates,0.7106390440279279,0.830846281112155,0.8058522482333099,0.009329145971288607
turbidity_s1,turbidity,1,calibration,7,seafloor_rocks,0.4590275507803186,0.6292239656952618,0.5813662484500207,0.06880323464261183
turbidity_s2,turbidity,2,val,0,background_waterbody,0.8458829048777672,0.9165076534838821,0.9029657142530811,0.02701842188983155
