condition,split,degradation_type,severity,boundary_radius,score,region,pixels,error_rate,error_auroc,error_auprc,aurc,oracle_aurc,eaurc,unique_score_count,tie_group_count,largest_tie_group,tied_pixel_fraction,score_dtype,sort_seconds,metric_seconds,risk_at_90_coverage,risk_at_80_coverage,risk_at_70_coverage,top_5_uncertainty_precision,top_5_uncertainty_recall,top_10_uncertainty_precision,top_10_uncertainty_recall,top_20_uncertainty_precision,top_20_uncertainty_recall
clean,val,clean,0,3,logistic_fusion,full,21528576.0,0.1432985628032249,0.7891724274158596,0.39597059285014985,0.05619270336755722,0.010796147587203183,0.045396555780354036,11454874.0,4420107.0,20.0,0.6732358424449438,float32,2.9665664000203833,3.052372799953446,0.10658804455204991,0.08114220976410365,0.0647072157379653,0.5263254706069792,0.18364649236599898,0.47369357384462885,0.3305641400654908,0.39192389837137426,0.5470033523348679
clean,val,clean,0,3,logistic_fusion,boundary,2127005.0,0.36855484589834064,0.6127666126517184,0.48366168462960246,0.31260210190503424,0.07825160426483743,0.2343504976401968,1988070.0,129576.0,6.0,0.12623900743063604,float32,2.9665664000203833,0.5320256999693811,0.34566121908473313,0.3266941074421546,0.3105257289926013,0.602975054301323,0.08180319880395653,0.5745953239524026,0.15590533703780243,0.5359977997230848,0.2908646057368245
clean,val,clean,0,3,logistic_fusion,interior,19401571.0,0.11860359143081764,0.7839894417652855,0.3607769794875214,0.04747562948880058,0.0073292328003849066,0.04014639668841567,10091204.0,3876578.0,20.0,0.679684392568004,float32,2.9665664000203833,2.510743699967861,0.08370229925251185,0.06424640736249648,0.05327635463990398,0.4948968073734201,0.20863492874699707,0.43271527370451274,0.364841797126239,0.3360322551133091,0.5666478060889246
color_s1,val,color_attenuation,1,3,logistic_fusion,full,21528576.0,0.1454922982365392,0.7891638131453889,0.3958204896105677,0.05633169027350741,0.011138254562409643,0.04519343571109777,11562892.0,4493589.0,21.0,0.6716316490231402,float32,2.696116599952802,3.2698255999712273,0.10849935426912416,0.0834152351342788,0.06570787904236787,0.5232068255314564,0.17980571105297738,0.478429139311557,0.32883474520806505,0.39380070585240645,0.5413355673029095
color_s1,val,color_attenuation,1,3,logistic_fusion,boundary,2127005.0,0.3687184562330601,0.6169592556948393,0.4881548214011173,0.3096466095107301,0.07832684436376249,0.23131976514696762,1987600.0,129987.0,6.0,0.1266532048584747,float32,2.696116599952802,0.562649599974975,0.3453154016731921,0.325934823848557,0.3088379103018059,0.6085415275831915,0.08252174644827137,0.5793437736540966,0.15712398599454777,0.5398529857710724,0.2928266685027784
color_s1,val,color_attenuation,1,3,logistic_fusion,interior,19401571.0,0.1210198906057659,0.7844200510512728,0.36056694990267246,0.04755170828168562,0.00763760036403263,0.039914107917652986,10212393.0,3942440.0,21.0,0.6768327162784911,float32,2.696116599952802,2.781879400019534,0.08595884617362604,0.06572882595784607,0.05395350892048509,0.4982212788855341,0.20584281951774636,0.4365695989708055,0.36074218816546677,0.3421842041174492,0.5655008824621717
color_s2,val,color_attenuation,2,3,logistic_fusion,full,21528576.0,0.15001071134477265,0.7922654342907862,0.41723276181341945,0.05745670358098699,0.011860650790669216,0.045596052790317775,11728533.0,4577527.0,20.0,0.667836553611349,float32,2.567406199988909,3.2288145000347868,0.11096313380680221,0.08438853451816164,0.06681882765260048,0.5492856472651703,0.18308217606533733,0.501439017343457,0.33426887054627674,0.41249945421388684,0.5499601023930204
color_s2,val,color_attenuation,2,3,logistic_fusion,boundary,2127005.0,0.3710296872832927,0.6179269281917805,0.4943523119880289,0.3113693453631407,0.07939425442308073,0.23197509094005997,1986837.0,130657.0,6.0,0.12732692212759256,float32,2.567406199988909,0.5127232000231743,0.34689038580581466,0.32736582659655244,0.31043304336612704,0.6229936718977724,0.08395528534609253,0.5882859036863954,0.15855531423676666,0.5456851300302538,0.29414634393587286
color_s2,val,color_attenuation,2,3,logistic_fusion,interior,19401571.0,0.1257802783083906,0.7887859182524807,0.388122345611475,0.04854525172975852,0.008264571111434964,0.04028068061832356,10395907.0,4017901.0,20.0,0.671263425008212,float32,2.567406199988909,2.707394600030966,0.08760945705771594,0.06678247773360109,0.054839372363063375,0.5303970089033986,0.21084277363558693,0.4693179627638574,0.37312541106036673,0.36177153143494795,0.5752437677613934
color_s3,val,color_attenuation,3,3,logistic_fusion,full,21528576.0,0.15297811615594084,0.7916489794258403,0.42081302644067975,0.05851433704433689,0.012348133442495024,0.046166203601841864,11943111.0,4643712.0,21.0,0.6609437149953624,float32,2.425398400053382,3.0766455000266433,0.11359258461582768,0.08597491438849794,0.0691888336592346,0.5522119898293338,0.18048728351026797,0.5074482385740258,0.3317130224955904,0.42099084101227296,0.5503936508187129
