condition,boundary_radius,method,region,pixels,error_rate,nll,brier_score,ece,error_auroc,aurc,oracle_aurc,eaurc,mean_wrong_confidence
clean,1,raw,boundary,762735,0.4735143922856562,1.704843782520715,0.7137642671193141,0.2592000868703115,0.546455972181827,0.4510284704581541,0.1357574045942097,0.3152710658639444,0.7699465155601501
clean,1,raw,interior,20765841,0.13116964538060366,0.7176754790099159,0.22254575387697398,0.08287210007252888,0.7868289373626565,0.051788450742179554,0.009005675253492407,0.04278277548868715,0.8487501740455627
clean,1,clean_global,boundary,762735,0.4735143922856562,1.1930346185315017,0.6271360943522734,0.09263684711931068,0.5487599600947766,0.4497015357489611,0.1357574045942097,0.3139441311547514,0.591668963432312
clean,1,clean_global,interior,20765841,0.13116964538060366,0.4817515592674527,0.21302122108325036,0.023916842694986434,0.7819735571299282,0.05261450452308782,0.009005675253492407,0.04360882926959542,0.6999672651290894
clean,3,raw,boundary,2127005,0.36855484589834064,1.403962281691275,0.5676619748833307,0.18435452805257907,0.6106879792569204,0.31347491903270897,0.07825160426483717,0.23522331476787178,0.7722120881080627
clean,3,raw,interior,19401571,0.11860359143081764,0.6812460521077134,0.20402176996227522,0.07867782044112717,0.7863219688598582,0.04702714418810063,0.007329232800382758,0.039697911387717874,0.8624558448791504
clean,3,clean_global,boundary,2127005,0.36855484589834064,1.0293886698227084,0.5254881531539506,0.06629276443996472,0.6109431939176981,0.31261991686026924,0.07825160426483717,0.23436831259543206,0.5943592190742493
clean,3,clean_global,interior,19401571,0.11860359143081764,0.44967651334942155,0.1950454212130876,0.02105132017236882,0.7809784021699889,0.04783956208581152,0.007329232800382758,0.04051032928542876,0.7189470529556274
clean,5,raw,boundary,3278017,0.31587084508713653,1.2613776055386534,0.49428979936174067,0.15835507239129826,0.6485970205885376,0.24218307449169535,0.0561695643278644,0.18601351016383094,0.7812402248382568
clean,5,raw,interior,18250559,0.11230253276077735,0.6612762574320327,0.19426650977854978,0.07668288238038692,0.7891700283986897,0.04409515023573562,0.006556207492790756,0.037538942742944864,0.8689691424369812
clean,5,clean_global,boundary,3278017,0.31587084508713653,0.9318887414918074,0.46568681519192856,0.06339939633954651,0.6495059677196002,0.24089797369563998,0.0561695643278644,0.18472840936777557,0.603852391242981
clean,5,clean_global,interior,18250559,0.11230253276077735,0.43062781880064605,0.18494634774996824,0.01729962553789558,0.7835536515018104,0.04489544076277324,0.006556207492790756,0.03833923326998249,0.7294398546218872
color_s1,1,raw,boundary,762735,0.4740125993955961,1.6873792303560542,0.7117402331970843,0.25840789500470307,0.5506076345641422,0.44883840777387435,0.13607725583906655,0.3127611519348078,0.7672881484031677
color_s1,1,raw,interior,20765841,0.1334256580313795,0.6909415938099377,0.22360899112438426,0.08204280020681354,0.7872153691658388,0.051814680530880564,0.009325818838042661,0.0424888616928379,0.84201580286026
color_s1,1,clean_global,boundary,762735,0.4740125993955961,1.186251390196546,0.6251955154343826,0.08844971964698232,0.5530427276579575,0.4472531054806103,0.13607725583906655,0.31117584964154377,0.5892278552055359
color_s1,1,clean_global,interior,20765841,0.1334256580313795,0.4733335776046826,0.21418655452225002,0.025812446436962535,0.7824150708837967,0.05277307047154732,0.009325818838042661,0.04344725163350466,0.6937220096588135
color_s1,3,raw,boundary,2127005,0.3687184562330601,1.3861250849566056,0.565331982353121,0.18269069719644013,0.6146453499788458,0.31070738253257435,0.07832684436376282,0.23238053816881155,0.7686645984649658
color_s1,3,raw,interior,19401571,0.1210198906057659,0.6539012295866402,0.20533563928276735,0.07794167969087976,0.786971673215757,0.04701825488867127,0.007637600364032639,0.03938065452463863,0.8550096750259399
color_s1,3,clean_global,boundary,2127005,0.3687184562330601,1.0226712914146006,0.5236258891151379,0.06486146150323421,0.6151795201423922,0.309435197189182,0.07832684436376282,0.2311083528254192,0.5913224816322327
color_s1,3,clean_global,interior,19401571,0.1210198906057659,0.44113635078668373,0.19642056406314984,0.023058303071243083,0.7815594613241048,0.047990059830320356,0.007637600364032639,0.04035245946628772,0.7118350267410278
color_s1,5,raw,boundary,3278017,0.3156164229776722,1.242058782699266,0.4915312087164664,0.1559879998194832,0.6521726973945287,0.2392676295638547,0.056073030821122874,0.1831945987427318,0.7771427035331726
color_s1,5,raw,interior,18250559,0.11493598634430868,0.633597917937404,0.1958871688543639,0.07613099330531407,0.7900479485971112,0.044089068158823505,0.006873825851024535,0.03721524230779897,0.8611323833465576
color_s1,5,clean_global,boundary,3278017,0.3156164229776722,0.9249523958339371,0.46379899948133657,0.06307310114072313,0.6533095893712498,0.2376419258150494,0.056073030821122874,0.18156889499392653,0.6003342866897583
color_s1,5,clean_global,interior,18250559,0.11493598634430868,0.42201203368791335,0.1865302562658834,0.019256204131879926,0.7842503468536817,0.04507090333277309,0.006873825851024535,0.038197077481748554,0.7217720746994019
color_s2,1,raw,boundary,762735,0.47538135787658886,1.6882558454320635,0.7130962839526507,0.25997069738745465,0.5524633840751771,0.4491908619118108,0.1369584355602775,0.31223242635153325,0.7668737173080444
color_s2,1,raw,interior,20765841,0.13805975881256147,0.6708885036774456,0.22632376851973213,0.08384320617655024,0.7906933627281029,0.05279385020873456,0.010001869085124406,0.04279198112361016,0.8316497206687927
color_s2,1,clean_global,boundary,762735,0.47538135787658886,1.1879880239010354,0.6256943041401789,0.08734046676893834,0.5548564356588997,0.4475373734217062,0.1369584355602775,0.31057893786142865,0.5880193114280701
color_s2,1,clean_global,interior,20765841,0.13805975881256147,0.4689685345966725,0.21611091543092933,0.02692177580445657,0.785956021900859,0.05400364447880912,0.010001869085124406,0.04400177539368472,0.683813214302063
