condition,method,reference,metric,delta_candidate_minus_clean_global
clean,raw,clean_global,nll,0.24569822555263288
clean,raw,clean_global,ece,0.0677908136329071
clean,raw,clean_global,brier_score,0.012256236834794598
clean,raw,clean_global,aurc,-0.000806459083585398
clean,raw,clean_global,error_auroc,0.004233995106636579
clean,raw,clean_global,mean_wrong_confidence,0.15223592519760132
color_s1,raw,clean_global,nll,0.22765282354398414
color_s1,raw,clean_global,ece,0.06517978469208009
color_s1,raw,clean_global,brier_score,0.012154799618133122
color_s1,raw,clean_global,aurc,-0.0009284007364989966
color_s1,raw,clean_global,error_auroc,0.0041543974119774285
color_s1,raw,clean_global,mean_wrong_confidence,0.15172970294952393
color_s2,raw,clean_global,nll,0.21249013331745675
color_s2,raw,clean_global,ece,0.0659768580657406
color_s2,raw,clean_global,brier_score,0.012947590746654608
color_s2,raw,clean_global,aurc,-0.0011761054989645955
color_s2,raw,clean_global,error_auroc,0.004162109079200449
color_s2,raw,clean_global,mean_wrong_confidence,0.15131890773773193
color_s3,raw,clean_global,nll,0.20657680187051153
color_s3,raw,clean_global,ece,0.0634871580208866
color_s3,raw,clean_global,brier_score,0.01202557679362129
color_s3,raw,clean_global,aurc,-0.0015573930415328022
color_s3,raw,clean_global,error_auroc,0.005041683719697487
color_s3,raw,clean_global,mean_wrong_confidence,0.15263158082962036
turbidity_s1,raw,clean_global,nll,0.23601795821429394
turbidity_s1,raw,clean_global,ece,0.06779334507373169
turbidity_s1,raw,clean_global,brier_score,0.012353374079845103
turbidity_s1,raw,clean_global,aurc,-0.000989605290642001
turbidity_s1,raw,clean_global,error_auroc,0.004737890721289051
turbidity_s1,raw,clean_global,mean_wrong_confidence,0.15305542945861816
turbidity_s2,raw,clean_global,nll,0.2261340338708422
turbidity_s2,raw,clean_global,ece,0.0723894668260634
turbidity_s2,raw,clean_global,brier_score,0.013617003345054113
turbidity_s2,raw,clean_global,aurc,-0.0012913081791817022
turbidity_s2,raw,clean_global,error_auroc,0.0047127802709616695
turbidity_s2,raw,clean_global,mean_wrong_confidence,0.15439462661743164
turbidity_s3,raw,clean_global,nll,0.23282030365419892
turbidity_s3,raw,clean_global,ece,0.0740230972382773
turbidity_s3,raw,clean_global,brier_score,0.01595022480600311
turbidity_s3,raw,clean_global,aurc,-0.0016139676823305957
turbidity_s3,raw,clean_global,error_auroc,0.0028257359624777045
turbidity_s3,raw,clean_global,mean_wrong_confidence,0.15478259325027466
lowlight_s1,raw,clean_global,nll,0.22910700831420527
lowlight_s1,raw,clean_global,ece,0.07252064880344561
lowlight_s1,raw,clean_global,brier_score,0.014178866483668007
lowlight_s1,raw,clean_global,aurc,-0.0007723361226410971
lowlight_s1,raw,clean_global,error_auroc,0.003534433081905264
lowlight_s1,raw,clean_global,mean_wrong_confidence,0.15577393770217896
lowlight_s2,raw,clean_global,nll,0.23391911119812336
lowlight_s2,raw,clean_global,ece,0.0841132560174358
lowlight_s2,raw,clean_global,brier_score,0.018905379138943634
lowlight_s2,raw,clean_global,aurc,-0.001265806088261101
lowlight_s2,raw,clean_global,error_auroc,0.0033377213203616973
lowlight_s2,raw,clean_global,mean_wrong_confidence,0.1598702073097229
lowlight_s3,raw,clean_global,nll,0.44448821729720966
lowlight_s3,raw,clean_global,ece,0.11186034848766521
lowlight_s3,raw,clean_global,brier_score,0.03467896059042069
lowlight_s3,raw,clean_global,aurc,-0.003171286756113903
lowlight_s3,raw,clean_global,error_auroc,0.00432751531641562
lowlight_s3,raw,clean_global,mean_wrong_confidence,0.15346002578735352
blur_s1,raw,clean_global,nll,0.24747357321293562
blur_s1,raw,clean_global,ece,0.07425371996356679
blur_s1,raw,clean_global,brier_score,0.013971067817606708
blur_s1,raw,clean_global,aurc,-0.0008468074778832033
blur_s1,raw,clean_global,error_auroc,0.0044036284605336595
blur_s1,raw,clean_global,mean_wrong_confidence,0.15113073587417603
blur_s2,raw,clean_global,nll,0.2561659548017714
blur_s2,raw,clean_global,ece,0.07632680156073289
blur_s2,raw,clean_global,brier_score,0.015631329614096495
