method,fit_scope,condition,degradation_type,severity,split,temperature,miou,pixel_accuracy,mean_accuracy,mean_dice,nll,brier_score,ece,error_auroc,aurc,mean_confidence,mean_correct_confidence,mean_wrong_confidence
raw,none,clean,clean,0,calibration,1.0,0.6525520829057809,0.8368623637717608,0.7466521257287565,0.767230103004131,0.8057960879675693,0.2708817168820757,0.10007224753201015,0.7731119757450968,0.06844314915522998,0.9369345903396606,0.9570807218551636,0.8335893154144287
clean_global,clean_global,clean,clean,0,calibration,2.197198903975547,0.6525520829057809,0.8368623637717608,0.7466521257287565,0.767230103004131,0.5452643177462132,0.25500059726575736,0.02883686060414473,0.7678149279904631,0.0694900528611557,0.8301799297332764,0.8590836524963379,0.6819100975990295
pooled,pooled,clean,clean,0,calibration,2.28497280189414,0.6525520829057809,0.8368623637717608,0.7466521257287565,0.767230103004131,0.5459859313122939,0.2555420375124323,0.02968895613871765,0.7672061855634674,0.06961987306460905,0.8199229836463928,0.8489457964897156,0.6710418462753296
per_degradation,per_degradation,clean,clean,0,calibration,2.197198903975547,0.6525520829057809,0.8368623637717608,0.7466521257287565,0.767230103004131,0.5452643177462132,0.25500059726575736,0.02883686060414473,0.7678149279904631,0.0694900528611557,0.8301799297332764,0.8590836524963379,0.6819100975990295
raw,none,color_s1,color_attenuation,1,calibration,1.0,0.6512282597174144,0.8334657619714374,0.7449294898171517,0.7650510546832262,0.8125331980634135,0.27649257553222517,0.10325983926702748,0.7741555187783994,0.06843455773784214,0.9367256164550781,0.9569388031959534,0.8355635404586792
clean_global,clean_global,color_s1,color_attenuation,1,calibration,2.197198903975547,0.6512282597174144,0.8334657619714374,0.7449294898171517,0.7650510546832262,0.5502827719103437,0.2593640112622869,0.028925699491064917,0.7676821193719436,0.06990934510518837,0.8286548256874084,0.8577777743339539,0.6829008460044861
pooled,pooled,color_s1,color_attenuation,1,calibration,2.28497280189414,0.6512282597174144,0.8334657619714374,0.7449294898171517,0.7650510546832262,0.5510097224962766,0.259844659488858,0.029941692460906208,0.7670075608859963,0.07006575670108164,0.8183285593986511,0.8475770950317383,0.6719456911087036
per_degradation,per_degradation,color_s1,color_attenuation,1,calibration,2.1902632567306903,0.6512282597174144,0.8334657619714374,0.7449294898171517,0.7650510546832262,0.5502877130174564,0.2593377113705175,0.028876527654271428,0.7677347905243488,0.06989715345087064,0.8294594883918762,0.8585698008537292,0.683769166469574
raw,none,color_s2,color_attenuation,2,calibration,1.0,0.6414790267253045,0.8266593666018598,0.7365072398672866,0.7572330558282123,0.8189666474427988,0.2863127905847094,0.10988207223590919,0.7883220304190082,0.06721201792594256,0.9365161061286926,0.9580827355384827,0.8336651921272278
clean_global,clean_global,color_s2,color_attenuation,2,calibration,2.197198903975547,0.6414790267253045,0.8266593666018598,0.7365072398672866,0.7572330558282123,0.5558263417248313,0.2641406993706295,0.019202432300819538,0.7829726789355848,0.0685033928484359,0.8264168500900269,0.8582429885864258,0.6746385097503662
pooled,pooled,color_s2,color_attenuation,2,calibration,2.28497280189414,0.6414790267253045,0.8266593666018598,0.7365072398672866,0.7572330558282123,0.5566400850200217,0.2644346972397292,0.020397361228245574,0.7823563112923885,0.06865057762405567,0.81596440076828,0.8479490876197815,0.6634297966957092
per_degradation,per_degradation,color_s2,color_attenuation,2,calibration,2.1902632567306903,0.6414790267253045,0.8266593666018598,0.7365072398672866,0.7572330558282123,0.5558245719114213,0.2641301576042466,0.019142636788152274,0.7830205558519958,0.06849196269294824,0.8272320628166199,0.8590424060821533,0.6755282878875732
raw,none,color_s3,color_attenuation,3,calibration,1.0,0.6286843464876459,0.8195377158247716,0.7286217594940341,0.7479469573292514,0.8311104121273512,0.2956853016326417,0.11341698262099434,0.7974326086884611,0.06776213564840486,0.9329429864883423,0.9564620852470398,0.8261353373527527
clean_global,clean_global,color_s3,color_attenuation,3,calibration,2.197198903975547,0.6286843464876459,0.8195377158247716,0.7286217594940341,0.7479469573292514,0.5694708624568341,0.2711860055792822,0.013521143862447923,0.7926664116117607,0.06891392611406724,0.8191953897476196,0.8537712693214417,0.6621750593185425
pooled,pooled,color_s3,color_attenuation,3,calibration,2.28497280189414,0.6286843464876459,0.8195377158247716,0.7286217594940341,0.7479469573292514,0.5704572124568295,0.2714630378072846,0.014558386011321048,0.7920774978736318,0.06905523816312335,0.8086208701133728,0.8433666229248047,0.6508294939994812
per_degradation,per_degradation,color_s3,color_attenuation,3,calibration,2.1902632567306903,0.6286843464876459,0.8195377158247716,0.7286217594940341,0.7479469573292514,0.5694550183265721,0.2711774455539349,0.01361722948323702,0.7927120501881088,0.06890299070508268,0.8200211524963379,0.8545801639556885,0.6630771160125732
raw,none,turbidity_s1,turbidity,1,calibration,1.0,0.6552233963302185,0.8354929280970558,0.7502408893490149,0.7687139853416853,0.8054255851327556,0.2720341876580109,0.10068948358663823,0.7737345535380967,0.06837774449570903,0.9361823797225952,0.956741988658905,0.8317652940750122
clean_global,clean_global,turbidity_s1,turbidity,1,calibration,2.197198903975547,0.6552233963302185,0.8354929280970558,0.7502408893490149,0.7687139853416853,0.5469415877326257,0.2564820628187972,0.03085893541052135,0.7663759276483545,0.07016612145425588,0.8285760283470154,0.8576247096061707,0.6810446977615356
pooled,pooled,turbidity_s1,turbidity,1,calibration,2.28497280189414,0.6552233963302185,0.8354929280970558,0.7502408893490149,0.7687139853416853,0.5477619679188257,0.25707488644250087,0.032442805840269595,0.7656344926300992,0.07034364000098906,0.8182830810546875,0.8474283218383789,0.6702614426612854
per_degradation,per_degradation,turbidity_s1,turbidity,1,calibration,2.2493760364147004,0.6552233963302185,0.8354929280970558,0.7502408893490149,0.7687139853416853,0.5472580468455043,0.2568016378846887,0.031735442102102454,0.7659367231376845,0.0702712633970273,0.8224886059761047,0.8516021370887756,0.6746271252632141
raw,none,turbidity_s2,turbidity,2,calibration,1.0,0.6592087965113907,0.8308506331305888,0.7541167793420818,0.7704681018482551,0.8438649055983196,0.28231920090984536,0.1052948938665528,0.7696321174023204,0.07104674488668763,0.9361454248428345,0.9563139081001282,0.8370794653892517
clean_global,clean_global,turbidity_s2,turbidity,2,calibration,2.197198903975547,0.6592087965113907,0.8308506331305888,0.7541167793420818,0.7704681018482551,0.5667885946537987,0.26547456694883115,0.031045663475115566,0.7610187475898007,0.07357180757311825,0.8264834880828857,0.8553426265716553,0.6847293376922607
pooled,pooled,turbidity_s2,turbidity,2,calibration,2.28497280189414,0.6592087965113907,0.8308506331305888,0.7541167793420818,0.7704681018482551,0.5670642246757287,0.26599819112223216,0.03261703419047781,0.760170419737304,0.07380551475401165,0.8161218166351318,0.8450842499732971,0.6738603115081787
per_degradation,per_degradation,turbidity_s2,turbidity,2,calibration,2.2493760364147004,0.6592087965113907,0.8308506331305888,0.7541167793420818,0.7704681018482551,0.5667761322933064,0.2657528912458608,0.03189160911684359,0.7605160827829242,0.07371038621950184,0.8203535676002502,0.8492817878723145,0.6782600283622742
raw,none,turbidity_s3,turbidity,3,calibration,1.0,0.6342576092390269,0.8137660382182268,0.7309724114638463,0.751869387617063,0.9432196700591112,0.3092566227804036,0.12126512680040083,0.7744837626766141,0.07940550479821615,0.9350311160087585,0.9573357701301575,0.8375688791275024
