method,condition,split,class_id,class_name,iou,dice,accuracy,classwise_ece
raw,clean,calibration,0,background_waterbody,0.8817497916670078,0.9371594412516254,0.950629253573411,0.017861302156367068
raw,clean,calibration,1,human_divers,0.7612005168334707,0.8644109623611308,0.8385676650027731,0.0019827523538384984
raw,clean,calibration,2,aquatic_plants,0.19550566985751375,0.32706774177125414,0.24279767815858272,0.015099596763748484
raw,clean,calibration,3,wrecks_ruins,0.7255666663807964,0.8409604572422577,0.783292712000537,0.016303581691860608
raw,clean,calibration,4,robots_instruments,0.7502178056084944,0.857285079839155,0.8801986839583467,0.00026619808324852774
raw,clean,calibration,5,reefs_invertebrates,0.7271766532511097,0.8420408553836414,0.8926348327997236,0.07849674492894257
raw,clean,calibration,6,fish_vertebrates,0.7100916926037337,0.830472068456832,0.8053132441091615,0.009500292947183187
raw,clean,calibration,7,seafloor_rocks,0.468907867044121,0.6384442177271512,0.579782936227517,0.06595149128444427
clean_global,clean,calibration,0,background_waterbody,0.8817497916670078,0.9371594412516254,0.950629253573411,0.02311569038789884
clean_global,clean,calibration,1,human_divers,0.7612005168334707,0.8644109623611308,0.8385676650027731,0.008236080494646086
clean_global,clean,calibration,2,aquatic_plants,0.19550566985751375,0.32706774177125414,0.24279767815858272,0.005618109283757172
clean_global,clean,calibration,3,wrecks_ruins,0.7255666663807964,0.8409604572422577,0.783292712000537,0.01095598575425446
clean_global,clean,calibration,4,robots_instruments,0.7502178056084944,0.857285079839155,0.8801986839583467,0.0036023015178902086
clean_global,clean,calibration,5,reefs_invertebrates,0.7271766532511097,0.8420408553836414,0.8926348327997236,0.026183535695783685
clean_global,clean,calibration,6,fish_vertebrates,0.7100916926037337,0.830472068456832,0.8053132441091615,0.01989759469859403
clean_global,clean,calibration,7,seafloor_rocks,0.468907867044121,0.6384442177271512,0.579782936227517,0.03038429317992883
pooled,clean,calibration,0,background_waterbody,0.8817497916670078,0.9371594412516254,0.950629253573411,0.027031229637404463
pooled,clean,calibration,1,human_divers,0.7612005168334707,0.8644109623611308,0.8385676650027731,0.009196800087537801
pooled,clean,calibration,2,aquatic_plants,0.19550566985751375,0.32706774177125414,0.24279767815858272,0.007149898327868098
pooled,clean,calibration,3,wrecks_ruins,0.7255666663807964,0.8409604572422577,0.783292712000537,0.01071332692878125
pooled,clean,calibration,4,robots_instruments,0.7502178056084944,0.857285079839155,0.8801986839583467,0.004115669094800309
pooled,clean,calibration,5,reefs_invertebrates,0.7271766532511097,0.8420408553836414,0.8926348327997236,0.025048436131859912
pooled,clean,calibration,6,fish_vertebrates,0.7100916926037337,0.830472068456832,0.8053132441091615,0.02242761981934776
pooled,clean,calibration,7,seafloor_rocks,0.468907867044121,0.6384442177271512,0.579782936227517,0.02778677374144993
per_degradation,clean,calibration,0,background_waterbody,0.8817497916670078,0.9371594412516254,0.950629253573411,0.02311569038789884
per_degradation,clean,calibration,1,human_divers,0.7612005168334707,0.8644109623611308,0.8385676650027731,0.008236080494646086
per_degradation,clean,calibration,2,aquatic_plants,0.19550566985751375,0.32706774177125414,0.24279767815858272,0.005618109283757172
per_degradation,clean,calibration,3,wrecks_ruins,0.7255666663807964,0.8409604572422577,0.783292712000537,0.01095598575425446
per_degradation,clean,calibration,4,robots_instruments,0.7502178056084944,0.857285079839155,0.8801986839583467,0.0036023015178902086
per_degradation,clean,calibration,5,reefs_invertebrates,0.7271766532511097,0.8420408553836414,0.8926348327997236,0.026183535695783685
per_degradation,clean,calibration,6,fish_vertebrates,0.7100916926037337,0.830472068456832,0.8053132441091615,0.01989759469859403
per_degradation,clean,calibration,7,seafloor_rocks,0.468907867044121,0.6384442177271512,0.579782936227517,0.03038429317992883
raw,color_s1,calibration,0,background_waterbody,0.8808520487206069,0.9366521405229933,0.9511832073199586,0.01875899776127446
