condition,method,cluster_unit,samples,iterations,boundary_minus_interior_error_rate,ci95_low,ci95_high
blur_s1,clean_global,original_sample_id,511,1000,0.25074669888206813,0.23688638324430653,0.2643059013970754
blur_s1,raw,original_sample_id,511,1000,0.25074669888206813,0.23636474054151999,0.2640602216454931
blur_s2,clean_global,original_sample_id,511,1000,0.24824664993170592,0.23443817588067342,0.2607578141251205
blur_s2,raw,original_sample_id,511,1000,0.24824664993170592,0.23410068694651148,0.2617316412375735
blur_s3,clean_global,original_sample_id,511,1000,0.23601942810585197,0.22033882953244954,0.2497253575428184
blur_s3,raw,original_sample_id,511,1000,0.23601942810585197,0.22139803211043063,0.2507217813055142
clean,clean_global,original_sample_id,511,1000,0.24943842037544178,0.2350698164372606,0.2623534134688274
clean,raw,original_sample_id,511,1000,0.24943842037544178,0.23532111658439656,0.2623747597800679
color_s1,clean_global,original_sample_id,511,1000,0.24774827898559088,0.23527088732411525,0.25979177226750094
color_s1,raw,original_sample_id,511,1000,0.24774827898559088,0.2341845763823135,0.26030115200387083
color_s2,clean_global,original_sample_id,511,1000,0.24768051918056108,0.23463821059669848,0.26095426077861517
color_s2,raw,original_sample_id,511,1000,0.24768051918056108,0.23393256583306665,0.2610718214050539
color_s3,clean_global,original_sample_id,511,1000,0.246461904757538,0.23173223065574838,0.26100458827241985
color_s3,raw,original_sample_id,511,1000,0.246461904757538,0.23317865694742,0.26006040800860986
lowlight_s1,clean_global,original_sample_id,511,1000,0.24795886035383988,0.23485520570301666,0.2619005090215623
lowlight_s1,raw,original_sample_id,511,1000,0.24795886035383988,0.2350606378928698,0.26118161756843344
lowlight_s2,clean_global,original_sample_id,511,1000,0.24411398079109115,0.230441652824607,0.25646826234419956
lowlight_s2,raw,original_sample_id,511,1000,0.24411398079109115,0.23167350802155864,0.2584912696640017
lowlight_s3,clean_global,original_sample_id,511,1000,0.21147238332554336,0.1963760587469648,0.2260535213000041
lowlight_s3,raw,original_sample_id,511,1000,0.21147238332554336,0.1955072138132026,0.22657584264148406
turbidity_s1,clean_global,original_sample_id,511,1000,0.24912624089294946,0.23522292373104012,0.262518545985464
turbidity_s1,raw,original_sample_id,511,1000,0.24912622626166045,0.2363897576882229,0.26200881163825906
turbidity_s2,clean_global,original_sample_id,511,1000,0.24782293462061888,0.2348711653069818,0.2608772984844597
turbidity_s2,raw,original_sample_id,511,1000,0.24782293462061888,0.23385043287945018,0.26111925183115864
turbidity_s3,clean_global,original_sample_id,511,1000,0.24505020235859457,0.23170602056492096,0.25760127107997494
turbidity_s3,raw,original_sample_id,511,1000,0.24505020235859457,0.23106206218819222,0.2588849313826638
