condition,method,region,boundary_radius,region_pixel_fraction,pixels,error_rate,nll,brier_score,ece,error_auroc,aurc,oracle_aurc,eaurc,mean_confidence,mean_wrong_confidence
clean,raw,boundary,3,0.09294408112667156,7003338,0.4683101115496639,1.5421553767021525,0.6793705875059151,0.22725409118349257,0.5753255867637718,0.41903624073362644,0.1324443333684808,0.2865919073651456,0.7589437365531921,0.7349964380264282
clean,raw,interior,3,0.9070559188733285,68346678,0.21887169117422212,0.8646884197091116,0.3376240379986903,0.09834569932622796,0.7694474525098969,0.09562451961050093,0.02592061428683444,0.06970390532366649,0.8794740438461304,0.7614657282829285
clean,clean_global,boundary,3,0.09294408112667156,7003338,0.4683101115496639,1.1749751204577374,0.6110073947115022,0.07980846754470372,0.5766306127340775,0.4184416351783192,0.1324443333684808,0.2859973018098384,0.6053982377052307,0.5844663381576538
clean,clean_global,interior,3,0.9070559188733285,68346678,0.21887169117422212,0.6818395776675495,0.3253482284738843,0.03312764112588467,0.7698101099452124,0.0955039883219355,0.02592061428683444,0.06958337403510106,0.7596679925918579,0.6178302764892578
color_s1,raw,boundary,3,0.09294408112667156,7003338,0.46814561856074915,1.5451419581098327,0.6809350356840552,0.22844641661479226,0.573996783468454,0.4200768070722761,0.13234044943284412,0.287736357639432,0.7603008151054382,0.7366419434547424
color_s1,raw,interior,3,0.9070559188733285,68346678,0.22039733957515828,0.8628253982448496,0.3406328833156675,0.09985725782195776,0.7660338132447834,0.09805604822787826,0.02629896449962562,0.07175708372825265,0.8794599175453186,0.7636271715164185
color_s1,clean_global,boundary,3,0.09294408112667156,7003338,0.46814561856074915,1.177200762269542,0.6120804179099577,0.0819422966646344,0.5750133879610002,0.4197407088696178,0.13234044943284412,0.28740025943677366,0.6056430339813232,0.584977924823761
color_s1,clean_global,interior,3,0.9070559188733285,68346678,0.22039733957515828,0.6836501649355949,0.3278404094833073,0.033509239879571974,0.7654467435343475,0.09823096475076624,0.02629896449962562,0.07193200025114063,0.7575944662094116,0.618408203125
color_s2,raw,boundary,3,0.09294408112667156,7003338,0.4725987807528353,1.568246641369444,0.6902586301190411,0.23696151757255077,0.5746453146811247,0.4238594068858238,0.13517080686174163,0.28868860002408214,0.764362633228302,0.7405261397361755
color_s2,raw,interior,3,0.9070559188733285,68346678,0.2249182615722742,0.8747523477156052,0.3486924757817966,0.10622918188328609,0.7657122266810863,0.10050293230330475,0.027437676356244646,0.07306525594706009,0.881310760974884,0.768071711063385
