comparison,method,target_alpha,seed,metric,mean_improvement,ci95_low,ci95_high,iterations,cluster_unit,clusters
oracle_condition_crc - global_crc,oracle_condition_crc,0.05,,coverage_improvement,0.02000000000000001,0.02000000000000001,0.02000000000000001,1000,original_sample_id_with_all_13_conditions,511
oracle_condition_crc - global_crc,oracle_condition_crc,0.05,,risk_excess_reduction,-0.006145093226707368,-0.008742558402497345,-0.0037116755943397833,1000,original_sample_id_with_all_13_conditions,511
oracle_condition_crc - global_crc,oracle_condition_crc,0.05,,worst_condition_risk_excess_reduction,-0.0016342336630882465,-0.006617746848980723,0.002590180106579286,1000,original_sample_id_with_all_13_conditions,511
oracle_condition_crc - global_crc,oracle_condition_crc,0.05,,lowlight_s3_risk_excess_reduction,0.0,0.0,0.0,1000,original_sample_id_with_all_13_conditions,511
oracle_condition_crc - global_crc,oracle_condition_crc,0.05,,blur_s3_risk_excess_reduction,0.0,0.0,0.0,1000,original_sample_id_with_all_13_conditions,511
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260722.0,coverage_improvement,0.005870841487279847,0.0053439710973957584,0.006424883335842243,1000,original_sample_id_with_all_13_conditions,511
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260722.0,risk_excess_reduction,-0.0011799621099812807,-0.0022016970293631485,-1.7267430698815987e-05,1000,original_sample_id_with_all_13_conditions,511
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260722.0,worst_condition_risk_excess_reduction,7.180487026265445e-05,-0.0028811111815005845,0.0033680124675814923,1000,original_sample_id_with_all_13_conditions,511
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260722.0,lowlight_s3_risk_excess_reduction,-0.0014636597319081454,-0.003677500845247482,0.00012263181253013725,1000,original_sample_id_with_all_13_conditions,511
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260722.0,blur_s3_risk_excess_reduction,0.0006797264098625359,-0.00037122810445817044,0.0018732199412788784,1000,original_sample_id_with_all_13_conditions,511
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260723.0,coverage_improvement,0.005864820111395458,0.005313864217973811,0.0064403131115459925,1000,original_sample_id_with_all_13_conditions,511
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260723.0,risk_excess_reduction,-0.0011799621099812807,-0.002189814644509962,-6.177633539384155e-05,1000,original_sample_id_with_all_13_conditions,511
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260723.0,worst_condition_risk_excess_reduction,7.180487026265445e-05,-0.0032446177271942002,0.0036030749635681597,1000,original_sample_id_with_all_13_conditions,511
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260723.0,lowlight_s3_risk_excess_reduction,-0.0014636597319081454,-0.003521746415471742,0.00023601108026524906,1000,original_sample_id_with_all_13_conditions,511
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260723.0,blur_s3_risk_excess_reduction,0.0006797264098625359,-0.0003316533567936119,0.0020151727253283186,1000,original_sample_id_with_all_13_conditions,511
