method,fit_scope,condition,degradation_type,severity,split,temperature,miou,pixel_accuracy,mean_accuracy,mean_dice,nll,brier_score,ece,error_auroc,aurc,mean_confidence,mean_correct_confidence,mean_wrong_confidence
raw,none,clean,clean,0,calibration,1.0,0.4398981728830422,0.7589735029459208,0.5727760217081029,0.5816937682395555,0.8917657556166068,0.3668171967385901,0.107366807051096,0.7617621291926412,0.1104010418153536,0.8663403391838074,0.9027903079986572,0.7515619397163391
clean_global,clean_global,clean,clean,0,calibration,1.9380236116065588,0.4398981728830422,0.7589735029459208,0.5727760217081029,0.5816937682395555,0.71526723612076,0.3509600863192296,0.033164294057017,0.7600631156278365,0.1113350419158353,0.7406572103500366,0.7839059829711914,0.6044702529907227
pooled,pooled,clean,clean,0,calibration,2.062835756016989,0.4398981728830422,0.7589735029459208,0.5727760217081029,0.5816937682395555,0.7167800971505981,0.3527499060143216,0.0443650143470639,0.7591832099180019,0.1116447434228651,0.7243070602416992,0.7674934267997742,0.5883163809776306
per_degradation,per_degradation,clean,clean,0,calibration,1.9380236116065588,0.4398981728830422,0.7589735029459208,0.5727760217081029,0.5816937682395555,0.71526723612076,0.3509600863192296,0.033164294057017,0.7600631156278365,0.1113350419158353,0.7406572103500366,0.7839059829711914,0.6044702529907227
raw,none,color_s1,color_attenuation,1,calibration,1.0,0.4315862440485395,0.7560647078386442,0.560958116851253,0.5714009187411921,0.903681563085478,0.3709337389238096,0.1091485364525736,0.76164567416814,0.112874729487063,0.8652132153511047,0.9021052122116088,0.7508687973022461
clean_global,clean_global,color_s1,color_attenuation,1,calibration,1.9380236116065588,0.4315862440485395,0.7560647078386442,0.560958116851253,0.5714009187411921,0.7239453808488293,0.3537807512536815,0.0326505393176189,0.7614603698052249,0.1134821981848547,0.7385978698730469,0.7828080058097839,0.6015707850456238
pooled,pooled,color_s1,color_attenuation,1,calibration,2.062835756016989,0.4315862440485395,0.7560647078386442,0.560958116851253,0.5714009187411921,0.7253503114655654,0.3555194540624042,0.0439304305241785,0.7607644709153061,0.1137467878088044,0.7221537232398987,0.7663132548332214,0.5852834582328796
per_degradation,per_degradation,color_s1,color_attenuation,1,calibration,1.9751458870558352,0.4315862440485395,0.7560647078386442,0.560958116851253,0.5714009187411921,0.7240476119647561,0.3542205075347359,0.0354126532221917,0.7612671058375367,0.1135573047087443,0.7336850762367249,0.7778975367546082,0.5966509580612183
raw,none,color_s2,color_attenuation,2,calibration,1.0,0.4224055630804387,0.7506191223625123,0.5481926142860117,0.5611384104977782,0.93139452283164,0.3788194824800272,0.1155832627208191,0.7625917702727416,0.1173019679811169,0.8662024140357971,0.903984546661377,0.7524808645248413
clean_global,clean_global,color_s2,color_attenuation,2,calibration,1.9380236116065588,0.4224055630804387,0.7506191223625123,0.5481926142860117,0.5611384104977782,0.7388957729379477,0.3590302938324983,0.0284864735585752,0.7628863105788257,0.1177859825146878,0.7387027740478516,0.7843567132949829,0.6012874245643616
pooled,pooled,color_s2,color_attenuation,2,calibration,2.062835756016989,0.4224055630804387,0.7506191223625123,0.5481926142860117,0.5611384104977782,0.7396643443566975,0.3605654690872623,0.0406220625634396,0.7622939187164633,0.1180268499743091,0.7221047282218933,0.7677171230316162,0.5848147869110107
per_degradation,per_degradation,color_s2,color_attenuation,2,calibration,1.9751458870558352,0.4224055630804387,0.7506191223625123,0.5481926142860117,0.5611384104977782,0.7387961799745411,0.3594063667694346,0.0314371564571159,0.7627232452184688,0.1178536505060933,0.7337443828582764,0.7794046401977539,0.5963103771209717
raw,none,color_s3,color_attenuation,3,calibration,1.0,0.4166268361991372,0.746009472891206,0.5353956317954892,0.5554243202011985,0.9630696004108752,0.3876728549916532,0.1211332301796826,0.759458348298574,0.1213691363795897,0.8671427369117737,0.905015230178833,0.7559050917625427
clean_global,clean_global,color_s3,color_attenuation,3,calibration,1.9380236116065588,0.4166268361991372,0.746009472891206,0.5353956317954892,0.5554243202011985,0.7535846976752365,0.3655181735187637,0.0260553242050449,0.7596480381111917,0.1218965909959052,0.740340530872345,0.7863410711288452,0.6052301526069641
pooled,pooled,color_s3,color_attenuation,3,calibration,2.062835756016989,0.4166268361991372,0.746009472891206,0.5353956317954892,0.5554243202011985,0.7532236334091275,0.3667266998048075,0.0359277570640596,0.7590445917925177,0.1221435637314246,0.7237969636917114,0.7697811126708984,0.5887342095375061
per_degradation,per_degradation,color_s3,color_attenuation,3,calibration,1.9751458870558352,0.4166268361991372,0.746009472891206,0.5353956317954892,0.5554243202011985,0.7531348476299686,0.365796504387218,0.0287066082751968,0.7594813043429565,0.1219661040550814,0.7353994250297546,0.7814139723777771,0.6002475619316101
raw,none,turbidity_s1,turbidity,1,calibration,1.0,0.4416966650688724,0.7604170671598179,0.569970692904305,0.5833119464745988,0.8908448165731162,0.3646650619125128,0.1069564647957215,0.7622722767730034,0.1091000943059465,0.8673733472824097,0.9035981893539428,0.7523987293243408
clean_global,clean_global,turbidity_s1,turbidity,1,calibration,1.9380236116065588,0.4416966650688724,0.7604170671598179,0.569970692904305,0.5833119464745988,0.712372918987694,0.3489913639293596,0.0337827748161804,0.7604424588619335,0.1100777939764997,0.7428385615348816,0.7860016226768494,0.6058421730995178
pooled,pooled,turbidity_s1,turbidity,1,calibration,2.062835756016989,0.4416966650688724,0.7604170671598179,0.569970692904305,0.5833119464745988,0.7136788277766544,0.3507545446799002,0.0439378357518553,0.759544084256483,0.1103921621543529,0.7266200184822083,0.7697516679763794,0.5897236466407776
per_degradation,per_degradation,turbidity_s1,turbidity,1,calibration,1.968172788455638,0.4416966650688724,0.7604170671598179,0.569970692904305,0.5833119464745988,0.7124132555912045,0.3493519418723812,0.0358691034236821,0.7602367136246523,0.1101509279823287,0.7389031648635864,0.7820728421211243,0.6018859148025513
raw,none,turbidity_s2,turbidity,2,calibration,1.0,0.4434726212626672,0.7618661181298871,0.5584219036867806,0.5840979440800153,0.8869807668252881,0.3640753356796262,0.1076680755270319,0.7605788885847736,0.108213554939216,0.8695341944694519,0.904739260673523,0.7569019794464111
clean_global,clean_global,turbidity_s2,turbidity,2,calibration,1.9380236116065588,0.4434726212626672,0.7618661181298871,0.5584219036867806,0.5840979440800153,0.7054851277248649,0.3474030650085745,0.0336259503735395,0.7595300121703004,0.108927237987238,0.746792197227478,0.7892877459526062,0.610835075378418
pooled,pooled,turbidity_s2,turbidity,2,calibration,2.062835756016989,0.4434726212626672,0.7618661181298871,0.5584219036867806,0.5840979440800153,0.7064453198280924,0.3489872193834345,0.0428552662612048,0.7587525076952307,0.1091923501948675,0.7307665944099426,0.77329021692276,0.5947200059890747
per_degradation,per_degradation,turbidity_s2,turbidity,2,calibration,1.968172788455638,0.4434726212626672,0.7618661181298871,0.5584219036867806,0.5840979440800153,0.705441266901233,0.3477207537566656,0.0357714930570679,0.7593536836519825,0.1089879567662533,0.7429049015045166,0.7854214310646057,0.606880784034729
raw,none,turbidity_s3,turbidity,3,calibration,1.0,0.4278038607287779,0.7574102713784312,0.5296348016999455,0.5676241500109265,0.9136250377468152,0.3722122143132605,0.1104467233664644,0.7542809477009463,0.1130047965480669,0.867857038974762,0.902528703212738,0.759605348110199
clean_global,clean_global,turbidity_s3,turbidity,3,calibration,1.9380236116065588,0.4278038607287779,0.7574102713784312,0.5296348016999455,0.5676241500109265,0.7187539452159369,0.3544359727727892,0.0317595298297844,0.7541612528896751,0.1134662564462854,0.7454143166542053,0.7870849370956421,0.6153107285499573
pooled,pooled,turbidity_s3,turbidity,3,calibration,2.062835756016989,0.4278038607287779,0.7574102713784312,0.5296348016999455,0.5676241500109265,0.7187588974320559,0.3558285746436556,0.0404780546149822,0.7534482412092728,0.1137355788169028,0.7294520735740662,0.7711209654808044,0.5993541479110718
per_degradation,per_degradation,turbidity_s3,turbidity,3,calibration,1.968172788455638,0.4278038607287779,0.7574102713784312,0.5296348016999455,0.5676241500109265,0.7184697439975004,0.3547078950095368,0.0337089723275749,0.7540024039144052,0.1135272667663135,0.7415430545806885,0.7832273840904236,0.6113965511322021
raw,none,lowlight_s1,lowlight,1,calibration,1.0,0.4326275041388349,0.7577335361003459,0.5598857510449782,0.574330886480535,0.9111490862359344,0.3694265610908196,0.1087903389696871,0.7576344937009415,0.1147526874450714,0.8665238618850708,0.9029102325439452,0.7527188658714294
clean_global,clean_global,lowlight_s1,lowlight,1,calibration,1.9380236116065588,0.4326275041388349,0.7577335361003459,0.5598857510449782,0.574330886480535,0.7257457359323572,0.3536883219483654,0.0364074249361415,0.7558307033179296,0.115832105803458,0.7405129075050354,0.783535361289978,0.6059519648551941
pooled,pooled,lowlight_s1,lowlight,1,calibration,2.062835756016989,0.4326275041388349,0.7577335361003459,0.5598857510449782,0.574330886480535,0.7267232003740343,0.35550096740448,0.0470166000093063,0.7549414494613559,0.1161458719487949,0.7241334915161133,0.7670588493347168,0.5898763537406921
per_degradation,per_degradation,lowlight_s1,lowlight,1,calibration,2.0091113499075397,0.4326275041388349,0.7577335361003459,0.5598857510449782,0.574330886480535,0.7259344870613734,0.3546334610241649,0.0418594043511228,0.7553387474612078,0.1160052316703989,0.7311581373214722,0.774144172668457,0.5967115759849548
raw,none,lowlight_s2,lowlight,2,calibration,1.0,0.397908192351556,0.7428662157434178,0.5343070964884585,0.5432036391612424,0.9691522433431516,0.3924972863787788,0.1182459605040425,0.7467329512903682,0.1291035308105803,0.861112117767334,0.8984410762786865,0.753267765045166
clean_global,clean_global,lowlight_s2,lowlight,2,calibration,1.9380236116065588,0.397908192351556,0.7428662157434178,0.5343070964884585,0.5432036391612424,0.7678385193177497,0.373496040448651,0.0365037794065928,0.7461629838281114,0.1298440367708672,0.7302145957946777,0.7742366790771484,0.603033721446991
pooled,pooled,lowlight_s2,lowlight,2,calibration,2.062835756016989,0.397908192351556,0.7428662157434178,0.5343070964884585,0.5432036391612424,0.7681515754697502,0.375099185599737,0.0468727592635371,0.7454390083419673,0.1301031861361426,0.7134034037590027,0.7572808861732483,0.5866401791572571
per_degradation,per_degradation,lowlight_s2,lowlight,2,calibration,2.0091113499075397,0.397908192351556,0.7428662157434178,0.5343070964884585,0.5432036391612424,0.767632361959094,0.3743180191906157,0.0422340777965608,0.7457651325639844,0.1299873004492665,0.7206072807312012,0.7645665407180786,0.5936079621315002
raw,none,lowlight_s3,lowlight,3,calibration,1.0,0.2537145290277699,0.6710601432847018,0.3863446373623149,0.3708411919105048,1.25150506052295,0.500725847914994,0.1546161111281752,0.7178066210308114,0.189008850979119,0.8256762623786926,0.870116651058197,0.735014796257019
clean_global,clean_global,lowlight_s3,lowlight,3,calibration,1.9380236116065588,0.2537145290277699,0.6710601432847018,0.3863446373623149,0.3708411919105048,0.9834115573948116,0.4679475621693408,0.0328599400964039,0.718956394752655,0.1879787463654375,0.6702572107315063,0.7210512161254883,0.5666338801383972
pooled,pooled,lowlight_s3,lowlight,3,calibration,2.062835756016989,0.2537145290277699,0.6710601432847018,0.3863446373623149,0.3708411919105048,0.9813239005021824,0.4686917785376405,0.0374904389711381,0.718519809839817,0.1880958857274657,0.6516957879066467,0.7021107077598572,0.5488460063934326
per_degradation,per_degradation,lowlight_s3,lowlight,3,calibration,2.0091113499075397,0.2537145290277699,0.6710601432847018,0.3863446373623149,0.3708411919105048,0.9817760947547142,0.4682644026789943,0.0349693632840077,0.7187195910501711,0.1880396186059789,0.659611165523529,0.710210919380188,0.5563840866088867
raw,none,blur_s1,blur,1,calibration,1.0,0.4257621248426148,0.7517698059349026,0.5509392192507107,0.5647427064538898,0.9623944528638876,0.3818251459221524,0.1203459066224801,0.756520082697547,0.1168406127360392,0.8721157312393188,0.9078553318977356,0.7638776302337646
clean_global,clean_global,blur_s1,blur,1,calibration,1.9380236116065588,0.4257621248426148,0.7517698059349026,0.5509392192507107,0.5647427064538898,0.7410250122070917,0.3597115062966145,0.0259102843475323,0.7559026660959944,0.117719113966384,0.7510770559310913,0.7945607900619507,0.6193857789039612
pooled,pooled,blur_s1,blur,1,calibration,2.062835756016989,0.4257621248426148,0.7517698059349026,0.5509392192507107,0.5647427064538898,0.7390046605047533,0.3606092993870369,0.033099908678408,0.7551640096708607,0.1180177686109917,0.7352256774902344,0.7787517309188843,0.6034058928489685
per_degradation,per_degradation,blur_s1,blur,1,calibration,2.343192372044961,0.4257621248426148,0.7517698059349026,0.5509392192507107,0.5647427064538898,0.7445778119924034,0.3650541442828037,0.0586166151058822,0.753079993938282,0.1188163698449709,0.7003373503684998,0.7434386610984802,0.5698042511940002
raw,none,blur_s2,blur,2,calibration,1.0,0.3952886487244413,0.7318318684895834,0.5064258312002146,0.5323538533643886,1.1266576555290275,0.4207272009812787,0.1485199626644571,0.7483397486841109,0.131606331594051,0.8803489208221436,0.915544867515564,0.7842986583709717
clean_global,clean_global,blur_s2,blur,2,calibration,1.9380236116065588,0.3952886487244413,0.7318318684895834,0.5064258312002146,0.5323538533643886,0.8089663677349619,0.3866448346971672,0.0340840248208466,0.7482141672012724,0.1324102383463407,0.7659093141555786,0.810226321220398,0.6449677348136902
pooled,pooled,blur_s2,blur,2,calibration,2.062835756016989,0.3952886487244413,0.7318318684895834,0.5064258312002146,0.5323538533643886,0.8000018524981124,0.3858260746606999,0.0208610846146279,0.7476026058062915,0.1326976471470124,0.7507529854774475,0.7952609062194824,0.6292906999588013
per_degradation,per_degradation,blur_s2,blur,2,calibration,2.343192372044961,0.3952886487244413,0.7318318684895834,0.5064258312002146,0.5323538533643886,0.7922128567429069,0.3864855555077056,0.0293005246090065,0.7457861376737724,0.1334912173811398,0.7172141075134277,0.7615809440612793,0.5961368083953857
raw,none,blur_s3,blur,3,calibration,1.0,0.3502413299113971,0.6976065514698846,0.4466107513148473,0.4853805108478642,1.3084363825577845,0.4799303213551095,0.1792003684183072,0.7239356094204624,0.1636864120712176,0.8768067359924316,0.9109591245651244,0.7980189323425293
clean_global,clean_global,blur_s3,blur,3,calibration,1.9380236116065588,0.3502413299113971,0.6976065514698846,0.4466107513148473,0.4853805108478642,0.9037290468511552,0.4350826908436431,0.0639275551841717,0.7221673321134576,0.164965156259623,0.7615340948104858,0.8045681715011597,0.6622567772865295
pooled,pooled,blur_s3,blur,3,calibration,2.062835756016989,0.3502413299113971,0.6976065514698846,0.4466107513148473,0.4853805108478642,0.8890001149906113,0.4328716647043011,0.0488929354237843,0.7213625261259109,0.1653501404065045,0.7464994788169861,0.7896990180015564,0.6468404531478882
per_degradation,per_degradation,blur_s3,blur,3,calibration,2.343192372044961,0.3502413299113971,0.6976065514698846,0.4466107513148473,0.4853805108478642,0.8702629947844656,0.4304526216225679,0.0258937792584306,0.7191428854288414,0.1663755562609293,0.7133398652076721,0.7563517093658447,0.6141138076782227
raw,none,clean,clean,0,confirmation,1.0,0.4672992479925303,0.757944484046294,0.6115900194521423,0.5996722384228388,0.9276549575050088,0.3693873549698841,0.1103269521141546,0.7617228354621774,0.1104941643371784,0.8682714700698853,0.9039007425308228,0.7567058801651001
clean_global,clean_global,clean,clean,0,confirmation,1.9380236116065588,0.4672992479925303,0.757944484046294,0.6115900194521423,0.5996722384228388,0.7276736099081552,0.3518985570369057,0.0273542094551658,0.762116888216616,0.1102436926260995,0.7453295588493347,0.7879633903503418,0.6118307113647461
pooled,pooled,clean,clean,0,confirmation,2.062835756016989,0.4672992479925303,0.757944484046294,0.6115900194521423,0.5996722384228388,0.72743371941679,0.3533617168812915,0.0368077881809941,0.7615003039384495,0.1103979237067886,0.7291685938835144,0.7717931866645813,0.5956987142562866
per_degradation,per_degradation,clean,clean,0,confirmation,1.9380236116065588,0.4672992479925303,0.757944484046294,0.6115900194521423,0.5996722384228388,0.7276736099081552,0.3518985570369057,0.0273542094551658,0.762116888216616,0.1102436926260995,0.7453295588493347,0.7879633903503418,0.6118307113647461
