method,condition,split,class_id,class_name,iou,dice,accuracy,classwise_ece
raw,clean,calibration,0,background_waterbody,0.7287371708421208,0.843086136092198,0.8721080337586415,0.0775024493195963
raw,clean,calibration,1,human_divers,0.6499053484614146,0.7878092510791246,0.799371568256741,0.0022062503321779
raw,clean,calibration,2,aquatic_plants,0.0994865804910969,0.180969158253228,0.1269879029479275,0.0144435504761727
raw,clean,calibration,3,wrecks_ruins,0.3377256149366931,0.5049250925088636,0.5184801757151019,0.0050046995626164
raw,clean,calibration,4,robots_instruments,0.3499271393799641,0.5184385574182757,0.5266363811635417,0.003377249662224
raw,clean,calibration,5,reefs_invertebrates,0.5146481436661146,0.6795613170203869,0.6632469043167272,0.0771078802859688
raw,clean,calibration,6,fish_vertebrates,0.5935881618174759,0.7449705965944085,0.7302524552275113,0.0125138071422273
raw,clean,calibration,7,seafloor_rocks,0.245167223469458,0.3937900369499593,0.3451247522786313,0.0315082017102876
clean_global,clean,calibration,0,background_waterbody,0.7287371708421208,0.843086136092198,0.8721080337586415,0.0372976869309527
clean_global,clean,calibration,1,human_divers,0.6499053484614146,0.7878092510791246,0.799371568256741,0.0042651702742699
clean_global,clean,calibration,2,aquatic_plants,0.0994865804910969,0.180969158253228,0.1269879029479275,0.008793095179257
clean_global,clean,calibration,3,wrecks_ruins,0.3377256149366931,0.5049250925088636,0.5184801757151019,0.0078579294821142
clean_global,clean,calibration,4,robots_instruments,0.3499271393799641,0.5184385574182757,0.5266363811635417,0.0034671377262918
clean_global,clean,calibration,5,reefs_invertebrates,0.5146481436661146,0.6795613170203869,0.6632469043167272,0.0240532030947119
clean_global,clean,calibration,6,fish_vertebrates,0.5935881618174759,0.7449705965944085,0.7302524552275113,0.0147542416570717
clean_global,clean,calibration,7,seafloor_rocks,0.245167223469458,0.3937900369499593,0.3451247522786313,0.020088152538346
pooled,clean,calibration,0,background_waterbody,0.7287371708421208,0.843086136092198,0.8721080337586415,0.0421099556839512
pooled,clean,calibration,1,human_divers,0.6499053484614146,0.7878092510791246,0.799371568256741,0.0053978134807193
pooled,clean,calibration,2,aquatic_plants,0.0994865804910969,0.180969158253228,0.1269879029479275,0.0110938139231777
pooled,clean,calibration,3,wrecks_ruins,0.3377256149366931,0.5049250925088636,0.5184801757151019,0.0091552884256122
