epoch,train_loss,learning_rate,global_step
1,1.0014264190413187,9.99314767377287e-05,593
2,0.7767001199400511,9.972609476841367e-05,1186
3,0.7054998207474399,9.93844170297569e-05,1779
4,0.6615847536452658,9.89073800366903e-05,2372
5,0.6320197224516448,9.829629131445343e-05,2965
6,0.5862598246987084,9.75528258147577e-05,3558
7,0.5589166015374012,9.66790213248601e-05,4151
8,0.5360994925482874,9.567727288213006e-05,4744
9,0.502192411139664,9.455032620941841e-05,5337
10,0.4888853419184031,9.330127018922197e-05,5930
11,0.47366886971520755,9.193352839727123e-05,6523
12,0.45558848691760917,9.04508497187474e-05,7116
13,0.44256762986140935,8.885729807284857e-05,7709
14,0.42224266217610645,8.715724127386973e-05,8302
15,0.4119859767684148,8.53553390593274e-05,8895
16,0.40447590226415137,8.345653031794293e-05,9488
17,0.38968970691011406,8.146601955249189e-05,10081
18,0.3748940854497923,7.938926261462367e-05,10674
19,0.37647114746910465,7.723195175075138e-05,11267
20,0.3622971987709221,7.500000000000002e-05,11860
21,0.3531123896607464,7.269952498697736e-05,12453
22,0.3473238730697077,7.033683215379003e-05,13046
23,0.3290291711317241,6.791839747726505e-05,13639
24,0.330344798858032,6.54508497187474e-05,14232
25,0.3250022494983995,6.294095225512606e-05,14825
26,0.31989064268400175,6.0395584540887984e-05,15418
27,0.3082009697327479,5.782172325201157e-05,16011
28,0.30222404270874,5.52264231633827e-05,16604
29,0.2991401800396371,5.261679781214721e-05,17197
30,0.29810658884747326,5.0000000000000036e-05,17790
31,0.2891895385770947,4.738320218785284e-05,18383
32,0.28519277975359125,4.477357683661736e-05,18976
33,0.2793490612421394,4.217827674798848e-05,19569
34,0.2709331893621744,3.9604415459112055e-05,20162
35,0.2680628591828686,3.705904774487399e-05,20755
36,0.2635915087074833,3.4549150281252656e-05,21348
37,0.2572350569198223,3.2081602522735006e-05,21941
38,0.2549145738694397,2.9663167846210008e-05,22534
39,0.2534330740338486,2.7300475013022676e-05,23127
40,0.2527050176397349,2.5000000000000025e-05,23720
41,0.25122291436682065,2.2768048249248675e-05,24313
42,0.2457601798329862,2.0610737385376362e-05,24906
43,0.2447852310200172,1.8533980447508148e-05,25499
44,0.23811645611322463,1.6543469682057116e-05,26092
45,0.24354318134998884,1.4644660940672637e-05,26685
46,0.2347449249403731,1.2842758726130304e-05,27278
47,0.23641326773372798,1.1142701927151465e-05,27871
48,0.24007980747974056,9.549150281252641e-06,28464
49,0.23416821911887045,8.06647160272881e-06,29057
50,0.23237666248558744,6.69872981077807e-06,29650
51,0.23144820357666193,5.449673790581616e-06,30243
52,0.22816264937945632,4.322727117869955e-06,30836
53,0.22719867147257036,3.3209786751399153e-06,31429
54,0.2282469484347022,2.447174185242325e-06,32022
55,0.22463397138710015,1.7037086855465854e-06,32615
56,0.22560710991952349,1.0926199633097164e-06,33208
57,0.2263127652742047,6.155829702431174e-07,33801
58,0.22388999649602018,2.7390523158633014e-07,34394
59,0.22480853735294487,6.85232622713084e-08,34987
60,0.22596351989634877,0.0,35580
