condition,method,cluster_unit,samples,iterations,boundary_minus_interior_error_rate,ci95_low,ci95_high
blur_s1,clean_global,original_sample_id,511,1000,0.2310569174961063,0.21598010142426186,0.24474241541806568
blur_s1,raw,original_sample_id,511,1000,0.2310569174961063,0.2169820721779291,0.2442836637738599
blur_s2,clean_global,original_sample_id,511,1000,0.22641657283825656,0.21098939888409884,0.24037912273865392
blur_s2,raw,original_sample_id,511,1000,0.22641657283825656,0.21098168366133965,0.24177572459572746
blur_s3,clean_global,original_sample_id,511,1000,0.22647483240268823,0.21150906754815746,0.2398353560557595
blur_s3,raw,original_sample_id,511,1000,0.22647483240268823,0.21112762080461753,0.24189874119304838
clean,clean_global,original_sample_id,511,1000,0.226754028460275,0.21295038783540332,0.23983703068895842
clean,raw,original_sample_id,511,1000,0.226754028460275,0.21294956137303295,0.24041171349508345
color_s1,clean_global,original_sample_id,511,1000,0.22881327657603728,0.21563977624574154,0.24141979620388948
color_s1,raw,original_sample_id,511,1000,0.22881327657603728,0.21422755199631585,0.24274204335844188
color_s2,clean_global,original_sample_id,511,1000,0.2281058547606937,0.21483777671860357,0.2417766973146728
color_s2,raw,original_sample_id,511,1000,0.2281058547606937,0.21472380246979836,0.24222200784376285
color_s3,clean_global,original_sample_id,511,1000,0.23095356711539208,0.21659959882558139,0.24494963940588949
color_s3,raw,original_sample_id,511,1000,0.23095356711539208,0.21690354853774113,0.2456279680036674
lowlight_s1,clean_global,original_sample_id,511,1000,0.22609046457907328,0.21227156207326217,0.24029082110588673
lowlight_s1,raw,original_sample_id,511,1000,0.22609046457907328,0.21156638059984892,0.24003552417542295
lowlight_s2,clean_global,original_sample_id,511,1000,0.2297178755538536,0.21504852036340247,0.2433443969310749
lowlight_s2,raw,original_sample_id,511,1000,0.2297178755538536,0.21699505804067934,0.2435969215304624
lowlight_s3,clean_global,original_sample_id,511,1000,0.23023047859606963,0.21578896094714717,0.24332665892849725
lowlight_s3,raw,original_sample_id,511,1000,0.23023047859606963,0.21637061491842788,0.24465568871916185
turbidity_s1,clean_global,original_sample_id,511,1000,0.22619411128786815,0.21165094281758587,0.23941239532877562
turbidity_s1,raw,original_sample_id,511,1000,0.22619411128786815,0.21378249136053382,0.23978611766489807
turbidity_s2,clean_global,original_sample_id,511,1000,0.22526358896028664,0.21113930867006742,0.23811942822873763
turbidity_s2,raw,original_sample_id,511,1000,0.22526358896028664,0.21094056084115279,0.2387554277669581
turbidity_s3,clean_global,original_sample_id,511,1000,0.22314807341452497,0.20912701913406254,0.23583207017265867
turbidity_s3,raw,original_sample_id,511,1000,0.22314807341452497,0.20980268822895726,0.23763606380556088
