region,score,baseline,metric,direction,mean_improvement,ci95_low,ci95_high,iterations,cluster_unit,images
boundary,raw_msp,calibrated_msp,eaurc,positive_is_better,-0.00011369763365167778,-0.0008493228900122489,0.0005753708818293442,1000,sample_id_with_all_13_conditions,511
boundary,raw_msp,calibrated_msp,error_auprc,positive_is_better,-0.00038181856438076464,-0.0016235387258006512,0.0008172810695362481,1000,sample_id_with_all_13_conditions,511
boundary,raw_msp,calibrated_msp,top_10_uncertainty_recall,positive_is_better,0.0004213445310283926,-0.00019608336334678517,0.001063017367337941,1000,sample_id_with_all_13_conditions,511
boundary,calibrated_msp,calibrated_msp,eaurc,positive_is_better,0.0,0.0,0.0,1000,sample_id_with_all_13_conditions,511
boundary,calibrated_msp,calibrated_msp,error_auprc,positive_is_better,0.0,0.0,0.0,1000,sample_id_with_all_13_conditions,511
boundary,calibrated_msp,calibrated_msp,top_10_uncertainty_recall,positive_is_better,0.0,0.0,0.0,1000,sample_id_with_all_13_conditions,511
boundary,entropy,calibrated_msp,eaurc,positive_is_better,-0.012540505635125907,-0.013997427176147307,-0.011118197292155529,1000,sample_id_with_all_13_conditions,511
boundary,entropy,calibrated_msp,error_auprc,positive_is_better,-0.022286588024137313,-0.02467706683663735,-0.020024966591530465,1000,sample_id_with_all_13_conditions,511
boundary,entropy,calibrated_msp,top_10_uncertainty_recall,positive_is_better,-0.010872882556790807,-0.012279039865054788,-0.009496914245833068,1000,sample_id_with_all_13_conditions,511
boundary,probability_margin,calibrated_msp,eaurc,positive_is_better,-0.00033748540062865536,-0.0009389576474384177,0.00026480898187204033,1000,sample_id_with_all_13_conditions,511
boundary,probability_margin,calibrated_msp,error_auprc,positive_is_better,-0.0036786468133427905,-0.005235607892555933,-0.0023511543556188857,1000,sample_id_with_all_13_conditions,511
boundary,probability_margin,calibrated_msp,top_10_uncertainty_recall,positive_is_better,-0.0008676828006691818,-0.0016676908618385537,-3.794787965959369e-05,1000,sample_id_with_all_13_conditions,511
boundary,logit_margin,calibrated_msp,eaurc,positive_is_better,-0.0018308650377193683,-0.0029118794623149633,-0.0008009766818358658,1000,sample_id_with_all_13_conditions,511
boundary,logit_margin,calibrated_msp,error_auprc,positive_is_better,-0.005238078074359743,-0.006902602874334342,-0.0035087050409902524,1000,sample_id_with_all_13_conditions,511
boundary,logit_margin,calibrated_msp,top_10_uncertainty_recall,positive_is_better,-0.0013579565922596166,-0.0022499069681666465,-0.0004570594141513079,1000,sample_id_with_all_13_conditions,511
boundary,energy,calibrated_msp,eaurc,positive_is_better,-0.024617025668611493,-0.0283149581219785,-0.021021834502596076,1000,sample_id_with_all_13_conditions,511
boundary,energy,calibrated_msp,error_auprc,positive_is_better,-0.047655645377286206,-0.052935453519779276,-0.04246495177309148,1000,sample_id_with_all_13_conditions,511
boundary,energy,calibrated_msp,top_10_uncertainty_recall,positive_is_better,-0.02682953502697668,-0.0297120966098233,-0.023931509638686222,1000,sample_id_with_all_13_conditions,511
boundary,local_disagreement,calibrated_msp,eaurc,positive_is_better,-0.06593732000031148,-0.06995630214321527,-0.0618855832320326,1000,sample_id_with_all_13_conditions,511
boundary,local_disagreement,calibrated_msp,error_auprc,positive_is_better,-0.07240654138740638,-0.07644423564486091,-0.06871243137866641,1000,sample_id_with_all_13_conditions,511
boundary,local_disagreement,calibrated_msp,top_10_uncertainty_recall,positive_is_better,-0.01156674794675544,-0.012726480823764758,-0.010456031510691669,1000,sample_id_with_all_13_conditions,511
full,raw_msp,calibrated_msp,eaurc,positive_is_better,0.00037455076225615145,-0.00012565153475254588,0.000900555748769366,1000,sample_id_with_all_13_conditions,511
