method,fit_scope,condition,degradation_type,severity,split,temperature,miou,pixel_accuracy,mean_accuracy,mean_dice,nll,brier_score,ece,error_auroc,aurc,mean_confidence,mean_correct_confidence,mean_wrong_confidence
raw,none,clean,clean,0,calibration,1.0,0.455531141074095,0.7697571681866183,0.563145979279894,0.5951369445344163,1.02060488380055,0.36585829790913005,0.13588284539320084,0.7786330002036509,0.09687111294046902,0.9056399464607239,0.9367214441299438,0.8017274141311646
clean_global,clean_global,clean,clean,0,calibration,2.374134304573457,0.455531141074095,0.7697571681866183,0.563145979279894,0.5951369445344163,0.6780983310776224,0.33216360980548676,0.014282278039665785,0.7778082023752682,0.09771858099695453,0.7694817185401917,0.8121428489685059,0.626855194568634
pooled,pooled,clean,clean,0,calibration,2.5244115136249192,0.455531141074095,0.7697571681866183,0.563145979279894,0.5951369445344163,0.6799136988447094,0.3326298348859852,0.017936065579065047,0.7771704820614247,0.09797140347000902,0.7518928050994873,0.7944463491439819,0.6096257567405701
per_degradation,per_degradation,clean,clean,0,calibration,2.374134304573457,0.455531141074095,0.7697571681866183,0.563145979279894,0.5951369445344163,0.6780983310776224,0.33216360980548676,0.014282278039665785,0.7778082023752682,0.09771858099695453,0.7694817185401917,0.8121428489685059,0.626855194568634
raw,none,color_s1,color_attenuation,1,calibration,1.0,0.4531200295271022,0.7706345285330545,0.5602342859464637,0.5936802455177492,1.0347300573388214,0.3665126515446477,0.13463503981229935,0.7735692334257553,0.09804766788464923,0.9052690863609314,0.9352543950080872,0.8045225739479065
clean_global,clean_global,color_s1,color_attenuation,1,calibration,2.374134304573457,0.4531200295271022,0.7706345285330545,0.5602342859464637,0.5936802455177492,0.6832297365600772,0.3335952463633954,0.015496119936809665,0.7727130856380106,0.09897748473780169,0.7696124315261841,0.8109992146492004,0.6305589079856873
pooled,pooled,color_s1,color_attenuation,1,calibration,2.5244115136249192,0.4531200295271022,0.7706345285330545,0.5602342859464637,0.5936802455177492,0.6845731007249753,0.3340537027632679,0.018777259265341722,0.772102391150048,0.09923082044310916,0.752093493938446,0.7933889627456665,0.6133467555046082
per_degradation,per_degradation,color_s1,color_attenuation,1,calibration,2.463548538390084,0.4531200295271022,0.7706345285330545,0.5602342859464637,0.5936802455177492,0.6836001253503514,0.3337659932809865,0.015350609068584683,0.7723593663570473,0.09912548256205456,0.7592227458953857,0.8005802631378174,0.6202673316001892
raw,none,color_s2,color_attenuation,2,calibration,1.0,0.43366954006810865,0.7673064704955094,0.5411540571869565,0.5713961432609732,1.0862942967410685,0.3764268625022441,0.14174024811842767,0.770314262825017,0.1010653587144322,0.9090468287467957,0.9377548694610596,0.8143816590309143
clean_global,clean_global,color_s2,color_attenuation,2,calibration,2.374134304573457,0.43366954006810865,0.7673064704955094,0.5411540571869565,0.5713961432609732,0.70117934909914,0.3397907239767093,0.015570852617080497,0.7702886302582964,0.10185722344510464,0.7731022238731384,0.8139423131942749,0.6384322047233582
pooled,pooled,color_s2,color_attenuation,2,calibration,2.5244115136249192,0.43366954006810865,0.7673064704955094,0.5411540571869565,0.5713961432609732,0.7011903560902085,0.33987829561100025,0.01301101739565065,0.7697648085062028,0.1020998424397399,0.7554315328598022,0.7962473034858704,0.6208416819572449
per_degradation,per_degradation,color_s2,color_attenuation,2,calibration,2.463548538390084,0.43366954006810865,0.7673064704955094,0.5411540571869565,0.5713961432609732,0.7007337077500417,0.3397378604451711,0.012602685705568143,0.7699870315678299,0.10199869953883674,0.7626230120658875,0.8034746050834656,0.6279149651527405
raw,none,color_s3,color_attenuation,3,calibration,1.0,0.4027752870467989,0.7587698788780552,0.513366653204779,0.5344305832824683,1.186455688868712,0.39626988661675105,0.15491150797679443,0.7647628846104759,0.10826606997304469,0.9136812090873718,0.9414779543876648,0.8262486457824707
clean_global,clean_global,color_s3,color_attenuation,3,calibration,2.374134304573457,0.4027752870467989,0.7587698788780552,0.513366653204779,0.5344305832824683,0.7381494796182227,0.3532443478351503,0.02140968274565983,0.7655786623777979,0.10892557529487379,0.7783259153366089,0.8192415833473206,0.6496289968490601
pooled,pooled,color_s3,color_attenuation,3,calibration,2.5244115136249192,0.4027752870467989,0.7587698788780552,0.513366653204779,0.5344305832824683,0.7356069548966482,0.352606241054318,0.011673968916848116,0.7651477536188703,0.10915347996587398,0.7604502439498901,0.8014259338378906,0.6315644979476929
per_degradation,per_degradation,color_s3,color_attenuation,3,calibration,2.463548538390084,0.4027752870467989,0.7587698788780552,0.513366653204779,0.5344305832824683,0.7361403533688576,0.35275553056052766,0.014972082414471198,0.7653326552967096,0.1090582080506462,0.7677276134490967,0.8087064027786255,0.6388324499130249
raw,none,turbidity_s1,turbidity,1,calibration,1.0,0.4523021868148077,0.7695990401407343,0.5576555565197083,0.5917221437842873,1.0244297464480028,0.3664290984263049,0.135169158443877,0.7771957003394593,0.09753883632627167,0.904768168926239,0.9358721375465393,0.8008728623390198
clean_global,clean_global,turbidity_s1,turbidity,1,calibration,2.374134304573457,0.4523021868148077,0.7695990401407343,0.5576555565197083,0.5917221437842873,0.6809037676633499,0.33326498557889245,0.015046492392114214,0.7766417743512224,0.09818500155937063,0.7685605883598328,0.8112810254096985,0.625863254070282
pooled,pooled,turbidity_s1,turbidity,1,calibration,2.5244115136249192,0.4523021868148077,0.7695990401407343,0.5576555565197083,0.5917221437842873,0.6826381750098468,0.3337436438858353,0.018644044687303615,0.7760643450880644,0.09840458828559326,0.7510167360305786,0.7936410903930664,0.608640193939209
per_degradation,per_degradation,turbidity_s1,turbidity,1,calibration,2.4337801537906323,0.4523021868148077,0.7695990401407343,0.5576555565197083,0.5917221437842873,0.6811662925927137,0.33335303618839096,0.01370051862921663,0.7764215573483602,0.09826959660410639,0.7616313099861145,0.8043393492698669,0.6189758777618408
raw,none,turbidity_s2,turbidity,2,calibration,1.0,0.43667237222500976,0.7663172657617017,0.5364479582607231,0.5749071359496857,1.0636306665283697,0.3751009142878592,0.13851896437619543,0.7714039553445042,0.10122325444393358,0.9048361778259277,0.935302734375,0.8049272894859314
clean_global,clean_global,turbidity_s2,turbidity,2,calibration,2.374134304573457,0.43667237222500976,0.7663172657617017,0.5364479582607231,0.5749071359496857,0.697378276005609,0.3400609952675493,0.01674656388190343,0.7717748648022081,0.10162784767851402,0.7685152292251587,0.8109402656555176,0.6293907165527344
pooled,pooled,turbidity_s2,turbidity,2,calibration,2.5244115136249192,0.43667237222500976,0.7663172657617017,0.5364479582607231,0.5749071359496857,0.6982152450533156,0.3403191959138305,0.01644462851688122,0.7713001824077688,0.1018139509153231,0.7509276270866394,0.7932965755462646,0.6119868755340576
per_degradation,per_degradation,turbidity_s2,turbidity,2,calibration,2.4337801537906323,0.43667237222500976,0.7663172657617017,0.5364479582607231,0.5749071359496857,0.6972694215499197,0.3400613412143677,0.015350254472128295,0.7715959045106617,0.10169922686534764,0.7615687251091003,0.8039973378181458,0.6224324703216553
raw,none,turbidity_s3,turbidity,3,calibration,1.0,0.39067362482644696,0.7509117627081283,0.4893828442140996,0.5244833087805914,1.1728784289155627,0.4009245731073415,0.15291958409845224,0.7657534126706627,0.11206215853833112,0.9038313627243042,0.9353137612342834,0.808923065662384
clean_global,clean_global,turbidity_s3,turbidity,3,calibration,2.374134304573457,0.39067362482644696,0.7509117627081283,0.4893828442140996,0.5244833087805914,0.7470227656193397,0.3609299691539007,0.018138995698913314,0.7653978977861963,0.112887509809217,0.766014039516449,0.810247004032135,0.6326674818992615
pooled,pooled,turbidity_s3,turbidity,3,calibration,2.5244115136249192,0.39067362482644696,0.7509117627081283,0.4893828442140996,0.5244833087805914,0.745491561197129,0.3606174743081641,0.014726749362378345,0.7648908969733157,0.11310681306582199,0.7482807636260986,0.7924747467041016,0.6150515675544739
per_degradation,per_degradation,turbidity_s3,turbidity,3,calibration,2.4337801537906323,0.39067362482644696,0.7509117627081283,0.4893828442140996,0.5244833087805914,0.7459344208918427,0.3607035851854039,0.016392625889003518,0.765204981237385,0.11297240808215922,0.7590088248252869,0.8032537698745728,0.6256262063980103
raw,none,lowlight_s1,lowlight,1,calibration,1.0,0.4541300549980086,0.7692375550224191,0.5582320002269492,0.5946219443276488,1.0406664277207716,0.3691252547194847,0.13727856645817532,0.7749505331762185,0.09874277146869448,0.9065161347389221,0.9367339015007019,0.8057861328125
clean_global,clean_global,lowlight_s1,lowlight,1,calibration,2.374134304573457,0.4541300549980086,0.7692375550224191,0.5582320002269492,0.5946219443276488,0.6855948931901786,0.33466132987724095,0.014280864890836902,0.7737025220807856,0.09962374260731564,0.7703577876091003,0.8122087717056274,0.6308491826057434
pooled,pooled,lowlight_s1,lowlight,1,calibration,2.5244115136249192,0.4541300549980086,0.7692375550224191,0.5582320002269492,0.5946219443276488,0.6868615327753316,0.33502588476513107,0.01744724815421668,0.7730679127443447,0.09986563042530691,0.7527515292167664,0.7945155501365662,0.6135330200195312
per_degradation,per_degradation,lowlight_s1,lowlight,1,calibration,2.494115978399722,0.4541300549980086,0.7692375550224191,0.5582320002269492,0.5946219443276488,0.6863216382833499,0.3348829089187262,0.014900536857014196,0.7732016888510586,0.09981521005033551,0.7563223838806152,0.7981207370758057,0.6169891953468323
raw,none,lowlight_s2,lowlight,2,calibration,1.0,0.42797418381275165,0.7621461829905539,0.5233069577885623,0.5658174641380921,1.1029502269164158,0.38158289424599207,0.14647721109855086,0.7717158265914481,0.10488986526012509,0.908623456954956,0.9389763474464417,0.8113645315170288
clean_global,clean_global,lowlight_s2,lowlight,2,calibration,2.374134304573457,0.42797418381275165,0.7621461829905539,0.5233069577885623,0.5658174641380921,0.7097933757545024,0.34342043053551086,0.01252120713720995,0.77091457214429,0.10574728331700547,0.7722133994102478,0.8145338296890259,0.6366075873374939
pooled,pooled,lowlight_s2,lowlight,2,calibration,2.5244115136249192,0.42797418381275165,0.7621461829905539,0.5233069577885623,0.5658174641380921,0.7094786505060872,0.3434492891437634,0.011368685516014653,0.7703388512688026,0.10597940404149785,0.7545032501220703,0.7967429161071777,0.6191562414169312
