region,score,baseline,metric,direction,mean_improvement,ci95_low,ci95_high,iterations,cluster_unit,images
boundary,raw_msp,calibrated_msp,eaurc,positive_is_better,0.0009394265800914179,-0.0002641243513707848,0.0021488946895685318,1000,sample_id_with_all_13_conditions,146
boundary,raw_msp,calibrated_msp,error_auprc,positive_is_better,0.0036342640901989567,0.0012713337900410134,0.0059847986828927184,1000,sample_id_with_all_13_conditions,146
boundary,raw_msp,calibrated_msp,top_10_uncertainty_recall,positive_is_better,0.002532011438678966,0.001168480263128682,0.0039412464511272725,1000,sample_id_with_all_13_conditions,146
boundary,calibrated_msp,calibrated_msp,eaurc,positive_is_better,0.0,0.0,0.0,1000,sample_id_with_all_13_conditions,146
boundary,calibrated_msp,calibrated_msp,error_auprc,positive_is_better,0.0,0.0,0.0,1000,sample_id_with_all_13_conditions,146
boundary,calibrated_msp,calibrated_msp,top_10_uncertainty_recall,positive_is_better,0.0,0.0,0.0,1000,sample_id_with_all_13_conditions,146
boundary,entropy,calibrated_msp,eaurc,positive_is_better,-0.01255731082408927,-0.014801411732221192,-0.010459828463461057,1000,sample_id_with_all_13_conditions,146
boundary,entropy,calibrated_msp,error_auprc,positive_is_better,-0.03218852916963209,-0.03638502902793476,-0.02808255512497024,1000,sample_id_with_all_13_conditions,146
boundary,entropy,calibrated_msp,top_10_uncertainty_recall,positive_is_better,-0.017263379562110596,-0.020936628515065094,-0.014150238220824136,1000,sample_id_with_all_13_conditions,146
boundary,probability_margin,calibrated_msp,eaurc,positive_is_better,0.000570156783086008,-0.00044329883241310146,0.0015554702869827173,1000,sample_id_with_all_13_conditions,146
boundary,probability_margin,calibrated_msp,error_auprc,positive_is_better,-0.0018932757313518146,-0.004596441116369277,0.0008499078818979927,1000,sample_id_with_all_13_conditions,146
boundary,probability_margin,calibrated_msp,top_10_uncertainty_recall,positive_is_better,0.0005070319032025969,-0.001304835315854948,0.002484604346461309,1000,sample_id_with_all_13_conditions,146
boundary,logit_margin,calibrated_msp,eaurc,positive_is_better,-0.0008119705223785579,-0.002583371017758492,0.0008707787912788062,1000,sample_id_with_all_13_conditions,146
boundary,logit_margin,calibrated_msp,error_auprc,positive_is_better,-0.004033178465613879,-0.007255967381962462,-0.0007019109712993875,1000,sample_id_with_all_13_conditions,146
boundary,logit_margin,calibrated_msp,top_10_uncertainty_recall,positive_is_better,-0.0005335598033913911,-0.0024030203761124702,0.0013532465644184109,1000,sample_id_with_all_13_conditions,146
boundary,energy,calibrated_msp,eaurc,positive_is_better,-0.01972905349587173,-0.026101949818721253,-0.013684659447452572,1000,sample_id_with_all_13_conditions,146
boundary,energy,calibrated_msp,error_auprc,positive_is_better,-0.05300658075272084,-0.06330930303904037,-0.04202300329742268,1000,sample_id_with_all_13_conditions,146
boundary,energy,calibrated_msp,top_10_uncertainty_recall,positive_is_better,-0.03354966285388256,-0.04024267951884484,-0.027155612561738707,1000,sample_id_with_all_13_conditions,146
boundary,local_disagreement,calibrated_msp,eaurc,positive_is_better,-0.05892832212750242,-0.06506401375939042,-0.05310779090928344,1000,sample_id_with_all_13_conditions,146
boundary,local_disagreement,calibrated_msp,error_auprc,positive_is_better,-0.07490967350841528,-0.08104778087088739,-0.0684206124258096,1000,sample_id_with_all_13_conditions,146
boundary,local_disagreement,calibrated_msp,top_10_uncertainty_recall,positive_is_better,-0.012074867349243235,-0.014583603193462354,-0.009575470852294049,1000,sample_id_with_all_13_conditions,146
